MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nChe c'è? Perché mi stai *fissando*?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nSalve, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nTi ho fatto una *domanda*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nAhahah! Per nessuna ragione particolare.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nMa se hai un po' di tempo libero, ti piacerebbe\nbere una tazza di tè con me?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNon capisco questo *invito*. Io e te non\nci conosciamo bene, in fondo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nProprio per questo ti ho invitato.\nVorrei conoscerti meglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nBasta con le *menzogne*, ti prego.\nDimmi la vera ragione.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nMio caro Zelkov, non ho secondi fini.\nMi fa solo piacere stringere amicizia con te.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nSpiacente, ma sono costretto a *rifiutare*.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nChe peccato... allora dovrò rimettere a posto\nil mio tè calmante che avevo preparato per\nl'occasione.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nNon ti *capisco*.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nBeh, è evidente che tu non dormi molto.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nE in che modo questo sarebbe un *tuo*\nproblema?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nNon mi riguarda personalmente, forse, ma in\nquanto tuo amico, sono preoccupato.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nCiò che dici *non ha senso*.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nNon so quali siano le tue vere *intenzioni*,\nma cerca di stare lontano da me...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0A\x08ゼルコバ\n\x0E\x03\x02\x06\x04ルイ\nMio caro Zelkov. Vedrai che ci vuole ben altro\nper dissuadermi.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x06\x04ルイ\nBuongiorno, Zelkov. Ti va di unirti a me per\nuna tazza di tè?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nLouis. Comincio a sospettare che tu stia\n*tentando* di spiarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nEheh...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nVa bene, sarò sincero con te.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nFinalmente. E dunque *procedi*.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nVorrei prendermi cura di te, Zelkov.\x0E\x04\x00\x00
