MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nSiete pront\x0E\x0A\x00\x08\x02o\x02a, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nCredo di sì, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nMa prima vorrei assicurarmi di una cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nQuesto esperimento servirà a rendere più\nfelice la gente e ad alleggerire le loro vite,\nconfermi?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nNaturalmente, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nSono sicuro che esaminandovi potrò fare\nalcune interessanti scoperte.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nMi aspetto dei risultati promettenti\nper migliorare la qualità del sonno.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nMmmh... la qualità del sonno?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nIn fondo avete dormito per mille anni.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nCredo che nessuno abbia mai avuto un sonno\ncosì profondo, questo è poco ma sicuro. Mi\nauguro di riuscire a scoprirne il motivo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nPensi che ce la farai?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nSenza ombra di dubbio! Chi soffre di insonnia\nne trarrà grandi vantaggi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNon ci avevo pensato. E va bene, allora accetto.\nSpero di poter essere di qualche aiuto in questo\nesperimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nApprezzo la vostra disponibilità, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nPer prima cosa dovrò colpirvi con qualche\nincantesimo del tuono per vedere come reagisce\nil vostro corpo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nNon ve ne accorgerete neanche. Magari, ecco,\npotreste rimetterci i capelli.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nMi sa che ho cambiato idea. Mi dispiace ma\ndovrai cercarti un'altra cavia per questo\nesperimento.\x0E\x04\x00\x00
