MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nAaah... Come vorrei andarci... Ma... non da solo,\nperò...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nLorsignore, non ho potuto fare a meno di\nsentire. Avete in programma un viaggio?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nSenti questa, Panette. Pare che in una foresta\nqua vicino si trovi una magione leggendaria...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nAh, davvero? Non ne ho mai udito proferir\nparola.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nNeanch'io fino a oggi! Stando alle leggende\nlocali, un famoso cavaliere viveva proprio in\nquella magione.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nEra un cavaliere forte e prestante che non\ntemeva la morte... finché un giorno morì.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nDa quel momento il suo spirito fu visto apparire\nnella magione...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nStraordinario, di grazia!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nPoverino, non sa di essere morto! Pensa che\ncontinua a deambulare in giro per casa, ombra\ndell'uomo che fu in vita...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nMa ciò implicherebbe che è... un fantasma?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nOh, beh. Se vogliamo essere tecnici, sì...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nMi piacerebbe visitare cotale dimora! Ho una\ngrande ammirazione per i fantasmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nDavvero?! Ma allora cosa stiamo aspettando?\nAndiamo!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nSarà molto, ma molto meglio che trovarmi lì da\nsolo.\x0E\x04\x00\x00
