MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nNo... non può essere. Eppure sembrerebbe\nproprio...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nChe c'è, Corrin?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06カムイ\nSono già stata qui... o in un posto molto simile.\nÈ da dove si è diramato il mio destino.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06カムイ\nQuel giorno mi trovai davanti a tre possibili\ncammini. Il destino mi portò a sceglierne uno.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nDimmi di più.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06カムイ\nNel mio mondo esistevano due regni in lotta\ntra loro: l'Hoshido e il Nohr...\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06カムイ\nIo nacqui in Hoshido, ma trascorsi la mia\ninfanzia in Nohr.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nNon deve essere facile essere legata a due\nnazioni in conflitto tra loro.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06カムイ\nNon lo è. Qui è dove l'Hoshido e il Nohr si\naffrontarono e in quel momento dovetti\ndecidere da che parte stare.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06カムイ\nAvevo amici e famiglia da entrambe le parti.\nFu una decisione sofferta.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06カムイ\nMa andava comunque fatta.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06カムイ\nHoshido o Nohr? Oppure nessuno dei due,\ne combattere da sola? Non c'era risposta\nscontata.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nNon so cosa avrei fatto al posto tuo.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nE temo che prima o poi toccherà anche a me\nprendere una decisione importante.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06カムイ\nMa tu hai già le idee chiare. Sai di volere\naffrontare il Drago Maligno e salvare il mondo.\nNon è una scelta da poco.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06カムイ\nVediamo se la tua determinazione è degna della\nscelta che hai fatto, \x0E\x06\x03\x00. Sfidiamoci.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06カムイ\nBaserò la mia prossima scelta sul risultato di\nquesta sfida. Il nostro legame sarà ancora più\nforte.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nVa bene. Le strade che abbiamo intrapreso\nsi sono incrociate...\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nE adesso non vedo l'ora di scoprire cosa\nci riserva il destino.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x03\x02\x08\x06カムイ\nSei pront\x0E\x0A\x00\x08\x02o\x02a? Cominciamo.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nCorrin è in grado di cambiare il terreno del\ncampo di battaglia. Non voglio farmi cogliere\nimpreparat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nQui sotto sento qualcosa... È una vena del\ndrago. La userò per metterti in difficoltà!\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x02\x08\x06カムイ\n\x0E\x05\x01\x14\x06カムイ\nRelax\nMa non ti preoccupare, sono certa che ce\nla farai.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x16\x06カムイ\x0CStatus\n\x0E\x03\x02\x08\x06カムイ\nRicordo ancora con precisione come mi\nsentii l'ultima volta che fui qui...\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nÈ qui che si è deciso il tuo destino, vero?\nPercepisco l'intensità di quel momento.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nSotto con quei colpi! Combatti come se volessi\nuccidermi!\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nSarà fatto, Corrin! Ho scelto la mia strada\ne la percorrerò fino in fondo!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CStrike\n\x0E\x03\x02\x0A\x08セアダス\nNon credevo di dovermi scontrare con te.\nTi devo la vita. Ma, a quanto pare, il mondo è\npieno di sorprese.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x1A\x06カムイ\x10Surprise\n\x0E\x03\x02\x08\x06カムイ\nMa come, sei un indovino e non hai previsto\nquesto momento? Strano.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\nPrendimi in giro quanto vuoi, ma credo che\nconoscere il risultato di una sfida prima di\nconcluderla sarebbe noioso.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\x06カムイ\nSmile\n\x0E\x03\x02\x08\x06カムイ\nIl futuro non è prestabilito. Io controllo il mio\ndestino, mentre il tuo è nelle tue mani!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nNon mi deludi, \x0E\x06\x03\x00.\nHai dato del filo da torcere alla mia Yato.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nChe bella spada.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06カムイ\nÈ una spada speciale. Fu forgiata per portare\nla pace nel mondo.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06カムイ\nLa prima volta che la vidi, mi volò dritta tra\nle mani. Scelse me.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06カムイ\nQuello fu anche il giorno in cui mia madre morì\nper proteggermi...\x0E\x04\x00\x00
