MID_WU_C_1_IN_#001	Permesso.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Fate in fretta a svegliarvi.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	È utile in caso di attacco.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Ora tolgo il disturbo.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Mi sento in imbarazzo a entrare così...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	ma è mio dovere farlo.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Drago Divino... Drago Divino?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buongiorno.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Sono solo io.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Il risveglio con me vi sembra troppo formale?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Chiedo scusa.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	"La cavaliera si avvicinò all'altare..."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	"e il Drago Divino si svegliò all'istante,\nal suono dei suoi passi."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Buongiorno, Drago Divino.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	"Persa nei sogni, la figura sull'altare sembrava\nsospesa nel tempo."\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	"All'improvviso, la cavaliera fece rumore\nrovinando quel sereno momento..."\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Eheh, non potrei mai.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	"La cavaliera parlò..."\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	"invitando il Drago Divino a destarsi."\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Buongiorno. Come vi sentite oggi?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Che calma... È perfetto per meditare un po'.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Mi spiace disturbare questo silenzio.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Ma è quasi ora. Preparatevi per la partenza.\x0E\x04\x00\x00
