MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nFinalmente siamo di nuovo insieme, Tiki.\nÈ un onore combattere al tuo fianco.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04チキ\nDevo aver dormito a lungo. Sono contenta\ndi essere tornata!\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nNon ho memoria di chi mi abbia messa in quel\nlungo sonno. Ricordo solo che aveva delle mani\ndelicate, come le tue.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nMani delicate...\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nMi piacerebbe abbracciarti, se per te non è\nun problema.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04チキ\nNo che non lo è! Yawn... con te mi sento al\nsicuro. Credo che le mani delicate di cui parlavo\nfossero proprio le tue...\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nAllora ti ricordi del momento in cui ti ho messa\na dormire. Sai, sono lieta di riaverti tra noi.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04チキ\nE io sono contenta di essere tornata! Ora niente\ne nessuno ci separerà!\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nNon ricordo molto di te, so solo che mi sento\nal sicuro al tuo fianco!\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nFossi in te, non mi fiderei troppo del tuo istinto.\nAd ogni modo, cercherò di essere gentile nei\ntuoi confronti d'ora in avanti.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nPerché hai sempre quell'espressione torva,\nRafal? Dovresti sorridere, siamo amici.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nAmici...? E va bene, allora dovremmo stare un\npo' insieme. Cosa vuoi fare?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nSai una cosa, Rafal? Mi piaci proprio!\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nLo stesso vale per me. Tuttavia, se penso alle\nmie azioni passate...\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04チキ\nNon crucciarti. Non sei più la persona che eri.\nVa tutto bene.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nRicordi tutto, ma mi consideri lo stesso un\namico? Non me lo merito, ma grazie.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nTu sei un Drago Magico, Zelestia?\nVuoi essere mia amica?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMa certo che voglio. Nel nostro mondo non ho\nmai avuto occasione di conoscerti bene.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nQuando parlo con te, mi viene sonno. È perché\nmi sento al sicuro e protetta...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nVieni a sederti qui vicino, allora. Se ti\naddormenti, resterò con te finché non\nti sveglierai.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nQui sono tutti così amichevoli! È come una\ngrande famiglia. Dev'essere bello...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nEheh, hai proprio ragione. Una preziosa\nfamiglia di cui fai parte anche tu, adesso.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04チキ\nOh, davvero?! Che bello! Spero che duri per\nsempre, voglio restare qui con voi. Posso?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nCerto. Il nostro legame è diventato molto forte\ne ci terrà unite per sempre, lo prometto.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNon so proprio come comportarmi con Tiki, per\nquanto fosse un emblema del mio mondo...\x0E\x04\x00\x00
