MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nEhi, principessa Timerra!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\nSignorina Anna! Che si dice di bello?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nDomanda al volo... Cosa manca di più alla\ngente nel regno di Solm?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nAhah, cos'è? Un indovinello? Adoro gli\nindovinelli! Fammi pensare...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nNon è un indovinello. Era una domanda seria.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nOh, e perché me lo chiedi?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nSe scopro cosa manca al Solm, scoprirò anche\ncosa mi conviene vendere. Semplice.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nE se c'è qualcuno che sa tutto, ma proprio\ntutto sul Solm, quella sei tu.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nE così cerchi un consiglio su cosa vendere.\nComprensibile.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nDevo pur mantenermi in qualche modo. Sono\nlontana dalla mia famiglia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nIl commercio è la mia unica speranza.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nVedi... In Solm ci sono già tanti mercanti.\nNon è facile entrare nel mercato, lì.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06アンナ\nQuindi ci sono già dei canali di distribuzione\ndelle merci ben stabiliti?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nIn tal caso devo trovare un prodotto nuovo, che\nnessuno venda! Solo così potrò competere!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nPerò, che bell'idea, signorina Anna!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nTi aiuterò a trovare il prodotto giusto per il\nSolm, allora.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nGrazie tante, principessa Timerra. Ma non\nperdiamo tempo! Devo iniziare la mia ricerca\ndi mercato!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nEhi, principessa Timerra! Indovina!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nIl nuovo prodotto è pronto per il lancio.\nTi piacerà, ci scommetto!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nFinalmente! Muoio dalla curiosità. Forza, fammi\nvedere!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nPrima di tutto, mi sono chiesta: "Quali sono i\nproblemi che il popolo solmico deve affrontare\nogni giorno?"\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nUhm. La calura, la siccità... Insetti. Non ti dico\nche insetti abbiamo da quelle parti.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nCerto, certo, ma non è quello che avevo\nin mente.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nQuante volte ti è successo di perdere qualcosa\nnella sabbia e non trovarla più?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nUhm. Beh... suppongo qualche volta.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nEd ecco che subentra il mio prodotto!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nOh! Un rastrello. Ma non serve per raccattare le\nfoglie?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nTi confondi con un altro tipo di rastrello.\nQuesto serve a trovare gli oggetti che si\nperdono in mezzo alla sabbia!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nNon... Non sono sicura di aver capito.\x0E\x04\x00\x00
