MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nJean? Non ti bastano le verdure in mensa?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nOh, veramente stavo raccogliendo delle erbe\nmedicinali. Vedete?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nPerò. Ne hai raccolte un bel po'.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nQueste hanno proprietà antidolorifiche e queste\nservono a fare unguenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nCrescevano dappertutto nella mia isola, ma ora\nsono difficili da trovare.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nNe sto raccogliendo un po' da mandare a mio\npadre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nPer la clinica, giusto?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nMa è un lavoro troppo pesante per una persona\nsola. Lascia che ti aiuti.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ジャン\nOh, non ce n'è bisogno! Avrete sicuramente di\nmeglio da fare, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nNulla di che, posso darti una mano senza\nproblemi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nE poi tra le battaglie e i tuoi studi scommetto\nche non hai tempo neanche di dormire.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nEheh, avrei dovuto aspettarmelo. Non si può\nnascondere niente al Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nProprio così, non mi sfugge niente.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nAllora, se non è un problema, un po' di aiuto mi\nfarebbe comodo! Grazie!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nAnche oggi a raccogliere erbe, vedo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nQueste erbe sono fondamentali per curare\nferite e malattie, sulla mia isola.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nAndavo spesso a raccoglierne con papà.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nNon ho avuto modo di conoscerlo bene\nsull'isola. Che tipo è?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nSe faccio una cosa giusta, aiutandolo o quando\nstudio, mi loda come se fossi un bravo\ncagnolino.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nMa se faccio qualcosa che non va, allora si\narrabbia e mi sgrida come si fa con un cane\ndisubbidiente.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nQuindi, nel bene e nel male, sei sempre un\ncucciolo per lui?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ジャン\nAhah, ora che mi ci fate pensare...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nIn effetti c'erano giorni in cui andavamo\nd'accordo, e altri in cui lo detestavo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nMa ora che sono lontano da casa, lo apprezzo\ndi più. Stessa cosa per mia madre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nQuando li vedevo ogni giorno non ci facevo\ncaso, ma nutro grande rispetto per i miei\ngenitori.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nÈ grazie a come mi hanno cresciuto che ora\nlavoro così sodo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nJean... che belle parole...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nEh?! State piangendo?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nMi commuovo sempre di fronte a delle storie\ncosì...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ジャン\nGrazie, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nPrendete questo unguento. Fa bene agli occhi\ngonfi.\x0E\x04\x00\x00
