MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVedo che stai facendo progressi. Le tue abilità\nmigliorano a vista d'occhio, lasciatelo dire.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nSolo perché ho il tuo esempio a spronarmi.\nTuttavia, ho ancora molto da imparare!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nHo sentito che avevi un fratello. Com'era?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEcco, certe volte era un po' irritante, ma non\nho mai conosciuto nessuno alla sua altezza.\nMe incluso, ovviamente.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nAmmiro molto la tua destrezza, Hector. Posso\nchiederti un favore? Ti alleneresti con me?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNe sarei onorato. Ma posso chiederti come mai?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nSei sempre pronto a difendere i tuoi alleati.\nAnch'io vorrei essere in grado di difendere te.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nMi sembra un ottimo piano. Ma se vuoi imparare\na difendermi, devi essere pront\x0E\x0A\x00\x08\x02o\x02a a dare tutt\x0E\x0A\x00\x08\x02o\x02a\nte stess\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nNon avrei mai immaginato di poter combattere\nal vostro fianco. La vita non cessa mai di\nsorprenderci.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nPuoi ben dirlo, ma era destino! Non vedo l'ora\ndi scoprire cos'ha in serbo il futuro.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLe vostre tattiche di combattimento sono\ntutt'altro che convenzionali. Me le insegnereste?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nLe ho imparate combattendo in un'arena. Se\nnon hai paura di insudiciarti, diamoci da fare.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nCosa fai di bello? Stai... lavorando a maglia?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEbbene sì. Mi piace sferruzzare nel mio tempo\nlibero. Mi aiuta a svuotare la mente e a\nconcentrarmi sulle cose essenziali.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nMio fratello mi diceva sempre che non ero\nabbastanza paziente. Forse dovrei imparare\nanche io... mi insegni?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nNessun problema. Se posso esservi utile con il\nmio passatempo, ben venga.\x0E\x04\x00\x00
