MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEhiii, Drago Divino! Che te ne pare?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nDi cosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa sì! Ti sembro carina? Belloccia? Bellissima?\nUsa parole tue!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nAh, ma certo che sei carina, come sempre.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nTutto qua? Guarda che mi costa un grande\nsforzo essere così carina, sai?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nCome minimo potevi notarlo!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nNon lo sapevo... scusa se non l'ho notato.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nE basta? Umpf.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nCom'è che non ha funzionato? Di solito quando\nfaccio gli occhi tristi, sono tutti super gentili\ncon me...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDrago Divino, per caso hai fatto qualche\nallenamento divino per scoprire le lacrime finte?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nAllenamento divino?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNon penso che sia necessario un allenamento\nper capire che era tutta scena...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa! Va bene, allora cambio domanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nPerché non mi hai ancora riempita\ndi complimenti? Sono così carina!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nNon tratto le persone in maniera diversa\nin base all'aspetto fisico. Ciò che conta è\nl'aspetto interiore.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nSbagliato! La personalità è importante, ma\nanche l'aspetto lo è! Lo sanno tutti!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nDiventerò ancora più carina e te ne accorgerai,\nvolente o nolente.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEeeehi, Drago Divino! Come ti sembro oggi?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nMi sono impegnata per essere ancora più\ncarina del solito.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nAllora, sei pront\x0E\x0A\x00\x08\x02o\x02a ad ammettere il mio fascino\nindiscutibile?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nSei molto carina e non ho dubbi che ti sia\nimpegnata molto...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n... ma come ti ho detto, non bado all'aspetto\ndelle persone. Perché continui a chiedermelo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nSenti, avrei preferito non parlartene, ma...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMia madre era una delle concubine del re.\nPerciò subì molti maltrattamenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa non l'ho mai vista alterata. Manteneva\nla sua compostezza davanti a ogni insulto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nSi creò il suo posto a corte con i sorrisi. E alla\nfine conquistò anche la fiducia della moglie\ndel re.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nÈ così che ho imparato che la bellezza è potere.\nE la userò proprio come fece mia madre.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nCapisco... ma posso chiederti una cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nNon pensi che tua madre avesse un altro scopo\noltre alla sopravvivenza?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nTipo cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nForse voleva che seguissi il suo esempio, che\nimparassi a cavartela lì in mezzo.\x0E\x04\x00\x00
