MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nSei così aggraziata e delicata, a differenza mia.\nForse, avrei qualcosa da imparare da te.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nエイリーク\nContinua a essere te stessa, Nel. Non faccio\nnulla di speciale, davvero.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nSe devo essere sincera, non amo combattere.\nLo faccio soltanto per garantire un futuro\nmigliore per tutti noi.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIl tuo rifiuto per le battaglie è un esempio\nlampante della tua gentilezza. E il motivo per\ncui combatti lo è ancora di più.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nAmmetto che, all'inizio, il tuo carattere gentile\nmi preoccupava. Temevo che fosse segno di\ndebolezza.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nOra, però, mi è chiaro perché ti rispettino tutti.\nIl tuo cuore sa essere affettuoso e forte al\ncontempo, Erika.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nエイリーク\nOh, non merito tutti questi complimenti. Ma se\nè davvero quello che pensi di me, allora te ne\nsono grata.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nエイリーク\nApprezzo la tua empatia e la foga con cui\ndifendi coloro a cui tieni. Sono contenta di\naverti conosciuta.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nTu... sei un enigma. Combatti con fervore,\neppure sembri così debole.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nエイリーク\nCos'è...? Un complimento?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nAnche se io e mio fratello non appariamo quasi\nmai insieme, sento che lui veglia su di me.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nDa come ne parli, sembra un fratello\ncoscienzioso. Mi domando se mia sorella abbia\nmai pensato lo stesso di me.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nTi è mai capitato di detestare tuo fratello? Io\nho odiato mia sorella per un certo tempo, ma\nciò appartiene al passato.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMio fratello sapeva essere una spina nel fianco,\nma anche così non ho mai smesso di volergli\nbene.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nエイリーク\nComunque, se è lady Nel che ti preoccupa,\ndovresti parlarle. Siete una famiglia, dopotutto.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nOra, fortunatamente, abbiamo accantonato i\nnostri attriti. Se mai avrò altre preoccupazioni,\nso di poterne parlare con te.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSembri riservata, Erika. Dovresti provare a farti\nvalere di più.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nエイリーク\nFarmi valere? È proprio necessario? Mi basta\nrendermi utile a tutti voi, davvero.\x0E\x04\x00\x00
