MID_WU_C_1_IN_#001	È permesso?
MID_WU_C_1_IN_#002	Non vorrei finire nei guai.
MID_WU_C_1_SOON_#001	Oh, perdonami, ti ho svegliat\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_C_1_SOON_#002	Ma, in fondo, è il motivo per cui sono qui.
MID_WU_C_1_SOON_#003	Buongiorno, Drago Divino.
MID_WU_C_1_WAKEUP_#001	Ho un po' di paura a svegliare il Drago Divino...
MID_WU_C_1_WAKEUP_#002	Ma non voglio fallire il mio incarico. Che fare?
MID_WU_C_1_WAKEUP_#003	Forse potrei...
MID_WU_C_1_WAKEUP_#004	chiamarl\x0E\x0A\x00\x08\x02o\x02a bisbigliando...
MID_WU_C_1_HELLO_#001	Buongiorno, Drago Divino.
MID_WU_C_1_HELLO_#002	Scusami, non volevo spaventarti.
MID_WU_C_1_HELLO_#003	La prossima volta sarò più delicato.
MID_WU_C_2_IN_#001	Questa è la stanza del Drago Divino...
MID_WU_C_2_IN_#002	Ci saranno delle trappole?
MID_WU_C_2_IN_#003	Ma cosa dico, ovvio che no.
MID_WU_C_2_SOON_#001	Ah, mi hai sentito entrare.
MID_WU_C_2_SOON_#002	Ti ho spaventat\x0E\x0A\x00\x08\x02o\x02a?
MID_WU_C_2_SOON_#003	...
MID_WU_C_2_SOON_#004	Come ti capisco.
MID_WU_C_2_WAKEUP_#001	Salve?
MID_WU_C_2_WAKEUP_#002	La mia voce era troppo forte?
MID_WU_C_2_WAKEUP_#003	E ora come faccio? Non voglio\nspaventare nessuno.
MID_WU_C_2_WAKEUP_#004	Potrei bisbigliare... Non c'è niente di\npeggio che svegliarsi di soprassalto.
MID_WU_C_2_WAKEUP_#005	Svegliati, Drago Divino...
MID_WU_C_2_HELLO_#001	Dormito bene?
MID_WU_C_2_HELLO_#002	Sei content\x0E\x0A\x00\x08\x02o\x02a
MID_WU_C_2_HELLO_#003	se ti sveglio io?
MID_WU_C_2_HELLO_#004	A giudicare dal tuo sguardo, direi di sì.
