MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nL'affetto che provi per tuo fratello traspare da\nogni tuo gesto. Sento che andremo d'accordo.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nHai un dono, capisci le persone al volo. Anch'io\nritengo che andremo d'accordo.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nAnch'io avevo qualcuno che era un po' come un\nfratello minore. Non ci assomigliavamo, ma mi\nera molto caro.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nNon è la somiglianza a fare i fratelli. O mi sono\npersa qualcosa?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04エル\nHo saputo che sei più longeva del normale.\nEcco perché tuo fratello minore è invecchiato\nprima di te.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nPiù o meno, sì. Era come un fratello minore,\nma alla fine è diventato più grande di me.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nIn quanto drago, ti capisco fin troppo bene.\nÈ triste vedere gli altri che invecchiano.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nApprezzo la tua empatia. Ho avuto ragione\nquando ho predetto che saremmo andate\nd'accordo.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nCos'è quello sguardo protettivo? Non avrai mica\nintenzione di trattarmi come un bambino?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, scusami, non volevo irritarti. Però, sì, mi\npiacerebbe prendermi cura di te.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nCosa ho fatto di male per avere delle sorelle\nsempre preoccupate per me? Sbaglio o ti ho già\ndetto che non sono un bambino?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nScusami, ma appena mi hanno detto che sei un\nfratello minore, mi è venuta voglia di coccolarti.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nRafal? Mi sento un fallimento come sorella,\nspecialmente in confronto a lady Nel.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nUn fallimento? Ma che vai blaterando? Non\navevi forse un fratello minore nel tuo mondo?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nIn un certo senso, sì. Ma fu lui a cercarmi e\nmi sono sempre domandata perché lo fece.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nNon mi sembra un mistero. Eri importante per\nlui. Anche i fratelli minori si preoccupano per le\nsorelle maggiori.\x0E\x04\x00\x00
