MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSono contento di essere il tuo compagno\nd'armi. Ho giurato a Lumera che ti avrei\nprotett\x0E\x0A\x00\x08\x02o\x02a a costo della vita.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio, emblema Sigurd. Anche a me...\nanche a me fa piacere averti nella mia squadra.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nPer me sei un\x0E\x0A\x00\x08\x02o\x02a di famiglia. Procederemo\nfianco a fianco e combatteremo le stesse\nbattaglie.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nCon te non c'è battaglia che io tema.\nSento i nostri cuori battere all'unisono.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nHai stretto forti amicizie con i tuoi alleati.\nÈ grazie questi legami che io sono qui.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nAnch'io non sarei qui senza l'aiuto di tutti\nquelli che hanno camminato al mio fianco.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nOvviamente parlo anche di te, Sigurd.\nSiamo fortunati ad averti come alleato.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08シグルド\nIl nostro legame non sbiadirà col passare del\ntempo. Metteremo fine a questa guerra insieme.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSono addolorato di non aver protetto la regina\nLumera... Il senso di colpa mi uccide.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08シグルド\nLumera non c'è più, ma la sua volontà\ncontinuerà a vivere. Il nostro compito è\nrealizzare i suoi desideri.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSei un artigiano del cucito. Hai una rara\nmaestria nel creare motivi così elaborati.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nCredo di essere migliorato col passare del\ntempo. In realtà, è solo un passatempo a cui\nmi dedico di tanto in tanto.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLumera ti definiva "un eccellente valletto del\nDrago Divino". Lo sapevi?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nÈ stato un onore per me servirla, anche se non\navrei mai immaginato di sopravviverle.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nAmmiravo la regina Lumera. È stata una grande\ngioia essere al suo servizio così a lungo.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08シグルド\nE sono sicuro che anche lei era contenta di\naverti al suo servizio. Ora continueremo insieme\nil lavoro che aveva iniziato.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nAmmiri molto il Drago Divino, vero Clanne?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nSì! Ho aspettato così tanto che si risvegliasse.\nÈ un sogno poter\x0E\x0A\x00\x0E\x06gli\x04le parlare!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nOggi ho parlato a lungo con il Drago Divino!\nLord Sigurd, sono così felice che potrei svenire.\x0E\x04\x00\x00
