MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMauvier, sono curios\x0E\x0A\x00\x08\x02o\x02a. Quali sono le cose\nche preferisci?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nChiedo scusa? Perché mai vorreste saperlo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nVolevo farti un regalo, come simbolo della\nmia riconoscenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nUn regalo dal Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nE per quale ragione? Forse non sapete chi\nsono.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nSei il cavaliere di Veyle, giusto?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nVeyle è ancora tra noi solo grazie alle tue azioni.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nÈ la mia unica sorella, e non potrei mai\nringraziarti abbastanza per averla protetta.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nCapisci dunque perché io voglia ringraziarti\ndei tuoi servigi?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nLo capisco. Tuttavia...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nMi basta sapere di avere la vostra gratitudine.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nTi basta questo?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nSono lieto che apprezziate il mio aiuto a lady\nVeyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nMa non sono una brava persona. Sono stato\nun vostro nemico, Drago Divino, e non sono\ndegno delle vostre lodi.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nOra, se volete scusarmi, sono atteso altrove.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nMauvier, non...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nL'altra volta hai detto di non essere una brava\npersona. Ci ho pensato su, e sono totalmente\nin disaccordo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nPer esempio, ti ho visto mentre aiutavi la\ngente in città, senza obbligo alcuno.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nIl mio passato prova il contrario. Ora cerco solo\ndi espiare le mie colpe.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nUn tempo sognavo di vivere una vita modesta...\nHo seguito il Drago Maligno e ciò che mi è stato\ninsegnato.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\n... mi ha portato a essere nemico di molti,\nsoprattutto di voi, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nMa quello ormai è il passato...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nTutto ciò che posso dire non sono altro che\nvolgari scuse per il ruolo che ho avuto nella\nmia caduta nell'abisso.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNon sono stato in grado di fermare lady Veyle\nné la furia dei Quattro Segugi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nFinché porterò questi peccati con me, non sarò\ndegno di redenzione, né di perdono.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nI miei atti di gentilezza verso gli abitanti della\ncittà non sono che egoisti tentativi di\nespiazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nLe parole di elogio, da parte di chiunque, ma\nsoprattutto da parte vostra, non mi portano\nalcun sollievo. Solo altra sofferenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nQuanto pensi che durerà ancora la tua\npenitenza?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nLo ignoro.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nNon penso che finirà mai... anche dopo la mia\nmorte.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nHo peccato troppo per poter sperare altrimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nPosso aiutarti con le buone azioni di oggi?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nCome, scusate?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nSarebbe sconveniente per il Drago Divino\nabbassarsi a tali compiti triviali.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nNon sono d'accordo.\x0E\x04\x00\x00
