MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\nE... come state oggi... principe Alfred?\nVi ringrazio... infinitamente... per l'invito.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nMmmh. No, troppo formale. Meglio un tono più\namichevole.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nQualcosa non va, Clanne?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nUah! Da dove salti fuori?!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nChiedo scusa. Se l'udito non mi inganna, mi era\nparso di sentire il nome del mio signore.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nNon ti inganna, no. Il principe Alfred mi ha\ninvitato ad allenarci insieme più tardi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nMa è la prima volta che passo del tempo da\nsolo con lui e non so bene come comportarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nUn allenamento privato con il principe?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nEsatto.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nUhm, ha deciso di allenarsi in due, piuttosto che\nda solo o in gruppo. Cosa significherà?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nNon credo significhi nulla in particolare.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nOh, non badare a me. Dunque, ti stai\nesercitando a salutare il principe?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nGià! Non vorrei mai apparire maleducato.\nSarebbe troppo imbarazzante.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nPotresti aiutarmi a fare pratica, Louis?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nTi parlerò come se tu fossi il principe Alfred.\nCorreggimi se dico qualcosa che non va.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nOttima idea. Quando si tratta di buone maniere\nsono la persona a cui rivolgersi!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nBene... Ora mi sono fatto un quadro chiaro\ndella situazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nClanne sembra una bella persona dentro\ne fuori. La sua figura esile nasconde una\nforza interiore senza pari.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nIl principe lo avrà sicuramente notato, così\nlo ha preso sotto la sua ala. Com'è magnanimo!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nMi sfugge ancora qualche dettaglio, ma penso\ndi aver trovato una spiegazione plausibile, sì.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nUhm... Louis? Tutto a posto? Stavi farfugliando\nqualcosa tra te e te.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nNon è niente!\nFai finta di non aver sentito!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nCom'è andato l'allenamento con il principe, se\nmi è permesso domandare?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nÈ stato divertente! E grazie al tuo aiuto non\nho detto nulla di imbarazzante!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nIl principe Alfred era gentile e paziente, più del\nsolito. Mi ha insegnato un sacco di esercizi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nChiedo scusa?! "Più del solito"?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nNon mi è ben chiaro il concetto. Il principe è\nsempre gentile e paziente.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nUh, beh, ecco...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nÈ stato gentile con te perché ti considera\nun amico o c'è dietro qualcos'altro?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nOooh, forse ho capito cosa vuoi dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nSì, sembrava qualcos'altro. Quasi come tra...\nfratelli, direi.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nFratelli!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nDue fratelli... uno dal Firene e l'altro dal\nLythos. Però! Curioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nQualcosa non va? Vuoi sederti?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nOh, non è niente di importante, solo\nun'intuizione.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nOh, dimenticavo! Abbiamo un altro allenamento\nin programma. Ti andrebbe di unirti a noi?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nNo, per carità! Non mi permetterei mai di\nguastare qualcosa di così prezioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nVoi due pensate ad allenarvi. Io mi dedicherò ai\nmiei sogni ad occhi aperti.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nNon è possibile...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nLouis? Che succede?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nMi rattrista sapere che i tuoi allenamenti con\nil principe siano finiti...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nE tu come fai a saperlo?\x0E\x04\x00\x00
