MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nUh?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, salve, Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nBuona sera, Amber. Hai sentito anche tu quegli\nstrani suoni? O eri tu a farli?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nCerto che ero io. Stavo lanciando un richiamo\nper i miei amici alpaca giù al mio villaggio.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nCome, scusa?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nIl mio villaggio è anche la dimora di molti\nalpaca. Sono cresciuto con loro, praticamente!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nCerte volte ho nostalgia di casa e mi mancano\ni miei amici batuffolosi...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nE in queste notti di solitudine vengo qui, alzo\ngli occhi al cielo stellato e lancio il mio richiamo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nAaah, ecco cos'era quel suono...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nEra il verso dell'alpaca! Lancio richiami nella\nloro lingua.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nLa loro... lingua?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nLo so, lo so. È da folli. Di sicuro non possono\nsentirmi così da lontano...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nMa lo faccio per scacciare la tristezza! Mi\nsembra di averli al mio fianco, così.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nNon penso sia da folli. Sono sicur\x0E\x0A\x00\x08\x02o\x02a che in\nqualche modo il tuo richiamo arrivi a loro,\nAmber.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nOh! Siete gentile, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nCiao, Amber. Stai di nuovo parlando ai tuoi\nalpaca?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, Drago Divino! Proprio così.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nPosso domandarti cosa stavi dicendo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nHo detto: "Come va, amici?"\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nAh, è così che si dice? In, ehm, in lingua alpaca.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nEsatto. Se fossimo nella fattoria, a quest'ora\navrebbero risposto.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nMa pensa! Che cosa carina!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nPotete giurarci! Carinissima!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nNon avrei mai detto che mi sarei trovato qui,\na lanciare richiami da così lontano.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nSapete, non ho mai amato il mio villaggio.\nUn posto sperduto in mezzo al nulla, senza\nniente di interessante da fare...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nNon facevo che sognare di andarmene.\n"Un giorno me ne andrò da questa stalla. Un\ngiorno diventerò un eroe!"\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nMa ora che sono un attendente, sento la\nmancanza di casa. A volte mi sento così solo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nOh, chiedo scusa. Odio fare il lamentoso.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nNon preoccuparti, ti ascolto. Se ti senti solo\nposso restare un po' a farti compagnia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nNon sarà divertente come parlare con i tuoi\nalpaca, ma spero di andarti bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nState scherzando? Ma certo che mi va bene\nparlare con voi!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nPosso anche insegnarvi la lingua degli alpaca, se\nvolete.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nSembra interessante!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNon dirmelo... Era: "Mi mancate, vorrei vedervi\npresto"?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nD-Drago Divino?! Da dove spuntate fuori? E\ncome fate a sapere cosa stavo dicendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nTi ho ascoltato a lungo. Forse sto cominciando\na farci l'orecchio.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nWow, incredibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nUh... wow!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nSì, wow! Un momento... "Wow" per cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nNon hai sentito? Sembrava il verso di un\nalpaca in lontananza!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nOh, mi sa che mi è sfuggito! Cosa diceva?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nSembra incredibile anche a me, ma mi\npare abbia detto: "Verremo a trovarti un fine\nsettimana".\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nMa davvero?! Oooh! Che dolci! Devo rispondere!\nVediamo...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\n"Siete sempre i benvenuti, amici..."\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n"Il Drago Divino è qui con me. Me la passo\nbene. Ci si sente." Hai detto questo?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nSì! Parola per parola!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nSono davvero impressionato. Si direbbe che\navete una laurea in lingua alpaca!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nChe onore.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nQuando sono con voi mi sembra di essere alla\nmia fattoria.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nPerché? Ti ricordo qualche animale?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nMh? Ma no! Non intendevo quello. Scusate se\nmi è uscito male.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nNon preoccuparti, Amber. Sono content\x0E\x0A\x00\x08\x02o\x02a che\nti senti a casa con me. Non mi piace sapere che\nun mio amico soffre la solitudine.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nWow! Che parole gentili! Grazie, Drago Divino.\nSiete \x0E\x0A\x00\x0C\x04il\x04la migliore.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nUhm... Vediamo... "Di niente"?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リュール\nEsatto!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08アンバー\nQuesto è il mio villaggio. E questa è la fattoria\ndi alpaca della mia famiglia...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08アンバー\nE questo naturalmente è un alpaca. Ma cosa\nve lo dico a fare?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nAmber, non sapevo fossi così bravo a disegnare.\nQueste illustrazioni sono meravigliose.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08アンバー\nGrazie!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nDevo dire che sono un po' invidios\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nAmi il tuo villaggio e ne senti la mancanza,\nmentre io non ricordo nemmeno dove sia\ncasa mia...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08アンバー\nDrago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08アンバー\nLa vostra casa è qui.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nQui? E dove?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08アンバー\nAccanto a me!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08アンバー\nDrago Divino, lasciatemi spiegare! Se voi siete\nuna spada leggendaria, io sarò il fodero\nleggendario che la protegge!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08アンバー\nLe battaglie vi scalfiranno, ma potrete sempre\ntornare a me! Vi accoglierò sempre a braccia\naperte!\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08アンバー\nE vi scorterò al sicuro, vi porterò a casa. Fosse\nanche un milione di volte.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAmber...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nNo, non posso...\nSono content\x0E\x0A\x00\x08\x02o\x02a che la pensi così, ma ecco, vedi...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08アンバー\nAh, c-chiedo scusa. Forse ho peccato di\npresunzione...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nNon intendevo quello. Se sono una spada,\nvoglio che anche tu lo sia. Siamo qui insieme\na combattere!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08アンバー\nWoah!\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nVuoi diventare un eroe, no? Vorrei aiutarti\na realizzare il tuo sogno.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08アンバー\nDrago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nAmber, accetteresti l'anello del patto?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nPromettimi che sarai anche tu una spada e che\nmi starai accanto.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08アンバー\nSì...! Se è questo che volete, contate su di me!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nPortiamo la pace in questo mondo.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nE un giorno... mi piacerebbe visitare la tua\nfattoria di alpaca.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08アンバー\nMa certo! Casa mia è anche casa vostra!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08アンバー\nGrazie... Mi sento scoppiare di felicità. Non ho\nparole...\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08アンバー\nHo trovato! Andrò subito a dirlo agli alpaca\ndel mio villaggio!\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nOh... Ci vorrà un bel po'... Facciamolo dopo,\nti va? Voglio venire con te.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nE poi adesso vorrei averti solo per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08アンバー\nD'accordo, Drago Divino \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08アンバー\nSiamo due spade legate dal destino. Saremo\ninseparabili, che vi piaccia o no!\x0E\x04\x00\x00
