MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrincipessa Céline! Hai fatto qualcosa ai capelli?\nSembrano persino più fluenti del solito.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nBuongiorno, principe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nPuoi dirlo forte. Ogni giorno che ti vedo è\nun buon giorno.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nNon batti ciglio, mh?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nSe dovessi reagire a tutte le vostre adulazioni,\nnon basterebbe una giornata intera.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nAdulazioni? Io? Non mi permetterei mai.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nCi sono! Dovremmo berci un tè insieme. Ti\npiace il tè, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nMi piace.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nSiamo esponenti delle famiglie reali del Solm e\ndel Firene. È importante che facciamo\nconoscenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nChe parliamo dei nostri valori e quant'altro.\nSarebbe vantaggioso per entrambe le parti.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEheh. Parole degne del principe di una nazione\ndi abili mercanti.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nNon c'è niente di sbagliato nello scambio\nreciproco.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nDovrete perdonarmi, allora, perché mi vedo\ncostretta a rifiutare per adesso.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nLo stile di vita firenese è piuttosto bucolico. A\nnoi manca quel gusto per il rischio e gli intrighi\nche sembra caratterizzarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nNon è il caso di dare tutti questi significati a\nun semplice tè in compagnia. La fai sembrare\nun'avventura.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nUn'avventura pericolosa, nella fattispecie.\nBuona giornata, principe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x01\x0A\x08セリーヌ\n\x0E\x03\x02\x0C\nフォガート\nEd eccola che se ne va. Ci vorrà molta pazienza.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nMa che mi aspettavo? Viene dal Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nGuarda chi si vede. Principessa Céline.\nSplendida come sempre!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nVi ringrazio, principe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nAllora? Lo vuoi o no un tè?\nÈ tempo di conoscerci meglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nMmmh. Sarà saggio?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nE dai... ci stai ancora rimuginando sopra?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nBah, immagino sia la tua natura firenese. Non\nè colpa tua se sei così chiusa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セリーヌ\nCome vi ho detto, non amiamo correre rischi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nSarà. Ma credo che ci sia dell'altro.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nOh? E che altro?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nL'agricoltura firenese è così sviluppata che\nnon vi servono delle riserve e non avete bisogno\ndi importare niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nLa qual cosa è un bene, non fraintendermi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nMa la vostra autosufficienza vi ha resi un po'\nasociali, se posso permettermi.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nフォガート\nLe vostre porte sono così chiuse che potreste\nmettere direttamente dei muri.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nInteressante. In effetti, se la mettiamo così,\nsembriamo piuttosto isolati...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nE va bene. Accetto l'invito.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nVi dimostrerò che noi firenesi non siamo\nun popolo chiuso, dopotutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nE che anzi, la generosità favorita dai nostri modi\nbucolici ci rende incredibilmente accomodanti.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nAhah, meglio così, principessa Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nTi fai carico personalmente di dimostrare che\nil Firene non è un regno chiuso. Ammirevole.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nPenso che coglierò l'occasione per farmi\nun'idea del segreto della vostra prosperità.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nAd esempio di come vi attirate i favori della\nnobiltà straniera per carpire informazioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nフォガート\nNon lo nego. In quanto principe talvolta mi\ntocca mischiare affari e tempo libero.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nフォガート\nMa oggi non è questo il caso, ti assicuro.\nSarà solo un tè con qualche amabile\nchiacchiera.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セリーヌ\nAccetto con piacere, principe di Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNon trovate talvolta che in fondo siamo simili?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nStavo proprio pensando la stessa cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nNon potremmo sembrare più diversi d'aspetto\ne di maniere, eppure ci intendiamo così bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nCapisco perfettamente cosa volete dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nImmagino che abbia senso. In fondo ci troviamo\nin situazioni molto simili.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nEntrambi siamo secondi in successione al trono\ndei nostri regni. Fratello e sorella degli eredi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nVero.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nFin dall'infanzia mi sono sempre sforzata di\noccupare un ruolo di supporto per il futuro re.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nAnch'io ho passato la vita a cercare modi per\naiutare mia sorella.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nE uno di questi è diventare più forte di lei,\nallenarmi più di lei.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nLasciare il palazzo per correre a risolvere\nconflitti in giro per il regno.\x0E\x04\x00\x00
