MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nEhi, principessa Ivy!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nCiao, principessa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nGuardaci un po'! Due future regine che se\nla spassano.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nSì... io guiderò l'Elusia, un giorno...\nE tu il Solm...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nMa, a parte il nostro rango, non abbiamo\nnient'altro in comune.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nIo invece non penso che siamo poi così diverse.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nTu dici? A me, le nostre personalità paiono\ncompletamente opposte.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nNon dico che l'una o l'altra sia migliore.\nSolo che siamo diverse.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nUhm... in questo hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\nNon ho mai vagato per il mio regno a caccia di\nbanditi, né mi sono mai accampata all'aperto...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nCosa?! Non hai mai fatto campeggio?\nAllora non puoi dire di aver vissuto davvero!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nNon vedo come si possa desiderare di dormire\nall'aperto. In fondo, costruiamo le case apposta\nper quello.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nCambierai idea dopo aver provato il brivido\ndi dormire sotto le stelle!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nE perché mai dovrei...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nSai cosa? Ci sto.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nMa solo perché sarebbe estremamente scortese\nrifiutare l'invito di una principessa.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nEvviva! Comincio subito a fare i preparativi!\nTieniti pronta per il grande giorno!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nSarà un'esperienza... interessante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nLalalà...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nVisto, principessa Ivy? Sapevo che ti saresti\ndivertita!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nCon tutto il rispetto, Altezza, la tua capacità\ndi osservazione ha bisogno di miglioramento.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nGuardami.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nSono in presenza di un'altezza reale, eppure\nnon riesco a smettere di tremare.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nPer dirla con un eufemismo, non mi sto\ndivertendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nE perché stai tremando?! Se vuoi aggiungo un\npo' di legna al fuoco.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nNon ho freddo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nAh!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nTremo per la paura.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nOh, se hai paura delle bestie selvatiche, lascia\nche ti rassicuri.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nHo installato delle trappole, per sicurezza, ma\nil fuoco dovrebbe bastare a tenerle lontane.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nNo... ho paura dei fantasmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nHo udito un flebile lamento... provenire da\nlaggiù...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n♪ Venite fuori, fantasmi spaventooosi... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nSsssh!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nAhahah! Scusa, scusa! Ma cantando potresti\nsentirti un po' meno spaventata... proviamo?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\n♪ F-Fantas... mi... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nBrava, così! ♪ Di guerre e pestilenze bisogna\naver paura, non dei fantasmi, sono sicura! ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\n♪ Dimenticate di avermi qui vista, prometto\nche mai più dormirò di tetto sprovvistaaa! ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrincipessa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nIl campeggio è stato un'esperienza importante.\nTi ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nPrego! Dimmi, dunque...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nHai scoperto il mio punto debole?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nEheh... allora l'avevi capito...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nCerto, dopotutto sono una principessa.\nAnche io stavo pensando alla stessa cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nQuando saremo regine, potrebbe tornarci\nutile conoscere i reciproci punti deboli.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nÈ proprio per quello che ho accettato di\naccompagnarti a campeggiare.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nMa il gioco mi si è ritorto contro. Sono stata\nio a mostrare il mio punto debole.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nGià! Inizia con la F e fa rima con marasma.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nNon ho scoperto niente su di te... se non che\nsiamo ancora più diverse di quanto pensassi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nDopo aver parlato tutta la notte, la lista delle\nnostre divergenze si è solo allungata.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nTi piace la carne e a me le verdure.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nIo amo cantare, ma tu ti vergogni a cantare\ndavanti agli altri.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nIo amo studiare, mentre tu preferisci scorrazzare\nper le colline.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nAhahah! Siamo proprio diverse, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nEppure, mi ha fatto piacere passare del tempo\ncon te.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nAnche a me! Sono stata benissimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nLe differenze possono generare conflitti, ma\nanche stimolare la discussione.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nIl tempo che abbiamo trascorso insieme e la\nnostra discussione mi hanno aiutato a diventare\nuna sovrana migliore per il mio popolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nVale anche per me. Spero che resteremo\namiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nEheheh, anche l'amicizia deve essere reciproca.\nDevi svelarmi il tuo punto debole.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nUmpf! Preferirei non farlo, ma mi hai messa\nalle corde.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nEheheh, sto scherzando. Voglio solo che\nandiamo d'accordo, principessa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nVoglio che siamo amiche e voglio che lo siano\nanche i nostri regni.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nSono d'accordo! A una lunga amicizia, senza\nfantasmi!\x0E\x04\x00\x00
