MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSalve, Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nBuongiorno, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nPerò, che sorriso. È successo qualcosa di bello?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nPuoi dirlo forte!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi sono alzato prima dell'alba per allenarmi.\nE ho anche fatto una bella corsa!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nE la ciliegina sulla torta? Il tuo volto così\nluminoso e brillante! Che giornata fantastica!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nNon prendermi in giro...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon ti prendo in giro! Chi non sarebbe contento\ndi vedere un\x0E\x0A\x00\x06
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nIn effetti anche io sono content\x0E\x0A\x00\x08\x02o\x02a quando vedo\ni miei amici.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nHai visto? Pure io!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nHai bisogno di aiuto? Ormai ti sei svegliat\x0E\x0A\x00\x08\x02o\x02a\nda un po', ma non deve essere facile per te.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvrai tante cose nuove a cui abituarti. Dimmi\ntutto! Il tuo amico Alfred è qui per te!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nVediamo... Mmmh. No, non mi viene in mente\nniente al momento.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nBene. Benissimo. Ma se ci fosse qualcosa,\nmi piacerebbe essere il primo a saperlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nPrima di lasciare il Lythos, mi hai chiesto, in\nquanto tuo amico, di spiegarti tante cose, per\naiutarti ad ambientarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nSapere che volevi la mia amicizia mi ha\nreso felice.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nLa tua amicizia rende felice anche me, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao, Alfred. Hai un attimo?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa certo! Dimmi tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nApprezzo molto che in queste mattine tu mi\nabbia portato la colazione...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nMa potresti non farlo più?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, no! Forse ho esagerato con le proteine?\nEra per farti diventare più forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nIn effetti c'era molta carne... ma non è questo\nil problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nMi sento in colpa a vederti fare tutto questo per\nme.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, capisco. Non volevo farti sentire in colpa.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nCredevo che avresti gradito qualche sana\ncolazione appetitosa. Ma non lo farò più.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nGrazie, Alfred. E c'è dell'altro.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nOgni notte, quando sto per addormentarmi\nc'è sempre un flauto che mi tormenta...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, sì. Sono io che ti suono una ninnananna.\nIl Drago Divino merita di riposare bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nAh, mi era sembrata tua la sagoma fuori dal\nterrazzo...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nSei davvero carino a suonare per me, ma\npreferirei che non lo facessi più. Per favore.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nSe suoni fino a tarda notte poi mi sembra\ndi sentire quella musichetta anche nel sonno...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, no! Mi dispiace! Non so mai bene quando\nti sei addormentat\x0E\x0A\x00\x08\x02o\x02a e così continuo a suonare.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nVolevo solo esserti di aiuto, ma... mi sa che\nnon ha funzionato.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon merito di essere tuo amico.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nNon esageriamo, adesso...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nCerco sempre di prendere le cose alla leggera,\nma ora mi sento terribilmente in colpa.\nHo bisogno di una corsa per schiarirmi le idee.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nPerdonami ancora, Drago Divino. Vado a\ncorrere, ciao!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nAspetta! Alfred...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0A\x08リュール\nAh, eccoti qua, Alfred.\x0E\x04\x00\x00
