MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJade! Fatti sotto! Ti sfido a duello!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNo, grazie. Passo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nChe risposta secca. Perché non vuoi?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nHo sentito che sei fortissima, che vincesti\npersino il torneo in Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nUna forza così va mostrata a tutti! Che spreco\ntenerla tutta per te!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nNon ho ricevuto ordini di eliminarti, né ho\nrisentimento verso di te. Allora perché\ncombattere?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nJade, Jade, Jade! Che delusione!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nTi prego fammi vedere di cosa sei capace!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nC'è qualcosa che posso fare per convincerti?\nDimmelo e lo farò!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nBeh, in tal caso...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\n... qualcosa ci sarebbe.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nChe ne dici di parlarmi un po' di te?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nVolentieri... ma perché, se posso chiedere?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nMi serve del materiale per una storia. Sono\nin cerca di ispirazione per un personaggio.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nCapito. Quindi ti basta se parlo un po' di me?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nSì... dovrebbe andare. Allora siamo d'accordo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nSono nato al confine nordorientale del Solm...\nÈ un posto che si chiama Sabbie Ceree.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nDi solito non vengono molti viaggiatori fino a lì.\nAbbiamo una cultura molto peculiare e unica\nnel suo genere.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nPuoi farmi qualche esempio?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nI miei abiti. Ti sembrano inusuali, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nE anche l'architettura. Nessuno sa lavorare il\nlegno bene come noi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nChe altro? Veneriamo dei draghi diversi. Non\nesistono il Drago Divino o il Drago Maligno da\nnoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nI nostri draghi sono lunghi e affusolati. Non ne\nho mai visti di simili negli altri regni.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nMh... interessante. Mi piacerebbe vederli.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nSe accetti di fare quel duello contro di me\nti farò vedere delle figure su alcune pergamene.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nCosì mi tenti... Ma prima ho un'altra domanda.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nCosa puoi dirmi della tua famiglia?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nDunque ci sono i miei genitori, e poi ho anche\nun fratello e una sorella più giovani di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nQuindi sei il primogenito.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nSì. Avrei dovuto portare avanti il nome della\nfamiglia, se fossi rimasto là.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nMa non potevo...\x0E\x04\x00\x00
