MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nUhm... Che dilemma... Cosa si può fare?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nCosa vi preoccupa, principe Fogado?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nEh, oh, niente di serio. Sono a corto di idee per\nla prossima festa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nVorrei riuscire ad accontentare tutti, ma non è\nun'impresa facile.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nCosa ci sarebbe di così complicato in\nuna festa?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nBeh, tanto per cominciare non ci sono molti\ngruppi musicali disponibili di questi tempi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nE poi il budget è abbastanza limitato, quindi\nnon c'è molto margine di errore.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nUh. Ora che mi ci fate pensare, capisco\nil problema.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nE se facessimo una festa mangereccia? Tipo\ntrovarsi a mangiare pasticcini.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nMangiare dolci è l'opposto di fare una festa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nOh... Non avevo mai incontrato qualcuno che\nodia i dolci prima d'ora.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nOdiare è una parola grossa. Diciamo che\npreferisco non rinunciare ai miei muscoli per\nqualche stupida caloria.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nPerché invece non ne approfittate per fare\nun grande allenamento collettivo?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nE che tipo di festa sarebbe?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nUna festa dove un gruppo di persone si riunisce\nper allenarsi insieme.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nUhm... grazie del suggerimento, ma non credo\nche interesserebbe a tutti.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nエーティエ\nNon credete?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nEh no. Continuo a rifletterci su, grazie lo stesso!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nエーティエ\nAvete avuto altre idee per la festa, principe\nFogado?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nUgh, no. È più difficile di quanto pensassi.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nPensavo a un banchetto a base di carne, ma\nalla fine non sarebbe diverso da un qualsiasi\npasto normale.\x0E\x04\x00\x00
