MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nMi sono divertit\x0E\x0A\x00\x08\x02o\x02a molto a prendere il tè insieme,\ngrazie per avermi invitat\x0E\x0A\x00\x08\x02o\x02a, Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIl piacere è mio, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nLa nostra conversazione ha dato un'ulteriore\nnota di colore a un tè già di per sé delizioso.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nInfatti il tè era molto buono, vero? Quella nota\nfloreale dava un tocco meraviglioso.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nSono lieta che vi sia piaciuto. Le foglie vengono\ndal Firene, sapete?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nIl loro sapore fine e delicato rappresenta\nlo spirito del nostro regno.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nÈ la mia varietà favorita.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSì, ho sentito dire che i firenesi preferiscono\nla vita bucolica a ogni tipo di conflitto aperto.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nE ciò si sente anche nel vostro tè.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nC'è un racconto tradizionale firenese che\npotrebbe interessarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nIl nostro palazzo ospita uno spirito che\nassicura la felicità ai virtuosi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nCon ladri e malintenzionati, tuttavia, lo spirito\nmette delle trappole e li caccia via.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nEheheh... immaginate un po', cacciati da uno\nspiritello dispettoso!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nE senza alcuna punizione! Che deterrente\npuò mai essere questo?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nEppure è una storia molto carina.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nÈ il tipo di storia benevola che mi aspetto\nda un paese come il vostro.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSì, è così... beh, allora spero che berremo il\ntè insieme un'altra volta, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nTi vedo un po' cupa, Céline. C'è qualche\nproblema?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAh, Drago Divino. Vi ricordate il tè che abbiamo\nbevuto insieme l'altro giorno?\x0E\x04\x00\x00
