MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nDrago Divino... Il pasto è stato di vostro\ngradimento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nSì, davvero delizioso. Grazie, Goldmary.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUhm. Potreste guardarmi negli occhi?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nMh? Certo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, bene. Ora teneteli puntati lì.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nChe sguardo intenso che avete... Ditemi cosa\nstate provando in questo momento.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMmmh... Nulla di particolare...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon ho colpito per niente il vostro cuore?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVe lo chiedo un'altra volta. Questa volta\nvi sussurrerò all'orecchio.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVi sentite soddisfatt\x0E\x0A\x00\x08\x02o\x02a dopo questo pranzo\ncon me?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nOh, ma certo che sì.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo sapevo! Meno male. Ma ditemi di più,\nnon lesinate sulle parole.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nEhm... Mi sento così pien\x0E\x0A\x00\x08\x02o\x02a che non potrei\nmangiarne un boccone di più. Mi piacerebbe\nimparare questa tua ricetta.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa ricetta...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon era quello che avevo in mente. Ma se è\nla ricetta che vi interessa, ve la insegnerò.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nQualcosa non va, Goldmary?!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDrago Divino... Avete sentito il richiamo del\nmio sopraffino dolore? Che gioia...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nMa qual è il problema? Dimmelo, magari posso\naiutarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl problema... è che non posso essere\npiù affascinante di così.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTutti non fanno che ripetermi che sono\nla più affascinante...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa voi siete come immune al mio fascino,\nper quando sia impossibile. Ho perso tutta\nla fiducia in me...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEd eccomi qui, a versare due fiumi scintillanti\ndi lacrime...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nAh... Uhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nNon era mia intenzione farti un torto. Scusami.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon scusatevi, non ce n'è bisogno. Piuttosto\nditemi come posso guadagnarmi il vostro\naffetto.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nNon devi fare nulla di particolare. Basta che\ntu sia te stessa. Sei una bella persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPensate davvero che io sia una bella persona?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nCerto. Lo pensano tutti, mica solo io.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nQuindi per favore, non stare troppo a\npreoccuparti. D'accordo?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nChe c'è ora?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNiente, niente. Mi sento così sollevata.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGià che ci siamo vi permetterò di ammirare\nle mie lacrime impeccabili ancora un po'.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nCome vuoi...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nDrago Divino, chiedo scusa per l'altra volta...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo perso il controllo delle mie emozioni... E vi\nho fatt\x0E\x0A\x00\x08\x02o\x02a rimanere con me finché non ho smesso\ndi piangere.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNessun problema. Sono liet\x0E\x0A\x00\x08\x02o\x02a di vederti più\nallegra, oggi.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCredo che potreste capire meglio se vi\nraccontassi della mia infanzia.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nPerché, cosa c'entra?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSono sempre stata molto ammirata. Ero abituata\na ricevere sempre e solo complimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuando raggiunsi l'età giusta dovetti andare\nvia di casa per frequentare l'accademia.\nIn Elusia si fa così.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPer la prima volta in vita mia, avevo della\nconcorrenza... C'era chi era più popolare di me.\nFu uno choc.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuando scoprii che esistevano persone\nmigliori di me, cominciai a dubitare\ndi me stessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nImmagino sia stato difficile.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDa quel momento diventai una perfezionista.\nPer me, essere al di sotto del mio ideale è\nestremamente frustrante...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa poi voi mi avete detto che sono una\nbella persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nE lo penso davvero. Sei una bella persona\nin ogni momento e occasione. Anche sul\ncampo di battaglia.\x0E\x04\x00\x00
