MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nDrago Divino! Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nTu sei un drago, vero? Però sembri uman\x0E\x0A\x00\x08\x02o\x02a.\nIn cosa differiscono umani e draghi?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nBeh, viviamo più a lungo degli umani, e il\nnostro corpo è più forte e agile...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nMa hai ragione, il nostro aspetto non è poi così\ndiverso.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nInteressante! Ed è vero che hai dormito\nnel Somniel per mille anni?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nE ti ha svegliat\x0E\x0A\x00\x08\x02o\x02a qualcosa o eri stanc\x0E\x0A\x00\x08\x02o\x02a\ndi dormire?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nA dire il vero, non lo so nemmeno io...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nUhm... e cosa stavi facendo prima di\naddormentarti?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nMi spiace, ma non ricordo molto della mia\nvita passata...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nAh, che peccato.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nQuante domande. Da dove viene tutta questa\ncuriosità?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nNon posso essere curioso? Siamo amici, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nAmici? Ma abbiamo a malapena scambiato\ndue parole...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nA me bastano due parole per diventare amici!\nE gli amici si devono conoscere!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nPerché, per te non è così? Non vuoi essere mi\x0E\x0A\x00\x08\x02o\x02a\namic\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nMa certo che lo voglio!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nBuono a sapersi, Drago Divino, così possiamo\nrafforzare il nostro legame!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nQuindi mi devo preparare all'arrivo di altre\ndomande, immagino.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nI tuoi capelli... sono unici, o è una moda tra\ni draghi?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nChissà... non so molto sui draghi, a dire il vero.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nI draghi sono così misteriosi che nemmeno loro\nsi conoscono bene...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nMi spiace di non essere in grado di rispondere\na tutte le tue domande.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nMa figurati! Sono già solo contento di poter\nscambiare due chiacchiere con te.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nDa dove vengo io, veneriamo i Draghi Orientali,\npiuttosto che quelli Divini e Maligni.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nPer questo ti trovo così interessante.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nDraghi Orientali? Non sapevo che qualcuno li\nvenerasse!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nMi piacerebbe saperne di più sulla tua terra\nd'origine. Che posto è?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nSi trova nel regno di Solm, ma è molto remoto,\nquindi non abbiamo tanti contatti con l'esterno.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nLa nostra cultura è vivace e particolare,\nanche se siamo un po' isolati dal resto del\nmondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nVolete proteggere la vostra cultura\ndall'influenza esterna?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nForse sì, ma così diventa una gabbia.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nSono nato in una famiglia nobile, anche se non\nsi direbbe. Mi hanno cresciuto per portare\navanti il nome.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nE così vivevo tra le mura domestiche,\noccupandomi solo della mia famiglia. Era\ntriste non poter mai uscire.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nMa ora combatti insieme a noi per una causa\nin cui credi!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nSono cert\x0E\x0A\x00\x08\x02o\x02a che la tua famiglia è orgogliosa di\nte e di come stai facendo la differenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nChissà...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nHai altre domande per me? Mi fanno piacere!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nCerto che ne ho! Non abbiamo ancora discusso\nil cibo di casa tua!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x0A\x08リュール\nGrazie per la chiacchierata dell'altra volta,\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nStavo per dire la stessa cosa! Sento che ora\nci unisce un legame indistruttibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nMa a dire il vero, avrei preferito non parlarti\ndella mia patria.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nPerché?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nHai detto che la mia famiglia sarà orgogliosa\ndi me...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nSì.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nÈ stato gentile da parte tua, ma non è così.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nHo abbandonato le mie responsabilità e i miei\ndoveri, lasciando solo una lettera.\x0E\x04\x00\x00
