MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSembri stanca, lady Nel. Dovresti fare uno\nspuntino.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nTi ringrazio per la premura. Andrò a cercarmi\ndella frutta, allora.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nMi sento al sicuro accanto a te, Hector.\nFaccio istintivamente affidamento su di te.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNe sono contento, lady Nel. Ci sarò sempre,\nse avrai bisogno.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nTendo a essere fin troppo protettiva nei\nconfronti di chi considero parte della famiglia.\nNon so se lo stesso valga per te.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nPiù o meno. Nel mio caso era mio fratello a\nprendersi cura di me, essendo lui il maggiore.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nNon essere dura con te stessa, lady Nel.\nSono sicuro che tutti apprezzano le tue cure.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nGrazie, apprezzo le tue parole. Sembra che\ncondividiamo idee simili riguardo alla famiglia.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nHo saputo che avevi un fratello maggiore.\nAvevate anche delle sorelle?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNo, eravamo solo io e lui. Era un grande uomo\ne gli volevo molto bene.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nHai molta esperienza nell'arena. Vorrei\nosservare più da vicino come te le cavi.\x0E\x04\x00\x00
