MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLady Veyle, avete un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nCerto, dimmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nCome uomo di chiesa, io venero il Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nE mi chiedevo... posso rivolgere le mie preghiere\nanche a voi?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nNon penso che dovresti farlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nPerché no? Anche voi siete un drago, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nI draghi sono creature sacre. Per noi umani\nè naturale venerarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSì, sono un drago, ma non un Drago Divino.\nSono un Drago Maligno.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nTu sei un adepto dei Draghi Divini, no?\nNon sarebbe sbagliato... venerare me?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nDrago Divino, Drago Maligno... una distinzione\nsenza significato.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nLo sai cosa ho fatto, però.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nI tuoi fedeli ti volteranno le spalle se\ncominci a volgere a me le tue preghiere.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nNo. Il Solm è un regno dalla grande apertura\nmentale.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nQuando mi vedranno pregarvi, faranno\naltrettanto. State a vedere.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nEcco... non credo che sia una buona idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nFidatevi di me. Vi fate troppi problemi.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nMa... se ti sbagliassi?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nEhm, Pandreo?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nSalve, c'è qualche problema?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nNon capisco. Come faccio ad avere tutto\nquesto cibo?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nVediamo... verdure, farina, carne, pesce.\nQuante cose...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nNon so neanche cosa farmene di tutte queste\nscorte.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nMa perché mi hanno mandato questi regali?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nNon sono regali veri e propri. Sono offerte.\nÈ così che le persone esprimono la loro fede\nin voi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nCapisco che il Solm sia un regno di grande\nlibertà.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nMa perché tu e tutti gli altri siete così buoni\ncon me?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNon riesco... proprio a capire.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nBeh, per quanto gli umani possano essere\narrabbiati e vendicativi, sanno anche essere\ncompassionevoli... e sanno perdonare.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nMolte persone in Solm e anche oltre hanno\ncapito che siete cambiata.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nSono certo che se vi incontrassero di persona\nvi mostrerebbero nient'altro che gentilezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nMi chiedo se sia davvero così.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIn quel caso, vorrei ricambiare la loro\ngentilezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nMi hanno donato tanta gioia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nOttima idea. Avete già in mente qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAuuuuuh! Fatemi sentire le vostre voci!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nA-Auh...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nPiù forte, lady Veyle!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nMa... mi vergogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nMa questa festa è stata un'idea vostra!\nVolevate ricambiare il loro affetto, ricordate?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nSe volete che tutti si scatenino, dovete dar\nloro l'esempio.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nSì, hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nAbbiamo deciso insieme di organizzare questa\nfesta. Voglio mostrare a tutti la mia gratitudine.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nAuuuuh! Grazie a tutti per essere venuti!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMi avete donato molti regali... ma quello più\ngrande è la felicità. Spero oggi che vi divertiate\nqui con noi.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x04\x03\x04
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nSe ne sono andati quasi tutti.\nOra tocca a noi mettere a posto.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nMi sono... divertita...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nLa festa... è stata divertente.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nTutti mi hanno trattata bene, mi hanno coperta\ndi sorrisi e abbiamo parlato tanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nMi sembrava un sogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nVe l'ho detto, no? Lo sanno che siete cambiata.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nChissà se qualcuno di loro nutre ancora\nrisentimento nei miei confronti, sotto sotto...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nMa sento che la maggior parte di loro è\nriuscita a conoscere la nuova me...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nVorrei che questo giorno non finisse mai,\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nNon preoccupatevi, nulla ci vieta di fare altre\nfeste.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nGiusto.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nMa ovviamente non vogliamo che la gente pensi\nche non prendete seriamente la guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nVi suggerisco di aspettare che sia tornata la\npace, per la prossima festa.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nHai perfettamente ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パンドロ\nNel frattempo, potete fare affidamento su di me.\nSiete uno dei miei draghi preferiti.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nTi ringrazio, Pandreo, per tutto quello che\nhai fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nFarò del mio meglio per riportare la pace a\nquesto mondo... quella sì che sarebbe una\nbella occasione per festeggiare.\x0E\x04\x00\x00
