MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nNel.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nC'è qualcosa che non va, Rafal?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nラファール\nNon è ovvio? Ti ho vista lanciarti in battaglia\nin prima linea.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Non ti sei ancora ripresa del tutto dalle tue\nferite. Lascia che sia io a combattere al fronte.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04エル\nApprezzo le tue preoccupazioni, ma sono del\ntutto infondate... grazie alla pietra drago che\nmi hai dato.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	La mia abilità di trasformarmi non è certo\npeggiore di quando usavo la mia pietra drago\nprima che si rompesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nNon lo metto in dubbio.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nInoltre, come ben sai, nella mia nuova pietra è\nstato infuso il potere degli emblemi.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	È un pezzo di quella pietra che ti ha dato\nil potere di trasformarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nラファール\nSì. Per fortuna la pietra drago degli emblemi\nera davvero enorme.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Per questo ho potuto dividerla in quattro pezzi,\ne darne due a te.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	All'inizio temevo che dividendola si sarebbe\nridotto il suo potere, ma così non è stato.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nPer l'appunto. Quindi non c'è bisogno che ti\npreoccupi per me.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nVa bene, ma solo a condizione che prometti\ndi chiedermi aiuto se ti sentirai in pericolo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nGrazie. Se dovessi trovarmi in una situazione\ndi pericolo, non mancherò di farlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nラファール\nE io sarò lì per te.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x06\x04エル\nRafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nSì?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nSono preoccupata per la tua ferita. Sei stato\ntroppo avventato nel proteggermi durante la\nnostra ultima battaglia.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Un solo passo falso avrebbe potuto costarti\nla vita. Almeno sta guarendo bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nSì, non preoccuparti. In effetti mi hanno detto\nche se il colpo fosse stato leggermente più a\ndestra, sarei già morto.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Mi hanno curato con un bastone magico, ma\ncredo che resterà la cicatrice.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nÈ tutta colpa mia.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nUna cicatrice è un piccolo prezzo da pagare\nper la tua incolumità. Lo rifarei senza esitare.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nTi prego, non farlo mai più.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Come puoi pensare che vorrei vederti sacrificare\nla tua vita?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\nNon lo penso, infatti.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Ma non riesco a sopportare l'idea che possa di\nnuovo succederti qualcosa di brutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nCapisco come ti senti.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Ciò che non capisco è perché devi comportarti\nin modo così... uff...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nラファール\nMi sono occupato di te per mille anni dopo\nche ti sacrificasti per me.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	E ho passato ogni momento di veglia di questi\nmille anni a riflettere sulla mia follia.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Ero costantemente attanagliato dal terrore che\nnon ti svegliassi più. Stavo per impazzire.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04エル\nRafal...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nラファール\nAscoltami bene. Farò qualsiasi cosa per non\nperderti di nuovo.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Proteggerti è la mia unica preoccupazione.\nQualsiasi cosa abbia in serbo per me il destino,\nsono pronto ad accettarlo.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	E se comprendi davvero come mi sento, non\nho altro da aggiungere. Ora tolgo il disturbo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nAspetta! Ascoltami!\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Come faccio a fartelo capire?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nVedo che le tue ferite si sono rimarginate. Bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nMi dispiace che tu abbia dovuto aspettare... e di\naverti portato via tutto questo tempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nIl tempo è irrilevante. Quel colpo, invece, era\nindirizzato a me, e tu lo hai preso al posto mio.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Avevo detto che ti avrei protetta a qualsiasi\ncosto. Le mie parole contano così poco per te?!\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Se il tuo scopo è calpestare il mio cuore, allora\nserviti pure. Ma non gettare al vento la tua vita!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nEheh... adesso la situazione si è capovolta.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nNel!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nCapisco perché ti arrabbi, ma adesso dovrai\nstarmi a sentire.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	I mille anni che hai passato a vegliarmi sono\nvolati via in un istante per me.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Nel nostro mondo, non siamo mai stati veri\nfratelli gemelli.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Forse è proprio perché non potevamo essere\nveri gemelli, che ci trovammo a combattere\nl'uno contro l'altra.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nDove vuoi arrivare?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nIn questo mondo, tutto è cambiato.\nCondividiamo anche una pietra drago.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Non lo vedi? Ciò ci rende a tutti gli effetti due\nmetà di un intero.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Posta questa premessa, non puoi pensare di\nproteggermi tu in modo unilaterale.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\nUff...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04エル\nSe desideri proteggermi senza che io protegga\nte, allora il nostro rapporto non sarà mai equo.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Se siamo due metà, anche io ho il dovere di\nproteggere te.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Il tuo dolore è il mio dolore, la tua gioia è anche\nla mia. Così come le tue paure e le tue difficoltà.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	E allora non osare mai più dirmi che non\nimporta cosa ne sarà di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Hai assolutamente ragione. Ti prego, perdona\nla mia arroganza.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Ho permesso alla paura di perderti di\ncondizionare il mio rapporto con te.\nHo sbagliato.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Siamo davvero due parti uguali di un intero.\nTi prego, perdona la mia impudenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nNon c'è niente da perdonare. Tutto ciò che hai\ndetto e fatto era per amore.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nCome sta la tua ferita? Dimmi la verità.\x0E\x04\x00\x00
