MID_WU_C_1_IN_#001	Presente!
MID_WU_C_1_IN_#002	Che la sveglia abbia inizio!
MID_WU_C_1_SOON_#001	Complimenti.
MID_WU_C_1_SOON_#002	Hai percepito la mia presenza\ndiscreta e ti sei subito svegliat\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_C_1_SOON_#003	Eh? Dici che non sono stata discreta?
MID_WU_C_1_SOON_#004	Che impertinente...
MID_WU_C_1_WAKEUP_#001	Eheh! È il mio turno, finalmente.
MID_WU_C_1_WAKEUP_#002	Ora sì che mi sento parte\ndi questa squadra!
MID_WU_C_1_WAKEUP_#003	Forza e coraggio.
MID_WU_C_1_WAKEUP_#004	Drago Divino!
MID_WU_C_1_HELLO_#001	Ah, ma sei svegli\x0E\x0A\x00\x08\x02o\x02a! È stato facilissimo.
MID_WU_C_1_HELLO_#002	E anche divertente!
MID_WU_C_1_HELLO_#003	Che c'è? Stai già pensando a chi passare\nil compito la prossima volta?
MID_WU_C_2_IN_#001	C'è bisogno di te!
MID_WU_C_2_IN_#002	Oh... ma stai ancora dormendo.
MID_WU_C_2_SOON_#001	Chiedo scusa.
MID_WU_C_2_SOON_#002	Non avrei dovuto svegliarti con tanta foga.
MID_WU_C_2_SOON_#003	La prossima volta, cercherò di trattenermi.
MID_WU_C_2_WAKEUP_#001	Oh-oh. Credevo di trovarti già svegli\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_C_2_WAKEUP_#002	Ti preparo gli abiti.
MID_WU_C_2_WAKEUP_#003	Ecco...
MID_WU_C_2_WAKEUP_#004	Oh! Ah!
MID_WU_C_2_HELLO_#001	Che imbranata.
MID_WU_C_2_HELLO_#002	Sono inciampata nel copriletto.
MID_WU_C_2_HELLO_#003	Fai attenzione anche tu, quando ti alzi.
MID_WU_C_2_HELLO_#004	Ahahah...
MID_WU_B_1_IN_#001	Devi assolutamente assaggiare
MID_WU_B_1_IN_#002	questa zuppa!
MID_WU_B_1_IN_#003	Oh, stai dormendo.
MID_WU_B_1_SOON_#001	Volevo farti assaggiare questa zuppa all'aglio.
MID_WU_B_1_SOON_#002	Ma forse non è il momento, mh?
MID_WU_B_1_SOON_#003	Tornerò un'altra volta, Drago Divino.
MID_WU_B_1_WAKEUP_#001	Mi piace tanto mangiare con te,
MID_WU_B_1_WAKEUP_#002	così avevo portato un po' di zuppa...
MID_WU_B_1_WAKEUP_#003	Ahah. Come non detto, sarà per un'altra volta.
MID_WU_B_1_HELLO_#001	Gnam... gnam...
MID_WU_B_1_HELLO_#002	Oh, Drago Divino!
MID_WU_B_1_HELLO_#003	Ti avevo portato un po' di zuppa,\nma aveva un così buon profumo...
MID_WU_B_1_HELLO_#004	E così...
MID_WU_B_1_HELLO_#005	l'ho mangiata tutta mentre dormivi.
MID_WU_B_2_IN_#001	Svegliare il Drago Divino
MID_WU_B_2_IN_#002	è il mio compito preferito.
MID_WU_B_2_SOON_#001	Ah, ma allora oggi non avevi bisogno di me.
MID_WU_B_2_SOON_#002	Guarda che mi piace svegliarti.
MID_WU_B_2_SOON_#003	La prossima volta potresti fare finta\ndi dormire ancora?
MID_WU_B_2_WAKEUP_#001	Oggi tocca a me svegliarti.
MID_WU_B_2_WAKEUP_#002	Cercherò di essere delicata.
MID_WU_B_2_WAKEUP_#003	Drago Divino? Drago Divino?\nÈ ora di alzarsi.
MID_WU_B_2_HELLO_#001	Buongiorno.
MID_WU_B_2_HELLO_#002	Se non ti fossi svegliat\x0E\x0A\x00\x08\x02o\x02a subito, avrei\nprovato con dei sussurri delicati.
MID_WU_B_2_HELLO_#003	Mh? Lo avresti preferito?
MID_WU_A_1_IN_#001	Mi dispiace tanto...
MID_WU_A_1_IN_#002	Ho di nuovo dimenticato di sedermi\na mangiare qualcosa con calma.
MID_WU_A_1_SOON_#001	Ero venuta a dirtelo...
MID_WU_A_1_SOON_#002	Non pensavo di trovarti addormentat\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_A_1_SOON_#003	Corro a mangiare un boccone.\nTorno dopo!
MID_WU_A_1_WAKEUP_#001	Speravo di mangiare assieme a te, visto\nche ero ancora a stomaco vuoto.
MID_WU_A_1_WAKEUP_#002	Ma va bene lo stesso.
MID_WU_A_1_WAKEUP_#003	A vederti dormire così\nprofondamente, mi viene...
MID_WU_A_1_WAKEUP_#004	Yawn...
MID_WU_A_1_HELLO_#001	Zzz... Zzz...
MID_WU_A_1_HELLO_#002	Ah... Ops! Mi sono appisolata!
MID_WU_A_1_HELLO_#003	Che ne dici di una bella passeggiata\ncorroborante? Per quanto...
MID_WU_A_1_HELLO_#004	ho l'impressione di essermi\ndimenticata qualcosa.
MID_WU_A_1_HELLO_#005	Mah! Devo essermelo immaginato!
MID_WU_A_2_IN_#001	Adoro svegliare il Drago Divino.
MID_WU_A_2_IN_#002	Anche nel mio mondo mi piaceva.
MID_WU_A_2_SOON_#001	Buongiorno!
MID_WU_A_2_SOON_#002	Quando ti svegli e io ti guardo,
MID_WU_A_2_SOON_#003	mi tornano in mente molti cari ricordi
MID_WU_A_2_SOON_#004	del Drago Divino del mio mondo.
MID_WU_A_2_WAKEUP_#001	In quel mondo, la regina Lumera era viva...
MID_WU_A_2_WAKEUP_#002	Io venivo spesso a svegliarti.
MID_WU_A_2_WAKEUP_#003	Ma dopo che salisti al trono, ebbi\nsempre meno occasione di farlo.
MID_WU_A_2_HELLO_#001	Sei svegli\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_A_2_HELLO_#002	È meraviglioso che tu riesca\na dormire così saporitamente.
MID_WU_A_2_HELLO_#003	Se tu non avessi bisogno di\nqualcuno che ti svegliasse,
MID_WU_A_2_HELLO_#004	come farei senza questo compito\nquotidiano che tanto mi piace?
MID_WU_S_1_IN_#001	Carissim\x0E\x0A\x00\x08\x02o\x02a...
MID_WU_S_1_IN_#002	Sono venuta a svegliarti!
MID_WU_S_1_SOON_#001	Sei stat\x0E\x0A\x00\x08\x02o\x02a veloce.
MID_WU_S_1_SOON_#002	Ahahah!
MID_WU_S_1_SOON_#003	Non sai quanto mi faccia felice.
MID_WU_S_1_SOON_#004	Non è fantastico avere una famiglia?
MID_WU_S_1_SOON_#005	Spero che il nostro legame duri per sempre.
MID_WU_S_1_WAKEUP_#001	Mpf! Non reagisci? Neanche di\nfronte alla tua cara compagna?
MID_WU_S_1_WAKEUP_#002	Così mi fai sentire sola.
MID_WU_S_1_WAKEUP_#003	Guarda che se non ti svegli...
MID_WU_S_1_WAKEUP_#004	troverò un altro drago che mi\nfaccia compagnia.
MID_WU_S_1_WAKEUP_#005	Ma no, non lo farei mai.
MID_WU_S_1_WAKEUP_#006	Mi sembra impensabile rimpiazzarti.
MID_WU_S_1_WAKEUP_#007	Apprezzo così tanto il tempo che passo con te.
MID_WU_S_1_HELLO_#001	Ti è piaciuto il risveglio?
MID_WU_S_1_HELLO_#002	Come, come? Sei felice?
MID_WU_S_1_HELLO_#003	Ah, ottimo!
MID_WU_S_1_HELLO_#004	Mi dà grande gioia...
MID_WU_S_1_HELLO_#005	sapere di regalarti un sorriso.
MID_WU_S_2_IN_#001	Buongiorno, dormiglion\x0E\x0A\x00\x08\x02e\x02a.
MID_WU_S_2_IN_#002	Sembra che anche oggi ti serva il mio aiuto.
MID_WU_S_2_SOON_#001	Così mi rendi il lavoro facile, che gentile.
MID_WU_S_2_SOON_#002	Però...
MID_WU_S_2_SOON_#003	vorrei che non ti facessi problemi\ncon me. Lascia che ti vizi un po'.
MID_WU_S_2_SOON_#004	Sappi che
MID_WU_S_2_SOON_#005	per te ci sarò sempre.
MID_WU_S_2_WAKEUP_#001	Quando dormi, il tuo viso è così rilassato.
MID_WU_S_2_WAKEUP_#002	Sono certa che, in futuro,
MID_WU_S_2_WAKEUP_#003	potrei avere bisogno del tuo aiuto.
MID_WU_S_2_WAKEUP_#004	Spero che non sia un problema per te.\nSiamo una famiglia, dopotutto.
MID_WU_S_2_WAKEUP_#005	Sembra incredibile un legame così forte...
MID_WU_S_2_WAKEUP_#006	tra un Drago Divino e un Drago Magico.
MID_WU_S_2_WAKEUP_#007	Ti ringrazio per essere diventat\x0E\x0A\x00\x08\x02o\x02a\nla mia vera famiglia.
MID_WU_S_2_WAKEUP_#008	Sono felice
MID_WU_S_2_WAKEUP_#009	che tu mi abbia dato l'anello del patto.
MID_WU_S_2_HELLO_#001	Ah...
MID_WU_S_2_HELLO_#002	Tengo molto a te.
MID_WU_S_2_HELLO_#003	No, non essere in imbarazzo.
MID_WU_S_2_HELLO_#004	Ci tenevo solo a dirti che mi\npiace prendermi cura di te...
MID_WU_S_2_HELLO_#005	ma non volevo metterti a disagio.
