MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nPiacere di fare conoscenza, emblema Dimitri.\nIl tuo aiuto è davvero salvifico.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nディミトリ\nPiacere mio. Per me è un onore assisterti e farò\ntutto il possibile.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nLungi da me intromettermi, ma non ho potuto\nfare a meno di notare il tuo atteggiamento\nsolitario anche i mezzo agli amici.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0C\nディミトリ\nPosso assicurarti che ti sbagli. Spero di non\naverti causato troppe preoccupazioni.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nL'emblema Claude mi ha riferito che sei\nestremamente indipendente, quasi troppo.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nSostiene che sarebbe meglio se facessi più\naffidamento sui tuoi alleati, e in questo mi\ntrova d'accordo.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nディミトリ\nNon avete tutti i torti. Non è la prima volta che\nme lo sento dire, in effetti.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nディミトリ\nSe sono indipendente è solo perché non voglio\ncreare disagi a nessuno, ma d'ora in poi terrò\npresente le tue parole.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nラファール\nNon vi biasimo se mi detestate per aver tenuto\nnascosto il vostro bracciale così a lungo.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nTi sbagli, sappiamo che stai facendo di tutto per\nfarti perdonare. Non nutriamo rancore nei tuoi\nconfronti.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nLo ammetto, c'è qualcosa di te che\neffettivamente mi disturba ed è la quantità\ndi zucchero che metti nel tè...\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nPiù dolce è, meglio è, Edelgard. Non accetto\ncritiche, su questo sono irremovibile.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nTi lanci all'assalto da solo troppo di frequente.\nTi consiglio di pensare di più ai tuoi alleati.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nSe non ti piaccio, puoi anche andartene.\nNon obbligo nessuno a restare con me.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nNon ho detto questo. Ti sto solo implorando\ndi usare un minimo di strategia.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nSe ti preoccupa tanto che io sia da solo sul\ncampo di battaglia, non ti resta che seguirmi.\x0E\x04\x00\x00
