MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nCon l'emblema Corrin tra noi, tutti gli anelli\ndei vari regni sono stati recuperati.\x0E\x04\x02\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nGiusto, non ci sono più anelli nascosti.\nTra noi e Sombron, sono tutti presi.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nRicapitoliamo la situazione.\x0E\x04\x02\x00
MID_OP1_#004	Noi abbiamo cinque emblemi.\x0E\x04\x02\x00
MID_OP1_#005	Lyn, Lucina, Ike, Byleth e Corrin.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nNel frattempo, il Drago Maligno ne ha sette\nnelle sue grinfie, quasi tutti nostri vecchi amici.\x0E\x04\x02\x00
MID_OP1_#007	Marth, Sigurd, Celica, Micaiah, Leif e Roy.\x0E\x04\x02\x00
MID_OP1_#008	E poi un altro anello dell'emblema che il suo\nesercito ha rubato dal Lythos... l'anello dei\nGemelli Azzurri.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nPer riuscire ad averli tutti e 12, non ci resta\nche affrontare il nemico direttamente.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nHai intenzione di invadere l'Elusia?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x02\x0A\x08アイビー\nStiamo già tornando in Elusia...\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nGià, immagino che sia una situazione\ncomplicata.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08アイビー\nSì, ma a parte quello, attaccare l'Elusia adesso\nsarebbe un errore.\x0E\x04\x02\x00
