MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nPossiamo contare sul tuo aiuto per portare\nla pace in questo mondo?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06アイク\nContaci. Sono un mercenario e quando\naccetto un lavoro non mollo finché non\nlo porto a termine.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nNon mi sento ancora abbastanza forte. Ike,\nmi daresti qualche lezione di combattimento?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06アイク\nNon sono bravo come insegnante, ma ci\nproverò. Però fai attenzione, perché faccio\nfatica a controllare la mia forza.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nStai facendo progressi. Si vede che combatti\nmolto meglio.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nLo devo a tutte le lezioni che mi avete\nimpartito tu e gli altri.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06アイク\nNon del tutto, anzi, la maggior parte del lavoro\nl'hai fatto tu. Noi ti abbiamo solo stimolato.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nE ve ne sono grat\x0E\x0A\x00\x08\x02o\x02a! Con voi sento che riuscirò\na portare la pace nel mondo.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nCosa posso fare? Non amo starmene con\nle mani in mano.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAppena ci sarà da combattere, ve lo farò sapere.\nFino ad allora riposate, vi prego.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nÈ un sorriso quello?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNon c'è da stupirsi. A quanto pare, a volte\nsorrido anche io.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nAi tuoi tempi dovevi essere in forma, si vede.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHo lavorato sodo per tenermi in allenamento\nnei miei anni al servizio della regina Lumera.\x0E\x04\x00\x00
