MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHai un momento, Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nPrincipe Alfred, avete bisogno?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nHo sentito dire che sei un pozzo di conoscenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIn particolare riguardo a miti e leggende.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nSì, è vero. Le leggende sono vere... basta\ndecidere di crederci! E io sono uno che ci crede\nmolto.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nVedi, c'è un dubbio che mi perseguita e ho\npensato che forse potresti aiutarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nSai niente riguardo a una medicina miracolosa\nin grado di far spuntare dei muscoli d'acciaio?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nMuscoli, avete detto?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nMuscoli d'acciaio, per la precisione.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nEhm... N-Non ne ho mai sentito parlare, no.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nAccidenti, speravo che tra tutti tu fossi quello\nche potesse saperne qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nBeh, ora che me ne avete parlato, non posso\nfare come se nulla fosse... Voglio saperne di più!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nDevo scoprire a tutti i costi questa medicina\nmiracolosa!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, grazie, Amber!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nNon preoccupatevi. Le leggende sono il mio\npassatempo preferito.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nVado subito a indagare!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nEhi, baldo giovane! Sì, proprio tu con quei bei\nmuscoli! Come hai fatto a procurarteli?!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0A\x08アンバー\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSono in buone mani. Se c'è qualcuno a cui\nposso affidare questo incarico è proprio Amber!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nA nulla potranno le lance... Le frecce non vi\nscalfiranno!\x0E\x04\x00\x00
