MID_Hub_ThisTime	Tempo attuale
MID_Hub_Time_Morning	\x0E\x08\x02\x10\x0EMorningMattina
MID_Hub_Time_Noon	\x0E\x08\x02\x08\x06DayPomeriggio
MID_Hub_Time_Evening	\x0E\x08\x02\x10\x0EEveningSera
MID_Hub_Time_Night	\x0E\x08\x02\x0C\nNightNotte
MID_Hub_Move	OK
MID_Hub_Enter	Entra
MID_Hub_Talk	Parla
MID_Hub_Check	Esamina
MID_Hub_Ring_Cleaning_Brush	Lucida
MID_Hub_Ring_Cleaning_BrushStrong	Lucida bene
MID_Hub_Ring_Cleaning_Stop	Termina
MID_Hub_Unknown	???
MID_Hub_WeaponShop	Armeria
MID_Hub_ItemShop	Emporio
MID_Hub_Blacksmith	Fucina
MID_Hub_AccessoryShop	Accessori
MID_Hub_Mascot	Altare misterioso
MID_Hub_Mascot_After	Altare di \x0E\x06\x05\x00
MID_Hub_FortuneStore	Indovino
MID_Hub_FreeMarket	Mercatino
MID_Hub_Photoshop	Sala del registro
MID_Hub_amiibo	Gazebo amiibo
MID_H_Hub_amiibo	Seleziona un'azione.
MID_Hub_amiibo_Read	Leggi
MID_Hub_amiibo_Accessory_Trade	Abbigliamento
MID_Hub_amiibo_Music_Trade	Brani musicali
MID_Hub_Animal	Stalla
MID_Hub_Here_Unit	Unità
MID_Hub_Area_List	Luoghi
MID_Hub_Area_News	Notifiche
MID_Hub_Area_News_Nothing	Nessuna notifica.
MID_Hub_Area_Open	NOVITÀ
MID_Hub_Area_NewItem	Nuovi arrivi
MID_Hub_Area_NewSystem	Nuova funzione
MID_Hub_Area_NewLevel	Nuova difficoltà
MID_Hub_Area_Count	Ancora \x0E\x01\x00\x00
MID_Hub_Area_NewStage	Nuovo livello
MID_Hub_Next	Procedi
MID_Hub_Next_Move	OK
MID_Hub_Next_Confirm	Vuoi abbandonare l'area?
MID_Hub_Next_Confirm_Where	Dove vuoi andare?
MID_Hub_Next_Confirm_Solanel	Al Somniel
MID_Hub_Next_Confirm_Gmap	Alla mappa del mondo
MID_Hub_Next_Go	Prossimo capitolo
MID_Hub_Confirm_Cancel	Resta qui
MID_Hub_Gmap	Mappa del mondo
MID_Hub_Gmap_Confirm	Vuoi accedere alla mappa?
MID_Hub_M026	Alla battaglia finale
MID_Hub_Solanel	Somniel
MID_Hub_OtherWorld_Confirm	Vuoi raggiungere il portale verso\nun altro mondo?
MID_Hub_OtherWorld_Go	OK
MID_Hub_MyRoom	Camera
MID_H_Hub_MyRoom	Sontuosa camera da letto del Drago Divino,\ndove puoi riposare o abbandonarti ai ricordi.
MID_Hub_GodRoom	Sala degli emblemi
MID_H_Hub_GodRoom	Sala dove sono custoditi gli emblemi. Puoi ereditare\nabilità dagli emblemi o creare anelli del legame.
MID_Hub_Cafe	Mensa
MID_H_Hub_Cafe	Un'area comune dove rilassarsi. Ordina il tuo piatto\npreferito al cuoco del giorno e gustalo con gli amici.
MID_Hub_Arena	Arena
MID_H_Hub_Arena	Una palestra extradimensionale. Puoi affrontare alleati\ned emblemi in duelli amichevoli per fare esperienza.
MID_Hub_Arena_Closed	È chiusa, per ora.
MID_Hub_Tower	Torre delle prove
MID_H_Hub_Tower	Un piccolo edificio in cui puoi metterti alla prova\naffrontando sfide al di là dello spazio e del tempo.
MID_Hub_CentralStores	Piazza
MID_H_Hub_CentralStores	La piazza principale del Somniel, in cui troverai\ndiversi negozi.
MID_Hub_Poolside	Piscina
MID_H_Hub_Poolside	Un'elegante piscina, perfetta per rilassarsi\ncon gli alleati tra una battaglia e l'altra.
MID_Hub_Orchard	Frutteto
MID_H_Hub_Orchard	Un bellissimo giardino con alberi da frutto. Qui potrai\nraccogliere gli ingredienti per i piatti della mensa.
MID_Hub_Pond	Stagno
MID_H_Hub_Pond	Un piccolo stagno pieno di pesci e altre creature.
MID_Hub_TrainingSpot	Palestra
MID_H_Hub_TrainingSpot	Un giardino tranquillo che gli alleati usano spesso per\nallenare i muscoli o per i loro passatempi.
MID_Hub_Farm	Fattoria
MID_H_Hub_Farm	Un'area di pascolo dove gli animali che trovi\nper tutto l'Elyos possono stare tranquilli.
MID_Hub_GoodViewSpot	Belvedere
MID_H_Hub_GoodViewSpot	Una rupe naturale con un panorama impareggiabile dei\ncieli. Il luogo perfetto per la contemplazione.
MID_Hub_Cave	Grotta
MID_H_Hub_Cave	Un'antica grotta calcarea nelle profondità del Somniel.\nContiene un altare misterioso.
MID_Hub_MyRoom_Chest	Comodino
MID_Hub_H_MyRoom_Chest_Nothing	Potrebbe contenere qualcosa di valore.
MID_Hub_H_MyRoom_Chest_Ring_PickUp	Dentro c'è l'anello del patto. Vuoi prenderlo?
MID_Hub_MyRoom_Chest_Ring_PickUp	(Riposando, potrebbero cambiare gli alleati\nche puoi incontrare nel Somniel. Prova a farlo\nse non trovi l'alleato a cui vuoi dare l'anello\ndel patto.)
MID_Hub_H_MyRoom_Chest_Ring_PickUp_Yes	Prendi anello
MID_Hub_H_MyRoom_Chest_Ring_Return	Vuoi riporre l'anello?
MID_Hub_H_MyRoom_Chest_Ring_Return_Yes	Riponi
MID_Hub_MyRoom_Bed	Letto
MID_Hub_MyRoom_Bed_TitleHelp	Scegli un'azione.
MID_Hub_MyRoom_MovieChoice	Seleziona un filmato da riprodurre.
MID_Hub_MyRoom_SoundChoice	Seleziona la musica da riprodurre.
MID_Hub_MyRoom_SoundChoice_Stopping	In ascolto: niente
MID_Hub_MyRoom_SoundChoice_Playing	In ascolto: \x0E\x01\x00\x00
MID_Hub_Bed_Sleep	Riposa
MID_Hub_Bed_Sleep_CameHere	Sta arrivando qualcuno...
MID_Hub_Bed_Sleep_Guide	Vuoi riposare un po' nel tuo letto?\n(Il tempo scorre nel Somniel.)
MID_Hub_Bed_Sleep_Yes	Riposati
MID_Hub_Bed_Recall	Ricorda
MID_Hub_Bed_Recall_Wakeup	Eventi risveglio
MID_Hub_Bed_Recall_Wakeup_List	Lista risvegli
MID_Hub_Bed_Recall_Movie	Filmati
MID_Hub_Bed_Recall_MovieList	Filmati
MID_Hub_Bed_Recall_Music	Musica
MID_Hub_Bed_Difficulty_Change	Cambio difficoltà
MID_Hub_Bed_Difficulty_Change_Confirm	Puoi solo abbassare la difficoltà di gioco:\nnon puoi alzarla o annullare la modifica.\nVuoi davvero cambiare la difficoltà?
MID_Hub_Bed_Difficulty_Change_Before	Difficoltà attuale
MID_Hub_Bed_Difficulty_Change_After	Nuova difficoltà
MID_Hub_Bed_Difficulty_Change_Yes	Cambia
MID_Hub_Bed_Difficulty_Change_Dialog	Nuova difficoltà: \x0E\x01\x00\x00.
MID_Hub_Bed_Difficulty_Change_NG	Non puoi ridurre la difficoltà Normale.
MID_Hub_MyRoom_Piano	Pianoforte
MID_Hub_MyRoom_Piano_Release	Ora puoi accedere al pianoforte nella tua\ncamera nel Somniel.
MID_Hub_MyRoom_Piano_Confirmation	Puoi guardare i riconoscimenti.
MID_Hub_MyRoom_Piano_Confirmation_Yes	Guarda
MID_Hub_Talk_Gift	Dai un regalo
MID_Hub_Talk_PromisedRing	Anello del patto
MID_Hub_Talk_Fishing	Pesca
MID_Hub_Talk_DragonRide	Volo in viverna
MID_Hub_Talk_MuscleExercises	Ginnastica
MID_Hub_Talk_Gift_PickUp	Seleziona un regalo da offrire.
MID_Hub_Talk_Gift_Confirmation	Vuoi regalare: \x0E\x01\x00\x00?
MID_Hub_Talk_Gift_Yes	Regala
MID_Hub_Mascot_Where	Sembra una specie di altare.
MID_Hub_Mascot_Spot	\x0E\x06\x05\x00
MID_Hub_H_Mascot_Spot	Scegli come prendertene cura.
MID_Hub_Mascot_Name	Scegli un nome per lo spirito del Somniel.
MID_Hub_Mascot_Feeding	Dai da mangiare
MID_Hub_Mascot_FoodChoice	Scegli il cibo.
MID_Hub_Mascot_FoodChoice_Nothing	Non hai niente.
MID_Hub_Mascot_Gift_Confirmation	Vuoi dare: \x0E\x01\x00\x00?
MID_Hub_Mascot_Stroking	Coccola
MID_Hub_Mascot_Accessories	Agghinda
MID_Hub_Mascot_Accessories_Help	Scegli cosa cambiare.
MID_Hub_Mascot_Accessories_Choice	Scegli un accessorio.
MID_Hub_Mascot_Accessories_Parts	Accessori
MID_Hub_Mascot_Accessories_Head	Testa
MID_Hub_Mascot_Accessories_Tail	Coda
MID_Hub_Mascot_Accessories_Color	Colore sciarpa
MID_Hub_Mascot_Accessories_Color_Choice	Scegli il colore della sciarpa.
MID_Hub_Mascot_Accessories_None	-
MID_Hub_Pedestal	Piedistallo
MID_Hub_Skill_Inheritance	Eredita abilità
MID_Hub_Ring_Gacha	Crea anelli del legame
MID_Hub_Ring_Merge	Fondi anelli del legame
MID_Hub_Ring_Cleaning	Lucida anelli\x0E\x01\x0B\x00
MID_Hub_RefineGodWeapon	Armi unione
MID_Hub_Inheritance_End	Ereditata
MID_Hub_Inheritance_Level	Liv rich. \x0E\x01\x00\x00
MID_Hub_Inheritance_Invalid	L'effetto non si amplifica se l'unità è\nsincronizzata con l'emblema \x0E\x01\x00\x00.
MID_Hub_Inheritance_Skill	Abilità
MID_Hub_Inheritance_Skill_HELP	Scegli un'abilità da ereditare.
MID_Hub_Inheritance_LevelHelp	Liv legame richiesto: \x0E\x01\x00\x00
MID_Hub_GodBodLevel	Livelli legame
MID_Hub_Inheritance_Skill_Confirmation	Vuoi ereditare questa abilità?
MID_Hub_Inheritance_Skill_Yes	Eredita
MID_Hub_Inheritance_Skill_Finish	Hai ereditato \x0E\x01\x00\x00\x0E\x01\x01\x00.
MID_Hub_Ring_Common_God_Empty	Non possiedi anelli\x0E\x01\x0B\x00.
MID_Hub_H_Ring_Gacha	Scegli l'emblema e crea anelli.
MID_Hub_Ring_Gacha_TotalRefinedCount	Anelli del legame creati
MID_Hub_Ring_Gacha_RingList	Tipi ottenuti finora
MID_Hub_Ring_Gacha_1_Time_TitleHelp	Scegli la quantità da creare.
MID_Hub_Ring_Gacha_1_Time	Creane 1
MID_Hub_Ring_Gacha_10_Times	Creane 10
MID_Hub_Ring_Gacha_New	NUOVO!
MID_Hub_Ring_Merge_Help	Seleziona gli anelli da fondere.
MID_Hub_Ring_Merge_Empty	Nessun anello.
MID_Hub_Ring_Merge_Needed_Count	Materiali necessari
MID_Hub_Ring_Merge_Failed_Full	Non puoi portare con te ulteriori anelli.
MID_Hub_Ring_Merge_Confirm	Vuoi fondere gli anelli del legame?
MID_Hub_Ring_Merge_Yes	Fondi
MID_Hub_Ring_Cleaning_GodSelect	Scegli un anello\x0E\x01\x0A\x00 da lucidare.
MID_Hub_Ring_Cleaning_Help	Scegli chi lo luciderà.
MID_Hub_Ring_Cleaning_Confirm	Vuoi che \x0E\x01\x01\x00 lucidi:\n\x0E\x01\x00\x00?
MID_Hub_Ring_Cleaning_Yes	Lucida
MID_Hub_Ring_Cleaning_Finish	Brillante
MID_Hub_Ring_Cleaning_Finish_Confirm	Vuoi terminare la lucidatura?
MID_Hub_RefineGodWeapon_Refine	Potenzia
MID_Hub_RefineGodWeapon_Refine_Help	Scegli un'arma da potenziare.
MID_Hub_RefineGodWeapon_RefineCapacity	Capacità
MID_Hub_RefineGodWeapon_RefineStatus	Stato
