MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMerrin! Ci tenevo a dirtelo! Combattere al tuo\nfianco è emozionante. Sei proprio... tosta!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nTosta, eh? Ahah. Gentile da parte tua farmelo\nnotare.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nIn particolare a cosa ti riferisci? Giusto per\nsapere.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nNon saprei da dove cominciare.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nSembra che nulla ti spaventi! Sei davvero una\nvalorosa cavaliera.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nUna valorosa cavaliera, eh? Mi piace...\nE poi che altro?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nMh? Vuoi che continui?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nCerco sempre di essere più... tosta che posso.\nMa da sola non so giudicare se il mio intento\nabbia successo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nAh... non l'avrei mai detto.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nNon pensavo che una come te si preoccupasse\ndel giudizio degli altri.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nE invece sì. Sul campo di battaglia bisogna\nsempre sembrare sicuri di sé. Mostrare le\nproprie debolezze potrebbe rivelarsi fatale.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nPerdere il controllo in battaglia, o anche nella\nvita di tutti i giorni... è un invito a farsi\nattaccare.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nQuindi l'apparenza conta, almeno a parer mio.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nOh, ma certo! Non deve essere facile fare caso\na tutte queste cose, dentro e fuori dal campo\ndi battaglia...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nScusami tanto. Ora devo andare. Non posso\nbattere la fiacca.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nGrazie per la chiacchierata, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nÈ stato bello parlare un po'! Buon allenamento!\x0E\x04\x00\x00
