MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Veyle, perdonate il disturbo.\nVorrei presentarmi ufficialmente.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nEh? Marni, sei tu?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nマデリーン\nMadeline, a dire il vero. È un piacere fare la\nvostra conoscenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nOh... certo, piacere di conoscerti.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nVi prometto, in veste di cavaliera, di fare del mio\nmeglio per aiutarvi in battaglia.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Sapete, Mauvier mi ha parlato tanto di voi...\nDiceva che eravate una persona di animo nobile,\nsevera e buona allo stesso tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier? Vuoi dire...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nScusate, sì... intendo quello del mio mondo.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Ma combattendo al vostro fianco, ho capito che\ndovete essere piuttosto simile alla lady Veyle di\ncui mi ha parlato lui.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nTi ringrazio.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Sei davvero... gentile...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nマデリーン\nC'è qualcosa che non va? Il modo in cui mi\nguardate...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Oh, no! Ho qualcosa tra i denti? Scusate, vado\na controllarmi allo specchio.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nNo, non è quello. È solo che... assomigli a una\npersona che conoscevo.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Il tuo sorriso è come il suo. Aveva un sorriso\ncosì dolce.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nGrazie per le vostre belle parole. I miei genitori\ndicevano sempre che il nostro volto riflette ciò\nche abbiamo nel cuore.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Perciò, quando parlate del mio sorriso, è come\nse faceste i complimenti alla mia anima.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Non che mi interessino i complimenti. Sono una\ncavaliera, e mi importa solo fare la cosa giusta.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nNon ti interessano... i complimenti...\x0E\x04\x02\x00
MID_RELIANCE_C_#020	Sigh...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nマデリーン\nOh, no! Non volevo offendervi.\nHo davvero apprezzato il vostro complimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nNon sono offesa. Non è colpa tua, ma mia.\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Scusami, continueremo a parlare un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nマデリーン\nMa certo, lady Veyle... attenderò con\nimpazienza.\x0E\x04\x00\x00
