MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nUhm. La Ruota della fortuna in questa\nposizione...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nCosa fai di bello, Seadall?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nSto leggendo i tarocchi, un altro modo per\nusare i miei poteri di divinazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nSono famoso per le mie doti di ballerino, ma\nsono molto bravo anche come indovino.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nSei molto bravo, eppure continui ad allenarti.\nChe dedizione.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nHo le mie ragioni...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nAh.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nGià che ci sono, potrei leggerti il futuro,\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nNon ce n'è bisogno. Anch'io so fare qualcosa\ndel genere.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nOra ti faccio vedere. Tieniti forte!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nNel tuo futuro vedo... della carne tra due\nfette di pane. Allora, ho indovinato?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nSì. Ma come hai fatto?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nTe l'ho detto. Ho dei poteri di preveggenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nPreveggenza? Come funziona? Riesci a vedere\ndelle cose?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nIl tuo interesse mi lusinga! Purtroppo non è\nun'arte che si possa insegnare.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nSono nato con questo dono. Non l'ho acquisito.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nAnche se riesco a prevedere solo dettagli futili.\nNulla di importante, insomma.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\nAllora è meglio se mi concentro sulle mie\ndoti divinatorie.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06カゲツ\nSeadall, ho di nuovo visto il futuro... Il tuo\nspettacolo di danza farà il tutto esaurito.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nNon servono le tue doti di preveggenza.\nI miei spettacoli attirano sempre molto pubblico.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nSento anche che stanotte pioverà.\nFai attenzione quando rientri.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nPure ovvietà, Kagetsu. Basta guardare quei\nnuvoloni.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nVedi? Te l'ho detto che i miei poteri sono\ninutili.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nIn effetti le tue premonizioni sono abbastanza\novvie.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nSe questo tuo potere avesse un briciolo in più\ndi utilità... forse sarei invidioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nPerché dovresti essere invidioso di me?\nSai già leggere il futuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nCerto le mie abilità sono apprezzabili... ma sono\nlungi dall'essere perfette.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nPerché?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nIl mio maestro... quello che mi insegnò a\ndanzare... perse la vita in una rapina.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nSe le mie abilità avessero funzionato come si\ndeve, lo avrei potuto avvertire. Avrei potuto\nsalvarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nPer questo ora cerco di affinare la mia tecnica\npiù che posso. Non voglio mai più ritrovarmi a\nvivere con tali rimpianti.\x0E\x04\x00\x00
