MID_TUT_BMAP_EVIL_RULE_TITLE	邪竜の章の出撃ルール
MID_TUT_BMAP_EVIL_RULE_0	邪竜の章では、味方のユニットは\n各マップ毎に決められたレベルと\n兵種で出撃することになります
MID_TUT_BMAP_EVIL_RULE_1	アイテムも決められたものを所持しています\nユニット間で持ち物交換を行うことは可能です
MID_TUT_BMAP_EVIL_RULE_2	また、「カジュアル」、「クラシック」の\nどちらでプレイしている場合でも\n戦闘で倒れた味方はマップクリア後に復帰します
MID_TUT_BMAP_EVIL_GUEST_TITLE	ゲストユニット
MID_TUT_BMAP_EVIL_GUEST_0	邪竜の章のストーリー中は\nマップ毎に決まったゲストユニットが参加します
MID_TUT_BMAP_EVIL_GUEST_1	エルは竜石を使って戦う強力なユニットです\nイルは基本能力が低いため、前に出すぎないように\n紋章士と組んで味方のサポートに回るとよいでしょう
MID_TUT_BMAP_EVIL_GUEST_2	邪竜の章ではエル、イルが倒されてしまうと\n敗北となるため注意しましょう
MID_TUT_BMAP_EVIL_FANG_CURSE_TITLE	状態異常「牙呪」
MID_TUT_BMAP_EVIL_FANG_CURSE_0	異形狼の牙が命中すると、戦闘後に\n「牙呪」状態が付与されます
MID_TUT_BMAP_EVIL_FANG_CURSE_1	牙呪状態になるとHP最大値が5減ります\nさらに攻撃が命中するごとに効果が蓄積していきます
MID_TUT_BMAP_EVIL_FANG_CURSE_2	牙呪状態はマップ終了まで続きます\n「レスト」の杖を使用することで回復します
MID_TUT_BMAP_EVIL_MELEE_TITLE	混戦
MID_TUT_BMAP_EVIL_MELEE_0	足元のサークルが黄色で表されるユニットも\n敵軍となります
MID_TUT_BMAP_EVIL_MELEE_1	赤色のユニットと黄色のユニット同士も\n敵になるので、互いに攻撃を行います
MID_TUT_BMAP_EVIL_MELEE_2	うまく立ち回って\n潰し合いを狙うのも良いでしょう
MID_TUT_BMAP_EVIL_POW_TITLE	囚われの\x0E\x06\x03\x00
MID_TUT_BMAP_EVIL_POW_0	囚われている\x0E\x06\x03\x00は武器を持たず\n一方的に攻撃を受けてしまいます
MID_TUT_BMAP_EVIL_POW_1	撃破されてしまうと敗北となるため\n攻撃を受けたら回復してあげましょう
MID_TUT_BMAP_EVIL_SUMMON_TITLE	召喚ノ渦
MID_TUT_BMAP_EVIL_SUMMON_0	召喚ノ渦の位置には\n次の自軍フェイズ開始時に敵が召喚されます
