MID_WU_C_1_IN_#001	そーっと、そーっと、\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	どれぐらいの物音で起きられるかのう…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	な、なんと！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	こんな些細な足音でも気づかれるのですな。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	ふむ、神竜様は耳が宜しいのか。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	少し見せてくれんかのう？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	まずはこの水の音…起きぬな。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	では木を叩く音、その木を燃やす音…まだか。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	む？　炎が大きくなってきたのう…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	こりゃいかん！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	ゲホゲホ、おはようございます、神竜様…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	いえ、襲撃ではございませぬ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	風の魔法にてすぐに片づけますゆえ、ご容赦を。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	朝から妙な実験をするなと追い出されてしもうた…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	む、ここは…！？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	ああ、神竜様。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	いえいえ、少し通りがかっただけじゃ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	ここで実験をしようなどとは思っておりませぬ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	それではの。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	ここでなら実験の続きができそうじゃ…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	お酢と蝋燭をファイアーで煮溶かして…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	あー！　引火しおった！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	失敗、失敗じゃー！　消火！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	す、すみませぬ。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	神竜様の寝所だったのじゃな。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	しょんぼり歩いておって、気づかなんだ…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	どうか許してくだされ。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜様、ご覧くだされ！\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	面白いものができたのじゃ、紋章士の指輪の模造品じゃよ！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	おお、起きてくださったか！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	…あ、うれしくて握りつぶしてしもうた。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	実はこれは菓子なんじゃ。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	甘くてうまいですぞ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	起きてくださらぬとは、興味が引けんかったようじゃの。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	残念じゃ。ならば指輪は、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	この老骨の腹に収めてしまうとしよう。あーん…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	もぐもぐ…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	はは、驚かれましたか？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	実は砂糖菓子でできておるのです。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	指にはめ、遊んだあとは食せる大発明。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	おひとつ如何かの？\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	この前は神竜様から話をしに来てくださいましたからな、\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	お返しですじゃ。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	眠っているところを起こしてすみません。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	…ぬ？　時間を有益に使うためにすぐ起きた…とな？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	ほっほ、神竜様は流石ですのう。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	あの日は楽しかった…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	神竜様は好奇心の塊で、つい実験の話に熱が入ってしもうた。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	そうだ、あの時見せたかった瓶がここに……あ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	やってしもうた！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	落としたら爆発するやつじゃ！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	髪は焦げてませんかな？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	こりゃまたヴァンドレ殿に怒られてしまいますのう…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	またしても新発明をしてしもうた…わしは天才賢者じゃな。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	寝覚めに特別なフルーツは如何ですかの。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	サンダーの刺激を閉じ込めた、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	珍しいぱちぱち食感なのじゃよ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	飲み物にサンダーを放ち、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	泡立たせたのじゃが…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	ちと泡が少なくなって来たのう。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	どれ、もう一発…サンダー！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#005	うおお、いかんーっ！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	…神竜様、お目覚めですか。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	実は飲み物をお持ちしていたのじゃが、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	最後の一撃ですべて泡立ってしもうた…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	飲まれますか？　泡…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	わしが神竜様をお起こしするとは、なんだか申し訳ないのう…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	おお、すでに目覚めておいででしたか。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	おはようございます。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	なんと気持ちよさそうに…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	わしはこの眠りを乱すことはできん。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	職務放棄じゃ、若者を無理に起こすなんてかわいそうじゃ…！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おや、図らずも起こしてしもうた。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	すまんのう、若者は沢山寝るべきじゃのに…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	なに？　もう千歳以上？\x0E\x04\x00\x00
