MID_WU_C_1_IN_#001	本日の起こし係はアルパカの里の勇者、\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	アンバーーーです！！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おお？　噂と違って寝起きがいいですね！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	おはようございます！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	入室の際はしっかりと名乗る！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	流石は勇者だぜ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	さて…どうやって起こしたものかな。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	できれば優しく…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#005	はっ！　耳にフーか？　フー。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	では改めて名乗りますね。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	俺はアルパカの里の勇者！アン……え、もういい？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	ここが伝説の、神竜様の眠る祭壇かああ…！\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	昂ってきたぞおお！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	お、俺が目覚めさせたのか…こんなに早く…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	あの、うるさかったです？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	朝からすみません、神竜様。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	すごく緊張する…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	ただでさえソラネルは聖地中の聖地。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	で、ここはその中のさらに聖地だ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	粗相のないように…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	うわっ、足が滑ったーっ！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	いたたた…すみません神竜様！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	緊張して転びましたが、物は壊れてません！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	おはようございますっ！！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	失礼します！　我こそは…！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	…あ、名乗る前に起きられた。おはようございます！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	我こそはアルパカの里の勇者アンバー！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	さあさあ起きてください、勇者が起こしに参りましたよ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	ほら、かっこいいポーズですよ！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはようございます神竜様！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	起き抜け一番に見る俺の勇姿は如何です？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	え？　暑苦しい？　そんなあー…！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ふーんふんふんふーん。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	さすが神竜様、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	アルパカ語で起こしに来てもわかってくださるんですね！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	はい、今のは朝が来たぞーって意味です！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	この感じ、懐かしいな。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	故郷のアルパカたちも、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	朝の呼びかけにはなかなか応じなかった。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	もう一度…ふんふふ、ふ、ふーん。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	あ、良かったー。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	今のは、そろそろ起きないと寝坊するぞーって意味でした。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	急いで支度しましょう。手伝いますよ、神竜様！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神竜の眠る祭壇にはある伝説が存在するという…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	俺は、今日それを、確かめる！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	…と思いましたが、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	神竜様がお目覚めになられたのでまた次の機会にします。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	ねえ神竜様、ここに伝説があるって噂、知ってますか？\x0E\x04\x00\x00
