MID_TUT_BMAP_FireBall_TITLE	火山弾
MID_TUT_BMAP_FireBall_0	落ちてくる火山弾に当たるとダメージを受けてしまいます
MID_TUT_BMAP_FireBall_1	必ず「焼痕」の位置に落ちるので\nその場所にとどまらないように注意しましょう
MID_TUT_BMAP_FireBall_2	また、「噴火口」にいるユニットも\nダメージを受けてしまいます
MID_TUT_BMAP_Smoke_TITLE	黒煙
MID_TUT_BMAP_Smoke_0	「黒煙」が付与されている地形にいると\n回避と守備、魔防が下がってしまいます
MID_TUT_BMAP_Smoke_1	また、この戦闘マップに限り\n黒煙は徐々に広がっていくので注意が必要です
MID_TUT_HUB_REFRESH_TITLE	リフレッシュ
MID_TUT_HUB_REFRESH_0	ソラネルで過ごしている仲間を2人選んで\n戦闘で疲れた心をリフレッシュしてもらうことができます
MID_TUT_HUB_REFRESH_1	一緒に過ごすことで、支援値が上がる場合があります
MID_TUT_HUB_REFRESH_2	次回出撃するまでの間に\nプール、果樹園、厩舎でそれぞれ1回ずつ実行できます
MID_TUT_HUB_REFRESH_NOTICE	「プール」などで「リフレッシュ」を行えるようになりました
MID_TUT_HUB_REFRESH_OPEN	「リフレッシュ」を行えるようになりました
MID_TUT_GOD_HECTOR_TITLE	紋章士ヘクトル
MID_TUT_GOD_HECTOR_0	「紋章士ヘクトル」は高い防御力を誇り\n味方を護りながら、反撃で敵を返り討ちにします
MID_TUT_GOD_HECTOR_1	シンクロスキル「切り返し」は\n攻撃を受けた時にHPが一定以上残っていれば\n反撃した時の攻撃回数が増えます
MID_TUT_GOD_HECTOR_2	エンゲージ武器「ヴォルフバイル」は\n騎馬の敵や重装兵に大ダメージを与えられます
MID_TUT_GOD_HECTOR_3	エンゲージスキル「鉄壁」は\n攻撃を受けた時に、守備と魔防がアップします
MID_TUT_GOD_HECTOR_4	エンゲージ技「止水雷轟の構え」は\n敵軍フェイズ中に、敵の追撃とブレイクを封じ\n自分が反撃した時の攻撃回数が増えます
MID_TUT_GOD_SENERIO_TITLE	紋章士セネリオ
MID_TUT_GOD_SENERIO_0	「紋章士セネリオ」は魔法攻撃を得意とし\n敵への誘導や妨害を行って、有利な戦況を作り出します
MID_TUT_GOD_SENERIO_1	シンクロスキル「囮指名」は指定した味方を\n敵から狙われやすくします
MID_TUT_GOD_SENERIO_2	エンゲージ武器「サンダーストーム」は\n射程が長く、遠くの敵を攻撃することができます
MID_TUT_GOD_SENERIO_3	エンゲージスキル「陽光」は\n魔法攻撃時に相手の魔防を減少させ\n与えたダメージに応じてHPを回復します
MID_TUT_GOD_SENERIO_4	エンゲージ技「ディザスター」は\n炎、雷、風の連続魔法で、広い範囲に攻撃を行います
MID_TUT_GOD_CAMILLA_TITLE	紋章士カミラ
MID_TUT_GOD_CAMILLA_0	「紋章士カミラ」は、地形を変化させる力や\n飛行する能力を持ち、地上と空から戦場を制します
MID_TUT_GOD_CAMILLA_1	シンクロスキル「竜脈・暗」は、シンクロ中の味方の\nスタイルに応じた、様々な特殊効果を地形に付与し\nその地形の「炎」「瘴気」などの効果を打ち消します
MID_TUT_GOD_CAMILLA_2	エンゲージ武器「ボルトアクス」は\n離れた相手に魔法攻撃を行うことができます
MID_TUT_GOD_CAMILLA_3	エンゲージスキル「天駆」は\n移動力がアップし、飛行スタイルのユニットと同様に\n「歩行不可」の地形を移動できるようになります
MID_TUT_GOD_CAMILLA_4	エンゲージ技「暗夜爆砕陣」は\n爆発で広範囲の敵にダメージを与え\n更に地形に「炎」を付与します
MID_TUT_TIPS_Hector	紋章士ヘクトル
MID_TUT_TIPS_Senerio	紋章士セネリオ
MID_TUT_TIPS_Camilla	紋章士カミラ
MID_TIPS_OTHER_35	「リフレッシュ」は1戦闘につき、ソラネルの3か所でそれぞれ1度ずつ実行でき、選んだ仲間同士の支援値がアップする
MID_TIPS_SKILL_36	炎・雷・風のいずれかの魔法で攻撃した時、その種類に応じたステータスを下げる効果を、1ターンの間与える
MID_TIPS_SKILL_37	ブレイク中の敵を魔法で攻撃した時確率でブレイク状態を解除しない
MID_TIPS_GOD_29	異界の大陸エレブのオスティア侯爵家の侯弟で、剛腕を誇る斧の使い手 
MID_TIPS_GOD_30	ロイの父エリウッドの親友。「天雷の斧 アルマーズ」を手に、共に巨悪と戦った
MID_TIPS_GOD_31	異界の大陸テリウスで、グレイル傭兵団の参謀役を務めた青年
MID_TIPS_GOD_32	アイクの傭兵団に所属する賢者。卓越した軍師の才を持つ
MID_TIPS_GOD_33	異界の国、暗夜王国の第一王女で、妖艶なる魔竜騎士
MID_TIPS_GOD_34	カムイのきょうだいの一人。味方には愛情深く、敵には冷酷に振る舞う
MID_TUT_NAVI_G004_ADVICE_START	このマップは敵が杖を多用するため\n環境設定の『杖、踊るアニメ』を\n「自軍フェイズ」に設定します\nこの設定は環境設定からいつでも変更できます
MID_TUT_NAVI_G004_ADVICE_END	マップ開始時に変更した\n『杖、踊るアニメ』の設定を元に戻します
