MID_WU_C_1_IN_#001	この軍の任務は中々に興味深いな。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	あなたを起こすという任が果たせましたので、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	これにて失礼します。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	神竜殿、朝です。お目覚めを。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	……起きないな。神竜殿？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	…やはり起きない。もしや、どこかお悪いのか…？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	ああ、目覚められましたか。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	ヴェイル様も時折深く眠ってしまわれる時があるので、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	肝を冷やしました。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	何事もなく、良かったです。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	明るい祭壇だな…俺には眩しすぎるが、美しい。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	起きられましたか、神竜殿。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	先ほど、ヴェイル様が会いたいと仰っていましたよ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	では、俺はこれで…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	もし、あのまま四狗でいたなら…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	ここに来ることはなかったのだろうな。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	この美しい景色を見ることもなく、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	散っていったのだろうか……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	…！　起きていらしたのですか。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	盗み聞きなど…いえ、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	今のは俺に非がありますね。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	無論、選択に後悔はありません。では。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	祈り場は…やはりここが相応しいのだろうな。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	すみません。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	今宵は、暫しの入室をお許しください。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	この祭壇で祈りたいのです。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	今は亡き、同胞のために…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	ここからなら、届くだろうか。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	届いてくれ…マロン。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	お前を死なせてすまない…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	もっときちんと、褒めてやれなくて、すまなかった……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	眠りを乱してしまい失礼しました。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	勝手ですが…あなたにも聞いていただけて\x0E\x04\x00\x00
