MID_SYS_Difficulty_Normal	ノーマル
MID_H_Difficulty_Normal	初心者、中級者の方に
MID_SYS_Difficulty_Hard	ハード
MID_H_Difficulty_Hard	上級者の方に
MID_SYS_Difficulty_Lunatic	ルナティック
MID_H_Difficulty_Lunatic	最難関を求める方に
MID_SYS_Mode_Select	モードを選択してください
MID_SYS_Mode_Casual	カジュアル
MID_H_Mode_Casual	倒れた仲間は次の章で復帰する、お手軽なモード
MID_SYS_Mode_Classic	クラシック
MID_H_Mode_Classic	倒れた仲間は戻らない、じっくり考えるモード
MID_SYS_Grow_Random	ランダム
MID_H_Grow_Random	レベルアップ時の能力上昇が\nユニットや兵種の特性に基づいてランダムで決定されます
MID_SYS_Grow_Fixed	固定
MID_H_Grow_Fixed	レベルアップ時の能力上昇が\nユニットや兵種の特性のみで決定されます
MID_Decision	決定
MID_ToNext	次へ
MID_SYS_BattleRecord	戦績
MID_SYS_Time	タイム
MID_SYS_None	なし
MID_SYS_Battle_Count	戦
MID_SYS_Win_Count	勝
MID_SYS_FoughtTogetherGod	最も一緒に戦った紋章士
MID_SYS_TypeSection	兵種区分
MID_SYS_SeniorPosition	上級
MID_SYS_BasicPosition	基本
MID_SYS_SpecialPosition	特殊
MID_SYS_Position	\x0E\x01\x00\x00兵種
MID_SYS_UseWeapon	使用武器
MID_SYS_TypeOfWepon_1	うち1種
MID_SYS_TypeOfWepon_2	うち2種
MID_SYS_Status	戦闘能力
MID_SYS_Capability	基本能力
MID_SYS_EquipedStatus	使用時能力
MID_SYS_Spec	性能
MID_SYS_Detail	詳細
MID_SYS_EngageWeapon	エンゲージ武器
MID_SYS_Class	兵種
MID_SYS_Item	持ち物
MID_SYS_Skill	スキル
MID_SYS_SP	SP
MID_H_INFO_SP	スキルポイント\n紋章士からスキルを継承する際に消費する
MID_SYS_Rating	総合力
MID_H_INFO_Rating	ユニットの総合的な強さの目安
MID_SYS_LV	Lv.
MID_H_INFO_LV	どれだけ強くなったかの目安\n経験を積むと上昇する\n次のレベルまであと \x0E\x01\x00\x00 EXP
MID_H_INFO_LV_MAX	どれだけ強くなったかの目安\n経験を積むと上昇する\n（最大レベル）
MID_H_INFO_LV_ENEMY	どれだけ強くなったかの目安\n経験を積むと上昇する
MID_H_INFO_BOND_LV	紋章士との絆の強さ\n高いほど紋章士の能力が引き出される
MID_SYS_Exp	EXP
MID_SYS_HP_MAX_UP	最大HP
MID_SYS_HP	HP
MID_H_INFO_HP	ユニットの生命力\n0になると戦闘不能になる
