MID_WU_C_1_IN_#001	神竜様、「お目覚め」の時間です。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	ほう、「些細な物音」で目覚められるとは、流石。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	では俺はこれで…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	…「起きない」か。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	困ったな…俺は仕事で忙しい。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	少々「手荒」な真似だが、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	耳元で金属の「嫌な音」でもさせてみるか。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	なんですか、その「不服」そうな顔は。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	生憎、「目的」のための「手段」は\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	指定されませんでしたのでね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	…「静かな部屋」だ。まるで\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	「墓場」のような…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	良かった。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	「寝息」の一つも聞こえませんでしたので、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	つい「要らぬ心配」をしてしまいましたよ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	…「生きている」な。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	では目覚めるのを待つとしよう。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	いつか「起きる」と分かっていれば、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	「退屈」はしないさ…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	意外とすぐに「目覚め」られましたね。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	「長期戦」を覚悟して、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	「哲学書」を読み始めていたのですが…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	「杞憂」でした。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	いつもよく「眠って」いらっしゃいますね…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	そして、「寝起き」もこの通り「良好」ときた。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	「羨ましい」限りですよ、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	神竜様。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	こうして「千年」も眠っていたのか…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	そんなに「深い眠り」とは、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	どのようなものなのだろうな。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	「悪い夢」など、見ないのだろうか…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	「目覚め」ましたか。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	ああ、「俺」のことはお気になさらず。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	どのみち、「睡眠」はいつも\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	「仮眠」程度にしかとりませんので。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	よく見ると「殺風景」な部屋だ…\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	もっと「物」を置かないのだろうか。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	この部屋は「何もない」ので、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	「退屈」で「眠くなる」可能性はありませんか？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	「ここだけの話」だが…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	神竜様が遊びに来て以来、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	「秘密の小屋」にはさらに「物」が「増えて」しまった。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	どうしたものか…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	「お目覚め」になられたので、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	俺はまた「収集」に出かけます。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	気が向いたらまた、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	あの「部屋」に来てください。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	今日の「眠り」は深そうだな…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	「邪魔」をするのは「忍びない」…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	ん？　すぐに「起きる」とは、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	俺の「見立て」は外れましたね。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	「おはよう」ございます。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	「眠る者」の「傍ら」にいるのは慣れている…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	「新しい薬」でも調合し、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	「暇」を潰そう。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	この葉と、この実を、切って、潰して…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	丁度「紫雲の秘薬」ができたところです。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	これを「飲む」と\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	「眠気」がたちどころに「消える」んです。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	「定刻」より少し前に到着だ。「仕事」に取り掛かろう…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	そう「すぐ」に起きられると、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	なんだか「意味深」に感じますね…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	神竜様といると「飽きる」ことがない。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	神竜様は以前、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	俺と同じ「無駄に意味深」な「話し方」に興じられていたが…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	流石に「この部屋」ではそうされないだろう。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	ふっ…「無言」で起き上がり、俺を「見つめる」とは。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	今度は意味深な「振る舞い」に\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	「興じて」いらっしゃるのですか？\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	「来ました」よ、神竜様。入っても「いい」ですよね。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	「俺」が来たからといって、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	急いで「目覚め」ないでくれ…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	パートナーを目覚めさせる時間は、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	俺の至福なのですから。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	さて、今日は「起きる」まで何に「興じよう」か。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	読書や調合もいいが、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	眠る「パートナー」を眺めているのも、悪くないな。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	あなたといると、こんな時間すら「特別」になる。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	退屈だった俺の人生に\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	生きる意味を与えてくれて…ありがとう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	「起きた」か。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	さあ、「戦の準備」です。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	世界を平和に、「退屈」にして…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	俺は一生、あなたと「暇だ」と言って笑い合いたいんだ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	やはり「殺風景」だな…\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	だが、あの「ネックレス」が大事に「置いてある」ことは、\x0E\x04\x00\x00
MID_WU_S_2_IN_#003	もう知っている。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	随分「意味深」な視線が得意になりましたね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	俺に染まってしまったのなら…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	もう戻れませんよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	相変わらず「深く眠る」のだな。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	たまに「息をしている」か心配になる。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	「パートナー」であるあなたは、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	俺にとって「家族」も同じ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	失えば今度こそ、俺は「灰」になる。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…大切なんだ。あなたが。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	もう二度と失うことのないよう…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	どうか守らせてくれ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	これからもあなたが「目覚める」瞬間を、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	何千回も見せてください。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	…俺がいつか目覚めなくなるその日まで、ずっと。\x0E\x04\x00\x00
