MID_WU_C_1_IN_#001	あ、あああ…すごく緊張する…！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	はっ！　起きてくださったんですね。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	こんな高貴な部屋に足を踏み入れ、申し訳ないです。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	ここって聖地の祭壇よね？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	調度品がどれも高そうだし、床も質のよさそうな石…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ああ、高級感に殺される…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます！良かった…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	これで任務は終わりましたので、失礼いたしますね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	寝るのっていいわよね…その間はお腹がすかないし。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはようございます、神竜様。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	本日の起こし係はラピスでした。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	では、これにて…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	神竜様、枕とかなくて痛くないのかしら。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	あたしはなくても全然慣れてるけど…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	今度作って差し上げようかな。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	あっ、ごめんなさい。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	あたしったら起こしに来たのに枕の心配を…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	お、おはようございますっ。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	あたしとしたことが、早く着いてしまったわ。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	す、すみません、まだ少し早いので、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	二度寝してらしても大丈夫かと…！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	お起こしする時間まで工作でもしましょう。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	今日はこの木とこの木を、こうして、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	石をかませて、打ち付けて、色を塗って…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	神竜様用の目覚まし時計を作っていたんです。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	定刻になると爆発する優れもので…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	え、要らない…？\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	よっと…牛乳と水を運びながら来るのは疲れるわね。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	朝は水で薄めた牛乳に限りますよね。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	ふふ。この前、鍛錬に付き合ってくださって嬉しかったなあ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	背負子も喜んでもらえたし…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	次は何を作ろうかしら。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神竜様、寝起きの一杯、水で薄めた牛乳は如何です？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	薄め方も２倍から１０倍まで対応可能ですよ。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	お目覚めの時間ですよ、神竜様。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	素晴らしい寝覚めです。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	おかげでこの高そうな部屋での滞在時間が短く済みました。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	薄目を開けて入ろうっと、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	高そうな調度品さえ見なければ緊張なんて…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	…逆にするわね。見えないと壊さないか不安だわ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	神竜様、あたしどうしたら\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	この部屋に入っても緊張せずにいられますかね…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	はあ、はあ、ブロディア芋を掘ってたら、遅れちゃった…！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	良かった、すぐ起きてくださって！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	遅れたお詫びに、今度お芋料理をご馳走します！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	ああ…お芋どころか\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	食べられる雑草まで見つけたのが良くなかったわね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	見つけるとつい、採れるときに採ってしまうのよ…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	神竜様、すみません本日は少し遅れてしまい…！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	へあっ！？　この草ですか？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	か、観賞用です、観賞用…！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	あ、あたしです…神竜様。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	やっと、緊張しなくなってきました。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。すぐに起きてくれたのはよかったですが、\x0E\x04\x00\x00
