MID_TUT_BMAP_SilverCard_TITLE	シルバーカード
MID_TUT_BMAP_SilverCard_0	所持しているだけで、武器屋、道具屋で\n買い物をするときに30％引きで\n購入することができるようになります
MID_TUT_GMAP_GOD_TITLE	ワールドマップ（神竜の章）
MID_TUT_GMAP_GOD_0	ワールドマップメニューから\nメインストーリーのワールドマップや\n拠点ソラネルに戻ることが可能です
MID_TUT_GMAP_GOD_1	一度クリアしたマップ上では\n遭遇戦が発生する場合もあります
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	回想戦
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	エキスパンション・パスで追加された戦闘マップでは\n1度クリアした後でも再び同じストーリーを\n体験することのできる「回想戦」を行うことができます
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	メンバーを入れ替えたりしながら\n何度でもマップ攻略を楽しむことができます
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	ただし、経験値やアイテムは手に入りません\nまた、出撃中に「消費したアイテム」や\n「倒れた仲間」などはプレイ後にすべて元に戻ります
MID_TUT_HUB_GOD_START_TITLE	神竜の章
MID_TUT_HUB_GOD_START_0	ワールドマップから\n紋章士の腕輪が眠る島に行くことができます
MID_TUT_HUB_GOD_START_1	いつでもメインストーリーに戻ることが可能なので\n気軽に訪れてみましょう
MID_TUT_HUB_GOD_START_NOTICE	「見晴らしの丘」で何かが見つかったようです
MID_TUT_GOD_TIKI_TITLE	紋章士チキ
MID_TUT_GOD_TIKI_0	「紋章士チキ」は様々な加護を味方に与え\n竜の力による強力な攻撃を繰り出すことができます
MID_TUT_GOD_TIKI_1	シンクロスキル「星玉の加護」は\nレベルアップした時に基本能力が上昇しやすくなります
MID_TUT_GOD_TIKI_2	エンゲージ武器「ブレス」は\n攻撃した相手の周囲の敵にもダメージを与えます\nまた、戦闘スタイルにより、性能が変化します
MID_TUT_GOD_TIKI_3	エンゲージスキル「竜化」は\n竜の姿になり、ステータスが大幅に強化されます
MID_TUT_GOD_TIKI_4	エンゲージ技「神竜の祝福」は\n指定した味方に、HPが0になっても全回復する\n「復活の石」を与えます
MID_TUT_GOD_EDELGARD_TITLE	紋章士エーデルガルト
MID_TUT_GOD_EDELGARD_0	「紋章士エーデルガルト」はディミトリやクロードたちと\nランダムに入れ替わりながら、多彩な能力を発揮します
MID_TUT_GOD_EDELGARD_1	シンクロスキル「計略」は\n三人の内、シンクロ中の相手によって\n使用できるコマンドが変化します
MID_TUT_GOD_EDELGARD_2	エンゲージ武器「アイムール」は\n敵をスマッシュすることができ\n竜に対して大ダメージを与えられます
MID_TUT_GOD_EDELGARD_3	エンゲージスキル「戦技」は\nエンゲージ状態の持続ターンを消費して\n3つの攻撃から1つを選び、使用することができます
MID_TUT_GOD_EDELGARD_4	エンゲージ技「連花月風閃」は\n斧、槍、弓の連続攻撃で、敵をブレイクさせやすく\n飛行する敵にも大ダメージを与えられます
MID_TUT_TIPS_Tiki	紋章士チキ
MID_TUT_TIPS_Edelgard	紋章士エーデルガルト
MID_TUT_TIPS_Dimitri	紋章士ディミトリ
MID_TUT_TIPS_Claude	紋章士クロード
MID_TIPS_SKILL_30	『三鼎の紋章士』は、自軍フェイズ開始時に3人の紋章士のいずれかへランダムに切り替わる
MID_TIPS_SKILL_31	自分から攻撃した時、シンクロ中は紋章士と同種の武器装備で、エンゲージ中は無条件でダメージが上がる
MID_TIPS_SKILL_32	紋章士エーデルガルトの持つ斧　追撃不可/竜特効/自分から攻撃時必ず後攻攻撃になるがスマッシュ発生
MID_TIPS_SKILL_33	エンゲージ状態の持続ターン数を消費し、『三鼎の紋章士』3人のいずれかの戦技を使用することができる
MID_TIPS_SKILL_39	スキル「戦技」でエンゲージ持続ターンが0になっても、そのターン中はエンゲージ状態が解除されない
MID_TIPS_GOD_24	異界の大陸アカネイアに太古より住まう神竜族の姫
MID_TIPS_GOD_25	人に姿を変えた竜「マムクート」の少女。マルスのことを「おにいちゃん」と慕う
MID_TIPS_GOD_26	異界の地フォドラのアドラステア帝国の皇女。斧を操る気高き女性
MID_TIPS_GOD_27	異界の地フォドラのファーガス神聖王国の王子。槍を操る聡明な青年
MID_TIPS_GOD_28	異界の地フォドラのレスター諸侯同盟、盟主の嫡子。弓を操る飄々とした青年
