MID_WU_C_1_IN_#001	ふう…静かな場所は緊張するねえ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おや、既にお目覚めでしたか？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	それとも私の足音がドカドカしてたせいかね…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	さあ、みんな待っていますよ！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	王城勤めは長いが、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	ブロディア城はこんなに静かじゃなかったからねえ…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ここに来るなら、淑やかな身のこなしも学んどくんだったよ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	朝の挨拶は大切ですよ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	戦に出たら、今言葉を交わしたのが\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	最後となるかもしれないのですからね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	モリオン様にも、こうしてお起こしする係がいたのかねえ…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	ははは、まだ眠そうですね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	鍛錬をすると、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	頭がすっきりしますよ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	一介の兵が王族様の私室に立ち入るのは少し抵抗があるが…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	ここは祭壇でもあるんだったね。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	ならば遠慮なく…神竜様！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	朝から神竜様を見ると、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	気が引き締まりますねえ！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	今日も軍のため、頑張りますよ。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	今朝は生きのいい魚が獲れましたよ！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	神竜様も気になりましたか。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	ディアマンド様が釣り上げたのですが、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	ソラネルでも指折りの大物かと。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	今日の夕餉が楽しみですね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	ちょっ…暴れるな！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	こいつでかいから押さえ込めないよ！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	あっ、床に！　跳ねるんじゃないって！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	しまった…出て行っちまった。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	すみません、魚が外に跳ねて行ってしまいました。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	でも、この下は調理場なんで、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	誰かしら捕まえてくれますかね。ははは！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ふふ、良い表情をして眠っていらっしゃる。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	神竜様の寝顔と寝相は素晴らしいですね、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	起きたら寝台から落ちていたことなどはないのですか？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	寝相も真っ直ぐだね。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	はあ…私は一晩で寝台の上を三回転はして、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	目覚める時には床の上なんてことはザラにあるけどねえ…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	お目覚めですか。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	お望みでしたら、また共に鍛錬をしましょう。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	いつでもお付き合いいたしますよ！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神竜様、もうすぐ夕餉の時刻ですよ。\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	昼寝なんて珍しいですねえ。\x0E\x04\x00\x00
