MID_SYS_EnchantEffect	エンチャント効果
MID_DLC_News_Patch1_Title	Ver.1.2.0 更新内容
MID_DLC_News_Patch1	【エキスパンション・パス】\n\n・紋章士ヘクトル、紋章士セネリオ、紋章士カミラが追加されました\n　それぞれ対応した追加マップをクリアすると仲間になります\n\n・エキスパンション・パス購入特典２が追加されました\n　錬成素材や武器、スキルの書などを受け取ることができます\n\n・新しいアクセサリーが追加されました\n　アクセサリー屋で受け取ることができます\n　　「守り神ペアセット」「守り神のご尊顔」「守り神のつけ耳」\n　　「イヌのつけ耳」「ウサギのつけ耳」「キツネのつけ耳」\n\n【無料アップデート】\n\n・拠点施設に「リフレッシュ」が追加されました\n　利用することで仲間の支援値をアップすることができます\n
MID_MSG_GET_ITEM_DLC_Accessory2	エキスパンション・パス購入特典２を受け取りました
MCID_G002_PREFIX	神竜の章
MCID_G002	熱き猛将
MCID_G002_PLACE	狂戦士の風穴
MCID_G002_OUTLINE	瘴気が立ちこめる、薄暗い洞穴のなかで、\n新たな腕輪が発見されたとの報せを受けた。
MCID_G004_PREFIX	神竜の章
MCID_G004	蒼の参謀
MCID_G004_PLACE	灼熱の焦土
MCID_G004_OUTLINE	灼熱の溶岩流に囲まれた、岩山の洞窟内で、\n新たな腕輪が発見されたとの報せを受けた。
MCID_G005_PREFIX	神竜の章
MCID_G005	暗き妖艶
MCID_G005_PLACE	黄昏の水都
MCID_G005_OUTLINE	地下水路の張り巡らされた、忘却の廃都にて、\n新たな腕輪が発見されたとの報せを受けた。
MID_RULE_G002_WIN	紋章士ヘクトルに打ち勝つ
MID_RULE_G004_WIN	紋章士セネリオに打ち勝つ
MID_RULE_G005_WIN	紋章士カミラに打ち勝つ
MTID_VolcanicBombTraces	焼痕
MTID_Fumarole	噴気孔
MTID_Crater	噴火口
MPID_Hector	ヘクトル
MPID_H_Hector	通称『天雷の紋章士』。\n腕自慢で武勇に優れる、豪快な性格の青年。
MPID_Senerio	セネリオ
MPID_H_Senerio	通称『賢風の紋章士』。\n冷静沈着な判断力を持つ、黒衣の参謀。
MPID_Camilla	カミラ
MPID_H_Camilla	通称『暗夜の紋章士』。\n妖艶な雰囲気をまとう、美しき魔竜騎士。
MGID_Hector	ヘクトル
MGID_H_Hector	通称『天雷の紋章士』。\n腕自慢で武勇に優れる、豪快な性格の青年。\n斧で敵を一掃し、仲間の為に体を張る。
MGID_H_EnemyHector	『熱き猛将の腕輪』から目覚めた紋章士。
MGID_Senerio	セネリオ
MGID_H_Senerio	通称『賢風の紋章士』。\n冷静沈着な判断力を持つ、黒衣の参謀。\n魔道に秀で、高位の魔法を使いこなす。
MGID_H_EnemySenerio	『蒼の参謀の腕輪』から目覚めた紋章士。
MGID_Camilla	カミラ
MGID_H_Camilla	通称『暗夜の紋章士』。\n妖艶な雰囲気をまとう、美しき魔竜騎士。\n空を舞い、斧と魔法を操って敵を葬る。
MGID_H_EnemyCamilla	『暗き妖艶の腕輪』から目覚めた紋章士。
MGEID_Hector	天雷の紋章
MGEID_Senerio	賢風の紋章
MGEID_Camilla	暗夜の紋章
MJID_Enchant	エンチャント
MJID_H_Enchant	アイテムを巧みに駆使して戦う衛生兵。\n輸送隊も扱え、仲間を支援する戦法が得意。
MIID_Hector_WolfBeil	ヴォルフバイル
MIID_H_Hector_WolfBeil	紋章士ヘクトルの持つ斧\n騎馬特効/重装特効
MIID_Hector_Runesword	ルーンソード
MIID_H_Hector_Runesword	紋章士ヘクトルの持つ魔法剣\n与えたダメージの50％\n自分のHPを回復する\n魔法の力で離れた敵にも攻撃可能
MIID_Hector_Armads	アルマーズ
MIID_H_Hector_Armads	紋章士ヘクトルの持つ天雷の斧\n守備＋5/竜特効
MIID_Senerio_Thunderstorm	サンダーストーム
MIID_H_Senerio_Thunderstorm	紋章士セネリオの持つ射程の長い雷魔法\n追撃不可
MIID_Senerio_MagicShield	マジックシールド
MIID_H_Senerio_MagicShield	紋章士セネリオの持つ魔法の杖\n周囲2マスの味方が、1ターンの間\n魔法攻撃を受けた時、ダメージの\n50％を相手に与えられるようになる
MIID_Senerio_Rexcalibur	レクスカリバー
MIID_H_Senerio_Rexcalibur	紋章士セネリオの持つ最上位の風魔法\n飛行特効
MIID_Senerio_Disaster	ディザスター
MIID_H_Senerio_Disaster	紋章士セネリオの持つ連続攻撃魔法\n範囲内の敵に、ダメージ40％で\n炎/雷/風（飛行特効）の連続魔法攻撃を行う
MIID_Camilla_BoltAxe	ボルトアクス
