MID_WU_C_1_IN_#001	本当に入っていいのか？
MID_WU_C_1_IN_#002	怒られないよな？
MID_WU_C_1_SOON_#001	悪い、起こしちまった
MID_WU_C_1_SOON_#002	…って、起こしに来たんだからこれでいいのか。
MID_WU_C_1_SOON_#003	おはよう、神竜様。
MID_WU_C_1_WAKEUP_#001	俺が神竜様を起こすのも怖いが、
MID_WU_C_1_WAKEUP_#002	このまま起きないのはもっと怖い。
MID_WU_C_1_WAKEUP_#003	どうしたらいいんだ…
MID_WU_C_1_WAKEUP_#004	まずは優しい声かけからか？
MID_WU_C_1_HELLO_#001	あっ、おはよう、神竜様。
MID_WU_C_1_HELLO_#002	すまないな、いきなり俺なんかがいて怖かったろ。
MID_WU_C_1_HELLO_#003	次はもっとうまく起こせるようにするぜ。
MID_WU_C_2_IN_#001	神竜様のいる部屋だ、
MID_WU_C_2_IN_#002	罠の一つぐらい仕掛けてあったり…
MID_WU_C_2_IN_#003	しないよな。
MID_WU_C_2_SOON_#001	まあ、そりゃあ不審な足音が聞こえたら
MID_WU_C_2_SOON_#002	すぐに起きるよな。
MID_WU_C_2_SOON_#003	うんうん…
MID_WU_C_2_SOON_#004	その気持ち、よくわかるぜ。
MID_WU_C_2_WAKEUP_#001	よいしょっと…
MID_WU_C_2_WAKEUP_#002	特に何もなくて安心したぜ。
MID_WU_C_2_WAKEUP_#003	よし、それじゃあ神竜様をできるだけ優しく、
MID_WU_C_2_WAKEUP_#004	怖くなく、脅かさないように起こすぞ。
MID_WU_C_2_WAKEUP_#005	神竜様ー…
MID_WU_C_2_HELLO_#001	よく眠れたか？
MID_WU_C_2_HELLO_#002	俺なんかが起こして
MID_WU_C_2_HELLO_#003	不快な寝起きになって無けりゃいいが…
MID_WU_C_2_HELLO_#004	その顔を見るに、杞憂のようだな。
MID_WU_B_1_IN_#001	いつも忙しそうだからな。
MID_WU_B_1_IN_#002	起きられないのも無理はない、か。
MID_WU_B_1_SOON_#001	おお？　もう少し寝てなくていいのかよ。
MID_WU_B_1_SOON_#002	今日は起きるまで長期戦を覚悟してたのに…
MID_WU_B_1_SOON_#003	あんま無理すんなよ。
MID_WU_B_1_WAKEUP_#001	全く、自分の仕事だけしてりゃいいのに…
MID_WU_B_1_WAKEUP_#002	いつも厄介事に巻き込まれるから疲れるんだぜ。
MID_WU_B_1_WAKEUP_#003	たまには自分を大事にしろよ？
MID_WU_B_1_HELLO_#001	おはよう、
MID_WU_B_1_HELLO_#002	ちゃんと起きて偉いな。
MID_WU_B_1_HELLO_#003	まあ、ちょっとばかり寝坊してるが…
MID_WU_B_1_HELLO_#004	みんなには俺から、
MID_WU_B_1_HELLO_#005	上手く言っておいてやるよ。
MID_WU_B_2_IN_#001	いてて…
MID_WU_B_2_IN_#002	ここに来るときに転んじまった。
MID_WU_B_2_IN_#003	痛いのは嫌だぜ、ほんと。
MID_WU_B_2_SOON_#001	起きたのか、聞いてくれ…
MID_WU_B_2_SOON_#002	さっきそこの階段で躓いたんだ。
MID_WU_B_2_SOON_#003	神竜様も気をつけろよ、
MID_WU_B_2_SOON_#004	転ぶとホントに痛いからな。
MID_WU_B_2_SOON_#005	そんじゃ。
MID_WU_B_2_WAKEUP_#001	さっきの地面は固かったが、
MID_WU_B_2_WAKEUP_#002	神竜様の寝台はふわふわそうで安心だな。
MID_WU_B_2_WAKEUP_#003	しかし、ぬいぐるみを何個か追加してみたら
MID_WU_B_2_WAKEUP_#004	もっと良さそうだ。
MID_WU_B_2_HELLO_#001	なあ、神竜様。
MID_WU_B_2_HELLO_#002	より快適な眠りのために、
MID_WU_B_2_HELLO_#003	寝台にぬいぐるみを置いたらどうだ。
MID_WU_B_2_HELLO_#004	抱っこすると、安心して眠れるぞ。
MID_WU_A_1_IN_#001	疲れてるとこ申し訳ないが、
MID_WU_A_1_IN_#002	起こして来いって頼まれてな。
MID_WU_A_1_SOON_#001	ホントはもっと寝てたいよな。
MID_WU_A_1_SOON_#002	わかるぜ…
MID_WU_A_1_SOON_#003	布団っていうのはふわふわで、
MID_WU_A_1_SOON_#004	出たくなくなる魔力みたいなのがある。
MID_WU_A_1_WAKEUP_#001	おーい、まだ眠いのか？
MID_WU_A_1_WAKEUP_#002	ったく…
MID_WU_A_1_WAKEUP_#003	あんまり起きないようなら、
