MID_FRIENDLIST_Vandre_TextD	【初期兵種】パラディン\n【誕生日】11の月26の日\n【備考】第三十二代竜の守り人。\n浮遊島にある離宮ソラネルで\n眠る\x0E\x06\x03\x00の\n世話をしていた。
MID_FRIENDLIST_Vandre_TextC	【好きなもの】\n裁縫、掃除、書き物、\nフルーツ、静かな場所、毛糸玉\n【苦手なもの】\n珍味、宴会、強い香りのもの、\n集中を乱されること、朝寝坊
MID_FRIENDLIST_Vandre_TextB	【趣味】静かな場所で過ごすこと\n【特技】レース編み、ジャム作り\n【来歴】聖地リトスの集落出身。\n代々神竜に仕える家系の生まれ。\nリトスでは王城に仕える神職者が\n集落に分かれ静かに暮らしている。\nヴァンドレはその能力を前任者より\n高く買われ、守り人に指名された。
MID_FRIENDLIST_Vandre_TextA	【身長】190cm\n【薬指の指輪サイズ】22号\n【性格】真面目で厳格な老練。\nやるべき仕事を淡々とこなすが、\n時には気さくな一面も。守り人の\n使命を第一とし、その生涯を神竜の\n為に捧げると心に決めている。\n軍の中で一番、封蝋を美しく施す。
MID_FRIENDLIST_Vandre_TextS	【パートナーとしての毎日】\n公私混同を避けるために\n皆の前ではいつも通り振る舞うが、\nあなたのことを見る目が\n少し優しくなったと言われている。\n約束の指輪に傷がつくことを恐れ\n滅多に身に着けることはないものの\n毎晩必ず綺麗に手入れしている。
MID_FRIENDLIST_Clan_TextD	【初期兵種】マージ\n【誕生日】3の月10の日\n【備考】フランの双子の兄。\nヴァンドレの跡を継ぐ、\n第三十三代竜の守り人。\n神竜\x0E\x06\x03\x00が\n目覚めた時に傍にいた。
MID_FRIENDLIST_Clan_TextC	【好きなもの】\n神竜、掃除、勉強、料理、読書、\nピクルス、哲学書\n【苦手なもの】\n虫、運動、怪談、\n動物以外の乗り物、\n機嫌が悪い時の自分
MID_FRIENDLIST_Clan_TextB	【趣味】神竜様のお世話\n【特技】ピクルス作り、詩の暗記\n【来歴】聖地リトスの集落出身。\n神職者の家の生まれで、幼い頃より\nソラネルに出入りしていた。\nヴァンドレとは遠縁の親戚にあたり\n神竜\x0E\x06\x03\x00への思いを\n買われ、守り人の後継者となる。
MID_FRIENDLIST_Clan_TextA	【身長】160cm\n【薬指の指輪サイズ】9号\n【性格】控えめで思慮深いが、\n興味のあることに対しては情熱的。\n与えられた仕事は要領よくこなす。\nフランと共に神竜ファンクラブを\n結成しており、会長を務める。\n軍の中で一番、盤上遊戯が得意。
MID_FRIENDLIST_Clan_TextS	【パートナーとしての毎日】\n出過ぎた真似をしてはいけないと\n皆の前では相変わらず控えめだが\n二人の時は少し積極的になった。\n約束の指輪を一人の時に嵌めて\n眺めては幸せを噛み締めている。\nいつかあなたの身長を追い抜き、\n隣で守れるようになることが夢。
MID_FRIENDLIST_Fram_TextD	【初期兵種】モンク\n【誕生日】3の月10の日\n【備考】クランの双子の妹。\nヴァンドレの跡を継ぐ、\n第三十三代竜の守り人。\n神竜\x0E\x06\x03\x00が\n目覚めた時に傍にいた。
MID_FRIENDLIST_Fram_TextC	【好きなもの】\n神竜、花、お洒落、運動、\nビーツ、人を応援すること\n【苦手なもの】\n掃除、勉強、怪談、難しい本、\nお小言、一人で転んだ時の気まずさ
MID_FRIENDLIST_Fram_TextB	【趣味】神竜様を拝むこと\n【特技】ビーツの目利き、後方転回\n【来歴】聖地リトスの集落出身。\n神職者の家の生まれで、幼い頃より\nソラネルに出入りしていた。\nヴァンドレとは遠縁の親戚にあたり\n神竜\x0E\x06\x03\x00への情熱を\n買われ、守り人の後継者となる。
MID_FRIENDLIST_Fram_TextA	【身長】160cm\n【薬指の指輪サイズ】7号\n【性格】勝ち気で元気いっぱい。\n守り人の仕事に積極的だが、\nおっちょこちょいで失敗が多い。\nクランと共に神竜ファンクラブを\n結成しており、名誉会長を務める。\n軍の中で一番、回し蹴りが鮮やか。
MID_FRIENDLIST_Fram_TextS	【パートナーとしての毎日】\nあなたの姿を見るたびに大喜びし\nいつも通り声援を送っているが、\n二人の時は少ししおらしくなる。\n約束の指輪は無くさないように\n自分の宝箱の中にしまっており、\nいつか落ち着いた大人になったら\n肌身離さず身に着けたいと願う。
MID_FRIENDLIST_Alfred_TextD	【初期兵種】ノーブル\n【誕生日】8の月8の日\n【備考】フィレネ王国第一王子。\n神竜王城に襲撃のあった夜\n臣下ブシュロン、エーティエと共に\n援軍として駆け付けた。
MID_FRIENDLIST_Alfred_TextC	【好きなもの】\n鍛錬、運動、音楽、花、\n筋肉、朝日、四葉の草、誰かの幸せ\n【苦手なもの】\n細かい作業、裁縫、辛い物、\n眠れない夜、後悔すること
MID_FRIENDLIST_Alfred_TextB	【趣味】筋肉鍛錬、人と話すこと\n【特技】早寝早起き、花冠づくり\n【来歴】フィレネ王子として生まれ\n第一王位継承者として育つ。\n幼少時はよく体調を崩していたが\n強い体を作るために鍛錬に励み、\n健康な体を手に入れた。\n亡き父に教わった槍は達人級。
MID_FRIENDLIST_Alfred_TextA	【身長】177cm\n【薬指の指輪サイズ】12号\n【性格】優しくて物腰が柔らかく、\n一見すると王族然とした王族だが\n中身は豪放磊落でマイペース。\n小さな幸せを探すのが好き。\nごく稀に一人になりたがることも。\n軍の中で一番、花の香りがする。
MID_FRIENDLIST_Alfred_TextS	【パートナーとしての毎日】\n毎日幸せだと仲間に触れ回り、\n花冠を作ってはあなたに渡す。\n長寿であるあなたと少しでも長く\n一緒にいるため、以前にも増して\n体作りと鍛錬に励むようになった。\n約束の指輪は花の刺繍の袋に入れ\nいつも服のどこかに忍ばせている。
