MID_WU_C_1_IN_#001	俺なんかが入っていいのかな…神竜様？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	思っていたよりすぐに起きてくださいましたね。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	では俺はこれで…！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	さて、どのように起こそうか。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	高貴なお方だ、失礼のないようにせねば…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	神竜様、神竜様…！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	ヴァンドレ殿より、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	神竜様を起こして差し上げるようにと仰せつかりました。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	はあ、はあ…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	やっとたどり着けた…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはようございます！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	寝室がどこかわからなくて迷子になりました…！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	神竜様の寝室に行くはずが、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	ソラネルの果てまで彷徨ってしまった。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	すみません、神竜様。起きる時間です！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはようございます…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	俺が迷ったせいで寝坊となりますので、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	皆のところまで走りましょう！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜様、失礼いたします。ブシュロンです。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	あれっ、もう起きていらっしゃる。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	俺の足音、大きかったですか…？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	今日は少し散歩をしてから参りました。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	ソラネルは広いですが、自然が多くて癒されますね。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	神竜様、よろしければ俺と朝の散歩は如何です？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	あ、決して、道案内役というわけでは…！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	今回は迷わなかった…よし！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	定刻通りに起こして差し上げることができました。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	俺は自分が誇らしいです…！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神竜様。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	あんなに山で迷った俺ですが、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	今回ばかりは迷いませんでした。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	さあ、この勇姿をご覧ください…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	共に皆のもとへと参りましょう。さあ、こちらに…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	え？　そっちは出口じゃない？　くっ…！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神竜様の心労を癒すため、本日はある策を考えました。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	…っと！　神竜様、お目覚めが早い。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	今回は策を試せませんでしたね。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	水の音は生き物を癒すというので、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	グラスに水を入れてきたんです。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	ほら、綺麗な水は音も違いますね…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	え、水の音が心地よくてまだ眠い？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	ちょっ…二度寝はダメですって！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	今日は少し早めに着いてしまったな…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	ああ、神竜様。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	迷うのを見越して早く出たら、こんな時間に。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	たまには早起きも気分が良いですよ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	すぐに起こすのは忍びない。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	『フィレネの愛・番外編』でも読んで時間を潰そう……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	うっ！初っ端から泣ける…！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	ううっ、ぐすっ…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	神竜様、おはようございます…！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	すみません、本を読んだら、また涙が…！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	流石に迷わなくなってきたな…良かった。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	ふふ、俺が起こしに来たのが不満ですか？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	心配しなくても、もう迷わずエスコートできますよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	しかし、不思議な気持ちだ…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	少し前まで、俺はただの兵でしかなかったのに、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	まさか神竜様のパートナーに…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	うっ…『約束の指輪』を見たら、感極まってしまった。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	神竜様が俺を選んでくれたことは、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	一番の幸福だ…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	すみません。また情けない顔をみせてしまいました。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	こうして神竜様といると、幸せすぎて…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	涙が出てくるんです。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	神竜様。一緒に森に出かけませんか…\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	ああ、寝ているのか。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	はは、今日は寝起きがいいですね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	自惚れだったらすみませんが…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	俺が起こしに来たから、ですか？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	起こしに来たものの、悪い気がするな。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	夢の中なら、戦の辛さもきっと忘れられるだろうから。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	神竜様。あなたが流せない涙は代わりに、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	俺が全部流します。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	なにも辛いことがないように、守りますからね。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	さて、今日も心労の発散に行きましょう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	俺がどこまでも、いつまでもお供致しますよ。\x0E\x04\x00\x00
