MID_WU_C_1_IN_#001	うふふ、よく眠っていらっしゃるわ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おはよう、神竜様。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	まだ眠いのでしたら、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	わたしが膝枕をして差し上げましょうか？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	あどけないお顔。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	千年眠っていらしただなんて信じられない…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ずっと年上なのに、つい守ってあげたくなってしまうわ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	あら、おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	ご気分は如何でしょう。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	欲しいものがあれば、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	わたしにお申し付けくださいね…ふふっ。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	まあ、素敵な光景…まるで御伽噺のようだわ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	このお部屋の光景は一枚の絵画のようで、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	見入ってしまいますね。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	そうだ、お起こしするなら朝食をお持ちすべきだったかしら。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	でも、今はこの…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	屋台で買った珍味しかないわね。うーん…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	あの、神竜様は、お目覚めに何を召し上がるの？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	魚のはらわたを揚げたものなんかは…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	いえ、今のはお忘れください。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜様を目覚めさせて差し上げるのは、\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	わくわくしてしまうわね。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	今回はすぐに起きてしまわれて、少し残念…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	またいつか参りますね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	綺麗な寝顔…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	御伽噺の王子様は、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	眠れる姫を起こしに来る時きっと、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	こんな気持ちだったのかしら。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	わたしに王子役は、無理があるけれど。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	お目覚めですか、神竜様。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	今日もきっと素敵な一日が待っておりますわ。\x0E\x04\x00\x00
