MID_WU_C_1_IN_#001	朝じゃぞ、神竜殿ーっ！！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	目覚めたか！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	さあ朝餉じゃ、朝餉！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	余は先に行っておるからの！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	む。入室一番の呼び声で目覚めぬとは、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	おぬし…できるな！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	しかしそれもこれまでじゃ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	…しーんりゅうどのーーっ！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おお、起きたか！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	起きたらすぐに朝餉じゃ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	今日こそは白飯に味噌汁が良いのう。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	神竜殿も、そう思うじゃろ？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	眉目秀麗、絢爛豪華…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	今宵の起こし係は、このカゲツ！　じゃ！！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはよう。まあもう夜なのじゃが…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	たはは、どうやら余にも、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	起こし係が必要なようじゃのう！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	なぜ朝に起こしに来ぬと思ったか？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	余も寝ておったのじゃ！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	起きたら夜だったのじゃ！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	許せ、許せよ神竜殿！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	むむ…余はこれから\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	ヴァンドレ殿に怒られる未来が見える。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	今のうちにスタコラ逃げるのじゃ！　それではの！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜殿、いつまで寝ておるのじゃ、もう昼じゃぞ！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	…と言えば起きると謀っただけで、まだ朝じゃ。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	余の奇策妙計、恐れ入ったか！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	神竜殿、急いで起きねば大変なこととなるぞ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	朝餉は食べつくされ昼餉も取られ、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	意気消沈で夜まで過ごすこととなるぞ…！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	冗談じゃ、まだ朝じゃよ。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	…そんなに嫌そうな目をするでない！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	それはアレじゃ、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	アイビー様が余に向ける目とだいたい一緒じゃー！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	友達を起こしに来たのじゃー！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	流石は余の友じゃ。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	すぐに起きてくれるとは恐悦至極。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	このままでーとでもするか？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	今日はおねむの日かのう？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	余はもっと神竜殿のことを知りたいのじゃ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	質問するも良いが、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	目で見て知るもまた一興じゃな。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	眠いのであればまだ休んでおれ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	余が皆にうまく言っておこう。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	なに、友達であればそのぐらい朝飯前じゃ！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	早寝早起、健康優良。\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	イルシオン王城兵カゲツ、参上じゃ！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	うむ！　大声作戦は成功したみたいじゃの。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	余は早く神竜殿とお話ししたかったのじゃ！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	ほう、この大声で起きないとは神竜殿…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	さては慣れてきおったな。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	しかし、よもや死んでおるわけではあるまいのう？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おお、良かった。息災であったな！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	大好きな神竜殿がもう起きなかったら、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	どうしようかと思ったぞー！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	親友を起こしに来たのじゃー！\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	…親友と神竜って語感が似ておるの。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	早寝早起き、結構なことじゃ！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	そなたが元気だと、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	余も嬉しくなってしまうのう！\x0E\x04\x00\x00
