MID_WU_C_1_IN_#001	四翼マデリーン、神竜様を起こしに馳せ参じました。
MID_WU_C_1_SOON_#001	気配を察知し、
MID_WU_C_1_SOON_#002	即座に目覚められるとは。
MID_WU_C_1_SOON_#003	流石は我が軍の将。
MID_WU_C_1_SOON_#004	感服いたしました、神竜様。
MID_WU_C_1_WAKEUP_#001	深く眠っておられるようですね。
MID_WU_C_1_WAKEUP_#002	もしもこの時に曲者が現れればお命が危険です。
MID_WU_C_1_WAKEUP_#003	しっかりお守りして差し上げなければ…
MID_WU_C_1_HELLO_#001	お目覚めになりましたか。
MID_WU_C_1_HELLO_#002	いえ、起こし当番に称賛は不要です。
MID_WU_C_1_HELLO_#003	もし寝込みを襲うような輩がいたら、
MID_WU_C_1_HELLO_#004	ワタシが成敗しますので！
MID_WU_C_2_IN_#001	神竜様、起きてください！
MID_WU_C_2_IN_#002	今ならギリギリ寝坊ではありません！
MID_WU_C_2_SOON_#001	はあ、間に合って良かったです。
MID_WU_C_2_SOON_#002	寝坊を回避しつつ
MID_WU_C_2_SOON_#003	最大限休養をとるその手腕、お見事です。
MID_WU_C_2_SOON_#004	しかし、ご準備は少々お急ぎを。
MID_WU_C_2_WAKEUP_#001	まずい、お目覚めになる気配がありません。
MID_WU_C_2_WAKEUP_#002	しかしここで諦めては起こし当番の名折れ。
MID_WU_C_2_WAKEUP_#003	少々手荒な方法ですが…
MID_WU_C_2_WAKEUP_#004	えーい！！
MID_WU_C_2_HELLO_#001	ふう…
MID_WU_C_2_HELLO_#002	音より揺れの方が目覚めに効果的と聞き及び、
MID_WU_C_2_HELLO_#003	渾身の力で寝台に振動を与えさせていただきました。
MID_WU_C_2_HELLO_#004	さあ、急ぎご準備を。
MID_WU_B_1_IN_#001	神竜様。そろそろお目覚めの時間で…
MID_WU_B_1_IN_#002	はっ、寝台のところに、虫が…っ！
MID_WU_B_1_SOON_#001	おお、神竜様が起きたと同時に虫が飛び立ち、
MID_WU_B_1_SOON_#002	部屋を去りました。
MID_WU_B_1_SOON_#003	良かった…
MID_WU_B_1_SOON_#004	では安心して出発のご準備をなさってください。
MID_WU_B_1_WAKEUP_#001	ソラネルへの侵入者め。
MID_WU_B_1_WAKEUP_#002	駆除すべきですが、
MID_WU_B_1_WAKEUP_#003	以前神竜様は
MID_WU_B_1_WAKEUP_#004	争わなくて済むならそれが一番と仰っていました。
MID_WU_B_1_WAKEUP_#005	ここは…
MID_WU_B_1_WAKEUP_#006	えい、えい！
MID_WU_B_1_HELLO_#001	ふう…！
MID_WU_B_1_HELLO_#002	神竜様の教えのお陰で
MID_WU_B_1_HELLO_#003	虫を外に逃がすことに成功しました。
MID_WU_B_1_HELLO_#004	え？　どんな虫か見たかった？
MID_WU_B_1_HELLO_#005	それは、失礼を…
MID_WU_B_2_IN_#001	騎士たるもの、
MID_WU_B_2_IN_#002	戦場だけでなく
MID_WU_B_2_IN_#003	平時の任務もさらりとこなせなくては。
MID_WU_B_2_IN_#004	よーし。
MID_WU_B_2_SOON_#001	おや、任務は完了のようですね。
MID_WU_B_2_SOON_#002	騎士としての起こし方を
MID_WU_B_2_SOON_#003	数十通り考えて参りましたが、
MID_WU_B_2_SOON_#004	試すのは次回に致しましょう。
MID_WU_B_2_WAKEUP_#001	今回は騎士らしく、
MID_WU_B_2_WAKEUP_#002	跪いた状態からお声がけをしましょう。
MID_WU_B_2_WAKEUP_#003	ご覧になった際に
MID_WU_B_2_WAKEUP_#004	きちんとした印象になるよう…
MID_WU_B_2_WAKEUP_#005	っと！　足が滑って…！
MID_WU_B_2_HELLO_#001	す、すみません神竜様。
MID_WU_B_2_HELLO_#002	騎士として丁寧にお起こししようとした結果、
MID_WU_B_2_HELLO_#003	滑って転びました…
MID_WU_B_2_HELLO_#004	鍛錬しながら反省をして参ります！
MID_WU_A_1_IN_#001	鍛錬の合間に様子を見てきてと頼まれました
MID_WU_A_1_IN_#002	…ふむ。
MID_WU_A_1_IN_#003	異常はありませんね。
