MID_WU_C_1_IN_#001	かわいいオレが起こしに参りましたー！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	神竜様、寝起きがいいんですね。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	オレとおそろいだ、嬉しいー！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	へえー、綺麗な寝顔。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	せっかくだし絵に描いて、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	記念に残しておこうっと。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	こうしてこうして、うん、うまくできたー！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	あ、これですか？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	寝顔があんまり綺麗なんで、つい。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	あとでカフェに貼っておきますねー。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	え？　ダメ…？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	失礼しまーす…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	神竜様の寝室をこっそり、かわいくしに参りましたー。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	あっ…おはようございますー。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	あはは、オレが来た事ばれちゃいましたね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	この作戦はまた今度ということでー。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	よーし、今のうちにー。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	リボンと、お花と、フリルとー、鈴！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	…はインパクト弱いなあ、鐘にしよう。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	いいね、ちょっと鳴らしてみますかー！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	うおお、思ったより音がデカかった…！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	神竜様すみません。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	寝起きに喜んでほしかっただけなんです…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	すぐ片づけますねー。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜様ー、相談に乗ってください。\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	オレのドラゴンのカーミラちゃんがー！\x0E\x04\x00\x00
