MID_WU_C_1_IN_#001	朝よ！\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	はやねはやおきのアンナさんがおこしに来てあげたわ！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	わ、すぐおきた。えらいえらい！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	でも、やけに早いなあ…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	神竜様、じつは一人でおきられるんじゃ…？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	おきないわね…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	神竜様は朝によわく、夜につよいのかしら。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	朝と夜と、神竜様の三すくみ…？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	となるとこの場合、夜は朝につよい…？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはよう、神竜様。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	ニガテな朝を倒すためには、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	はやく寝ることがいちばんの特効武器になると思うわ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	がんばってね！\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	アンナさんのめざましサービスよ！　おきなさーい！！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはよう、神竜様。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	ちゃんとおこせたから、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	サービスの対価として、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	アンナさんにいい子いい子すること！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	てごわいわね。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	そんな時はこれ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	新商品のめざましぬいぐるみ！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	これをこうしてセットすると\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	好きな時間にえげつない鳴き声が…うわわ！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おきたー！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	この商品、なかなかのいりょくね。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	大もうけまちがいなしかも！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	あれ？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	でも一回でこわれちゃった…ざんねん…\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	カンカーン！　きょうは冬祭りですよーっ！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	びっくりさせておこす作戦、せいこうね！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	ソラネルにそんなのないってしってるけど、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	アンナさんの故郷ではまいにち冬まつりなのよ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	…うーん、さすがにウソだってばれたかしら。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	でも、わたしの故郷ではまいにち冬まつりだからホントだもん。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	みんな、元気かな…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはよ、神竜様。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	べ、べつに、くらい顔なんてしてないわ！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	しょーばい人はえがおが大事だもん！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	でも…気にしてくれてありがとね。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	神竜様には、しょーばいにんの才能があるかもしれないわ…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	おはよう！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	わたし、恋人の日の商品いがいにも\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	いろいろ考えてるの。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	よかったら、また手伝ってね！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	わたしのふるさとは冬まつりの村…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	一年中おまつりで、一年中新商品をかんがえる…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	そこに、神竜様がいてくれたら…！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神竜様、イルシオンの村に移住するきはない？\x0E\x04\x00\x00
