MID_WU_C_1_IN_#001	ボンジョールノ！　神竜様、朝だよ！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	起きた？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	朝食はトロピカルフルーツがおススメだよ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	俺はパインとバナナが好き！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	結構大きな声で呼びかけたけど、神竜様起きないね。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	面白いなあ、ソルム王家はみんな寝起きがいいから、新鮮！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはよう、神竜様！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	せっかく俺が起こしに来たんだから、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	このまま一緒に朝食でも食べに行く？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	神竜様、神竜様ー！　…ありゃ、寝てる。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	もしかしてもう起きるとこだった？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	神竜様の眠そうな顔が見られて、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	ラッキーだなー。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	自警団に書簡を出したいんだけど、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	ソラネルからどうやって出すんだろう…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	ちなみにソルムではフラミンゴを飛ばすんだよー。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	起きた！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	ねえ神竜様、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	ソラネルからの書簡の出し方を教えてよ。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	もちろん、二人っきりだと嬉しいなー。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	ようやく俺の番が回ってきた…張り切って起こしちゃうよ！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	もう起きた！？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	ええー。せっかく張り切って来たのにつまらない！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	もっかい寝て、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	ちょっと目をつぶってよ、お願い！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	最初はおいしいものの匂い…起きない。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	次は耳元で楽器を鳴らす…これもダメ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	じゃあこれだ。耳に息を吹きかける！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	ふー…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはよー！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	どうだった、俺の起こし方。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	次はまた違う感じで試してみるから、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	一番好きなのを教えて。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	ね、神竜様。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	チャオ、神竜様…寝てるところごめんね。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	あ、起きてた？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	ううん、ちょっと話がしたかっただけ！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	すぐ起きてくれるなんて、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	やっさしー！\x0E\x04\x00\x00
