MID_FORTUNE_TROUBLE_Lueur	かみのけの蒼いほうだけ、\n寝グセがつきやすい。
MID_FORTUNE_TROUBLE_Vandre	いちばんよく編めたレースを\nみずたまりに落とした。
MID_FORTUNE_TROUBLE_Clan	ピクルスのにおいがすると\n敵に言われた。
MID_FORTUNE_TROUBLE_Fram	神竜様とおはなししたいのに、\nいつもどこかに走り去られる。
MID_FORTUNE_TROUBLE_Alfred	あたまの花ってホンモノ？と\nいろんな人にきかれる。
MID_FORTUNE_TROUBLE_Boucheron	もりのなかで昼寝してたら\nクマとまちがわれた。
MID_FORTUNE_TROUBLE_Etie	まとめがいをした筋肉増強剤の\nあじがイマイチきにいらない。
MID_FORTUNE_TROUBLE_Celine	あつい紅茶が好きすぎて、\nよく舌をやけどする。
MID_FORTUNE_TROUBLE_Louis	うまく紅茶をいれられた日は\nねるまでニヤニヤしてしまう。
MID_FORTUNE_TROUBLE_Chloe	あいぼうのペガサスに珍味を\nあげたら、いやなカオをされた。
MID_FORTUNE_TROUBLE_Veyre	かみのけの黒いところだけ\nなんだか枝毛がおおい。
MID_FORTUNE_TROUBLE_Mauve	あまいものもスキということを\nなんだか言いだせずにいる。
MID_FORTUNE_TROUBLE_Diamand	いついかなるときでも\n手のひらが、あたたかい。
MID_FORTUNE_TROUBLE_Umber	でんせつの武器を買ったら\nまたしてもニセモノだった。
MID_FORTUNE_TROUBLE_Jade	さいきん、力がつよくなって\nよくペン先をつぶしてしまう。
MID_FORTUNE_TROUBLE_Staluke	よく知らない人と\nめをあわせるのがこわい。
MID_FORTUNE_TROUBLE_Lapis	あたまのリボンを強くむすんで\n自分でも、ほどけない。
MID_FORTUNE_TROUBLE_Citrinica	やさしく笑いかけたつもりが、\n目があった子どもに泣かれた。
MID_FORTUNE_TROUBLE_Ivy	雪をたべてみたいけれど、\nプライドがじゃまをする。
MID_FORTUNE_TROUBLE_Zelkova	カギをたくさんもっているが、\nどれが何のやつかわからない。
MID_FORTUNE_TROUBLE_Kagetsu	なやみがなさそうだねと\n人によくいわれる。
MID_FORTUNE_TROUBLE_Hortensia	いつも可愛くいたいのに、\n寝起きのカオがざんねん。
MID_FORTUNE_TROUBLE_Rosado	エンゲージ中の姿を描きたいが\nいつもそれどころじゃない。
MID_FORTUNE_TROUBLE_Goldmary	町などでであった老若男女を\n片っ端からホレさせてしまう。
MID_FORTUNE_TROUBLE_Misutira	お肉がやけるのを待てず、\n半生でたべてしまいがち。
MID_FORTUNE_TROUBLE_Merin	どうぶつを見つけたときの\nニヤケ顔がかっこよくない。
MID_FORTUNE_TROUBLE_Panetone	みんなが虫をこわがるので\nかなしい。かわいいのに。
MID_FORTUNE_TROUBLE_Fogato	くだものがスキなのに、\n切るのが猛烈にヘタクソ。
MID_FORTUNE_TROUBLE_Pandoro	戦闘中にお祈りの時間がきた時\nどうしたらいいかわからない。
MID_FORTUNE_TROUBLE_Bonet	その占いのカードの味が\n気になって、しかたない。
MID_FORTUNE_TROUBLE_Anna	会う人会う人に、\nどこかで見たといわれる。
MID_FORTUNE_TROUBLE_Jean	医者のたまごなのに、\n苦いくすりがとってもニガテ。
MID_FORTUNE_TROUBLE_Yunaka	あたまにつけてる星たちを、\nたまに戦闘中おとしてしまう。
MID_FORTUNE_TROUBLE_Seadas	ひとを占うつもりだったのに、\n自分を占うはめになった。
MID_FORTUNE_TROUBLE_Linden	おかし作りがたのしくて、\nいつも作りすぎてしまう。
MID_FORTUNE_TROUBLE_Saphir	水場があると、そこにすむ魚に\nつい思いをはせてしまう。
MID_FORTUNE_TROUBLE_Shere_01	ちがう部屋に移動すると、\n何しに来たのか忘れてしまう。
MID_FORTUNE_TROUBLE_Shere_02	けなげにさく花を、うっかり\nふんづけてしまった。
MID_FORTUNE_TROUBLE_Shere_03	さっきちょっと笑ってから、\nしゃっくりが、とまらない。
MID_FORTUNE_TROUBLE_Shere_04	紋章士となかよくなりたいのに\nつい、キンチョーしてしまう。
MID_FORTUNE_TROUBLE_Shere_05	あぶらものを食べると、\nさいきん、胃もたれする。
MID_FORTUNE_TROUBLE_Shere_06	何食わぬカオをしているけれど\nいまだにソラネルで迷う。
MID_FORTUNE_TROUBLE_Shere_07	よなかに星をみていたら、\nそのまま地べたで寝落ちした。
MID_FORTUNE_TROUBLE_Shere_08	エムブレム・エンゲージ！を\n毎回かみそうになる。
MID_FORTUNE_TROUBLE_Shere_09	この前、足をすべらせて\nソラネルの池にドボンした。
MID_FORTUNE_TROUBLE_Shere_10	ここでのご飯がおいしくて、\n来たときよりもすこし太った。
MID_FORTUNE_TROUBLE_Shere_11	ソラネルのお店屋さんを\n毎日毎日ひやかしてしまう。
MID_FORTUNE_TROUBLE_Shere_12	連日連夜、おなかがすいて\n夜食がやめられない。
MID_FORTUNE_TROUBLE_Shere_13	実は、つかっている武器に\nかわいいなまえをつけている。
MID_FORTUNE_TROUBLE_Shere_14	いま着ている服のすそが\nけっこう、ほつれている。
MID_FORTUNE_TROUBLE_Shere_15	平気なカオをしているが、\n今日は首をねちがえている。
MID_FORTUNE_TROUBLE_Shere_16	あたらしい武器をもらうと\nうれしくて一緒にねてしまう。
MID_FORTUNE_TROUBLE_Shere_17	さいきん、かみがたが\nどうにもキマらない気がする。
MID_FORTUNE_TROUBLE_Shere_18	エンゲージしたときの姿が\nにあってるかどうか気になる。
MID_FORTUNE_TROUBLE_Shere_19	まわりに人がいないと、\n大きめの声でうたってしまう。
MID_FORTUNE_TROUBLE_Shere_20	紋章士から出るキラキラに\nさわってみたくてしかたない。
MID_FORTUNE_TROUBLE_Shere_21	ヘンな寝言をいってたよと、\n3人ぐらいから言われた。
MID_FORTUNE_TROUBLE_Shere_22	戦場にいた、野生どうぶつが\nぶじか気になってしかたない。
MID_FORTUNE_TROUBLE_Shere_23	ここ5日間れんぞくで、\nねぼうする夢をみている。
MID_FORTUNE_TROUBLE_Shere_24	なにもない所でころんだのを\nだれかに見られた気がする。
MID_FORTUNE_TROUBLE_Shere_25	岬から空にむかってさけんだら\nだれかに返事されてこわい。
MID_FORTUNE_TROUBLE_Shere_26	毎朝毎晩、もうれつに鍛錬を\nするヒトがいて心配。
MID_FORTUNE_TROUBLE_Shere_27	ふだんあまり話さないヒトから\nすれちがいざま肩ポンされた。
MID_FORTUNE_TROUBLE_Shere_28	よなかに書いたポエムの紙を\nどうやら、どこかに落とした。
MID_FORTUNE_TROUBLE_Shere_29	おひるごはんの一部を\nほっぺにつけたまま過ごした。
MID_FORTUNE_TROUBLE_Shere_30	小鳥にエサをあげようとしたら\nシカトされた。
MID_FORTUNE_TROUBLE_Shere_31	鍛錬の間の空間がひろすぎて\nおそろしいきもちになる。
MID_FORTUNE_TROUBLE_Shere_32	このまえ、果樹園のくだものを\nつまみぐいしてしまった。
MID_FORTUNE_TROUBLE_Shere_33	朝から、たき火をやろうとして\nボヤさわぎをおこした。
MID_FORTUNE_TROUBLE_Shere_34	お花のくびかざりを作ったけど\n誰にもわたせずにいる。
MID_FORTUNE_TROUBLE_Shere_35	たいせつなお手紙を\n飛竜にたべられてしまった。
MID_FORTUNE_TROUBLE_Shere_36	ごきげんにスキップしてたら\n紋章士に温かく見守られた。
MID_FORTUNE_GOOD_01	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『栄光』のカードだ。大勢の人から褒められそう。\n気にしている人が頭をくしゃくしゃに撫でてくるかも。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_01_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『栄光』のカードか。賞賛と、望むものを得られる兆し…\n気にしている人に舞を見せたら、お菓子でもくれるかな。\x0E\x04\x00\x00
