MID_WU_C_1_IN_#001	神竜様、セリーヌです。失礼しますね。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	あら、もう起きていらしたんですね。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	さすが、お目覚めも優雅だわ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	なんだか、お母様やお兄様と共に\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	ソラネルを訪れた時を思い出すわ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	そう、あの日もこうして、眠っているお姿を見ていたの…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	…！　ごめんなさい、驚いてしまって。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	そうよね、今はもう毎朝目覚めてくださるのだもの。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	神竜様、おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	思ったより、階段が急だったわ…お茶は大丈夫かしら。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	朝にぴったりの紅茶を持参したのですけれど…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	ご一緒に如何ですか？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	よく眠っていらっしゃるわ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	夢の中にまで、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	この紅茶の花のような香りが届けばいいのだけれど。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	ああ、本当に、いい香り…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	ふふ、冷める前に起きてくださって良かった。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	今日はお勧めの紅茶を用意したんです。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	一緒に楽しみたいと思って。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	一人でここに来るのは、まだ慣れないわね…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	あら…神竜様、ちょっと寝癖が。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	櫛を取ってきますので、後で直して差し上げますね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	この場所に来るのは特別なことだったから、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	今も緊張するわ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	そう…昔はいつも、ルミエル様が…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	案内してくださったの……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	神竜様。辛いことがあったら仰ってくださいね。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	わたしは必ずあなたの力になります。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	…ふふ。朝からいきなり、すみません。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ソラネルを散策していると、\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	美しい花と緑で幸福な気持ちになります。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	この世界は心を痛める出来事が多いですけれど…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	今朝の目覚めがどうか、幸せでありますよう。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	以前お話ししたフィレネの伝承のように、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	このソラネルにも伝承があるのかしら。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	木陰や池の畔に、妖精がいても不思議ではないもの…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	綺麗な目覚め…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	そうだわ、あなた様こそがこの地の伝承そのものでしたわね。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	ふふ、また少し…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	幸せな気持ちになりました。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神竜様、今朝は素敵なお花が咲いたんです。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	あら。神竜様も、お花がお好きなのですか？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	なら今度、池の傍の東屋にいらして。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	わたし、そこに咲くお花のお世話をしているんです。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	本当は一輪お持ちしたかったのだけれど、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	すぐに手折ってしまうのが惜しくて…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	花は散るからこそ美しいのですけれどね。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	朝食の前に、二人でお散歩をしませんか？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	今朝咲いたお花のところまで、ご案内したいんです。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	先日は話を聞いてくださり、ありがとうございました。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	神竜様は世界のために戦っているわ…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	その重圧はきっとわたしとは比べ物になりません。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	お辛いときは、仰ってくださいね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	茶葉を狙う賊の件…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	胸が痛む時は、神竜様のお言葉に救われています。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	これは弱さではなく、優しさだと…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	いつかそう思えるようになりたい。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おはようございます。今日も戦に参りましょう。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	フィレネの平和のため、そして、あなたのためなら…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	わたしは手を汚す覚悟ができています。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	パートナーを起こしに来るのは、とても幸せなことね。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。今朝も紅茶を淹れてきたわ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	いつも一緒に飲んでいるおかげで…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	この香りがすると、あなたのことを思い出してしまうのよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	『約束の指輪』…本当にありがとう。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	お兄様にご報告した時はとても驚いてらしたけれど、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	わたしたちのこと祝福してくれたわ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	あの日から、わたし…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	幸せすぎて怖くなるの。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	あなたを失ってしまったら、きっと耐えられない。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	戦の終わりまで、どうか無事でいて…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう。あなたの寝覚めは、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	まるで朝咲きの花のよう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	ずっと散らないように…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	また明日も咲くように、わたしに守らせてね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	わたしはこの場所が好きよ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	あなたと二人でいられるから。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	辛いことがあっても…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	ここに来ると、思うの。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	ああ、今日もきっと幸せな一日になる…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	あなたといれば、どんな戦場も怖くはないと。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	戦場で命を手折る度、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	罪の意識は消えないけれど…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	あなたは、わたしがどんな決断をしようと\n傍にいると言ってくれたわね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	わたしはその言葉が何より嬉しくて、心強くて…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	いくらでも強くなれる気がするの。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	あなたは…わたしにお守りのような言葉をくれたのよ。\x0E\x04\x00\x00
