MID_FOOD_RESULT	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_FOODRANK_Superb	極上の
MID_FOODRANK_Delicious	おいしい
MID_FOODRANK_Growling	通も唸る
MID_FOODRANK_Melt	とろける
MID_FOODRANK_HighKing	覇王の
MID_FOODRANK_HolyMother	聖母の
MID_FOODRANK_Courage	勇気の
MID_FOODRANK_Wisdom	叡智の
MID_FOODRANK_Chalk	白亜の
MID_FOODRANK_Mens	無骨な
MID_FOODRANK_ForBoys	やみつきになる
MID_FOODRANK_Woman	大胆な
MID_FOODRANK_ForGirls	繊細な
MID_FOODRANK_Adult	大人の
MID_FOODRANK_Child	お子様
MID_FOODRANK_Your	あなたの
MID_FOODRANK_Discerning	こだわり
MID_FOODRANK_Whimsical	気まぐれ
MID_FOODRANK_Rich	濃厚な
MID_FOODRANK_Refreshing	さっぱりした
MID_FOODRANK_Sharp	メリハリのある
MID_FOODRANK_Friendly	やさしい
MID_FOODRANK_BrodiaStyle	ブロディア風
MID_FOODRANK_FileneStyle	フィレネ風
MID_FOODRANK_SolumStyle	ソルム風
MID_FOODRANK_IrcionStyle	イルシオン風
MID_FOODRANK_LithosStyle	リトス風
MID_FOODRANK_Wild	野趣あふれた
MID_FOODRANK_Exciting	豪快な
MID_FOODRANK_CarefullySelected	厳選した
MID_FOODRANK_Fresh	新鮮な
MID_FOODRANK_Spicy	激辛
MID_FOODRANK_Hot	辛い
MID_FOODRANK_Bitter	苦い
MID_FOODRANK_Bittersweet	ほろ苦い
MID_FOODRANK_SuperSweet	大甘
MID_FOODRANK_Sweet	甘い
MID_FOODRANK_Chewy	歯ごたえのある
MID_FOODRANK_Hard	硬めの
MID_FOODRANK_Habit	癖になる
MID_FOODRANK_Smart	乙な
MID_FOODRANK_Normal	普通の
MID_FOODRANK_Mistake	何かを間違えた
MID_FOODRANK_Shortage	色々足りない
MID_FOODRANK_DifferentStar	違う星の
MID_FOODRANK_DefinitelySuffer	悶絶必至の
MID_FOODRANK_Carbonization	炭化した
MID_FOOD_OnionSoup	タマネギスープ
MID_FOOD_H_OnionSoup	材料はタマネギ、水、調味料のみの\n簡単なスープ
MID_FOOD_ConsommeSoup	豆と野菜のコンソメスープ
MID_FOOD_H_ConsommeSoup	厚めのベーコンと野菜と豆を入れて\nよく煮込んだもの\nスープのベースは人それぞれ異なる
MID_FOOD_DumplingsOfMeat	ひき肉のダンプリング
MID_FOOD_H_DumplingsOfMeat	パスタ生地の中に\nひき肉や野菜、パン粉を詰め\nハーブを加えて茹でたもの
MID_FOOD_PotatoSoup	芋のスープ
MID_FOOD_H_PotatoSoup	すり潰した芋を使ったとろみのあるスープ
MID_FOOD_WhiteSausage	白いソーセージ
MID_FOOD_H_WhiteSausage	羊肉と、新鮮な豚肉のベーコンに\n風味づけのハーブを加えて作ったソーセージ
MID_FOOD_StewedSaltedMeat	塩漬けの肉の煮込み
MID_FOOD_H_StewedSaltedMeat	塩漬けの豚すね肉を、野菜やハーブと共に\n数時間煮込んだもの
MID_FOOD_CreamCroquette	クリームコロッケ
MID_FOOD_H_CreamCroquette	ホワイトソースの入ったコロッケ
MID_FOOD_SmokedEel	ウナギの燻製
MID_FOOD_H_SmokedEel	内臓を取ったウナギを燻製にしたもの\n柔らかくて皮まで食べられる
MID_FOOD_PickledPicklesHerringRoll	ピクルスの酢漬けニシン巻き
MID_FOOD_H_PickledPicklesHerringRoll	酢漬けにしたニシンでタマネギなどの\nピクルスを巻いたもの
MID_FOOD_FriedCarp	コイのから揚げ
MID_FOOD_H_FriedCarp	内臓などを綺麗に処理したコイを\nそのまま高温で姿揚げにしたもの
MID_FOOD_ApplePie	アップルパイ
MID_FOOD_H_ApplePie	薄切りのリンゴをぎっしり入れて焼いたパイ
MID_FOOD_StewedCabbage	キャベツの漬物
MID_FOOD_H_StewedCabbage	切ったキャベツを瓶や漬物樽に入れ\n塩と香辛料を入れてよく混ぜ漬け込んだもの
MID_FOOD_PotatoPancakes	ポテトパンケーキ
MID_FOOD_H_PotatoPancakes	芋をすりおろして作った生地を\nフライパンで焼いた料理
MID_FOOD_SteamedDumpling	蒸し団子
MID_FOOD_H_SteamedDumpling	バターとミルクを鍋で温め\n丸めたパン生地を並べ入れて蓋をし\n煮込むように蒸したもの
MID_FOOD_OnionQuiche	タマネギのキッシュ
MID_FOOD_H_OnionQuiche	大量のタマネギをベーコンとじっくり炒め\nキッシュ生地に入れてオーブンで焼いたもの
MID_FOOD_FruitHamToast	アップルチーズトースト
MID_FOOD_H_FruitHamToast	トーストに薄く切ったリンゴと\nチーズをのせたもの
MID_FOOD_PeachCake	ピーチケーキ
MID_FOOD_H_PeachCake	バター生地にモモを入れて焼き\n食べる直前に粉砂糖をふったもの
MID_FOOD_NutsAndHoneyCake	木の実とキャラメルのケーキ
MID_FOOD_H_NutsAndHoneyCake	キャラメリゼした木の実スライスを\n生地にのせて焼き\nカスタードクリームを挟んだもの
MID_FOOD_BoiledRedWineInBerry	ベリーのシロップ煮
MID_FOOD_H_BoiledRedWineInBerry	ベリーと赤いシロップを\nとろみがつくまで煮込み、冷やした後に\n冷たいアイスと共に盛りつけたもの
MID_FOOD_FriedBreadOfDonutStyle	ドーナツ風の揚げパン
MID_FOOD_H_FriedBreadOfDonutStyle	ジャムやクリームを詰めて揚げたパン
MID_FOOD_TearingPancakes	引き裂きパンケーキ
MID_FOOD_H_TearingPancakes	甘いパンケーキ生地を薄く焼いたあと\n一口サイズに崩してバターを絡め\n最後に粉砂糖をふりかけたもの
MID_FOOD_Omlet	オムレット
MID_FOOD_H_Omlet	オムレツにトマトやチーズなど\nたくさんの具材を入れたもの
MID_FOOD_ThickGrilledCrepePizza	厚焼きクレープピザ
