MID_WU_C_1_IN_#001	失礼します…！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	さっすが神竜様！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	気配に敏感で素晴らしいです！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	よく眠っていらっしゃいますね…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	見慣れた寝顔も素敵ですけど、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	そろそろ起きていただかないと…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	こしょこしょ…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	神竜様が、お目覚めになりましたー！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	…なんちゃって。少し懐かしいですか？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	神竜様ー！　…あっ、眠っていらっしゃる…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	あ、すぐに起きてしまわれて残念…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	いえ、何でもありません！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	ずいぶんお疲れなんですね。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	このまま寝かせて差し上げたい…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	しかし、ここは心を鬼にして。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	……神竜様ー！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	お目覚めでございますか、神竜様。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	…なーんて。たまには竜の守り人っぽく挨拶してみました。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	あっ…寝姿も尊い…！　でも騒いじゃ駄目よ、フラン。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	静かに入ってきたつもりだったんですが、すみません！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	ええ、いくら神竜様が尊くてもここでは騒ぎませんとも。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	この前は鍛錬中に騒いでごめんなさい。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	ご迷惑おかけしないようにと思いつつ、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	神竜様を好きな気持ちは漏れ出てしまうもので…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	きゃーっ、神竜様が目覚められ…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	コホン。おはようございます。騒いでいません、ええ、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	寸でのところで抑えましたとも。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	神竜様、お仕事のご報告でーす！　あ、寝ていらっしゃる…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	起こしてしまいましたね、すみません。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	今、ソラネルのお掃除をしてきたんですよ！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	起きるまで待っていようかな…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	そうだ、この部屋もお掃除しておこう。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	ゴミを拾って、埃を拭いて、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	あっ、花瓶がーっ！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	すみませんー！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	花瓶は後でどうにかします。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	あ、あの、ソラネルのお掃除が終わりましたので！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	失礼します、あなたのファンクラブ名誉会長が参りました！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	きゃーっ！　おはようございまーす！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	さっすが神竜様、最高の寝起きです。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	よっ、エレオス大陸一！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	再び、活動を認めてくださりうれしいです。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	ではこれより会長自ら、全力で応援目覚ましをします！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	きゃーっ、神竜様、お、き、てー！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	ひゃーっ！　素晴らしい寝起き！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	ファンサービスとしてこれ以上はありません！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	朝からありがとうございます！！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	おはようございまーす…\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	うんうん、よく寝ていらっしゃる…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	もー、なんで起きちゃうんですか。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	これから寝起きドッキリをしようと思ってたのに…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	って、あ、いや何でもありません！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	これより、神竜様に寝起きドッキリを仕掛けたいと思いまーす。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	…まずはこれで、鼻をこちょこちょ…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	ん？　あれ！？　おかしいな…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	な、なんで神竜様、くしゃみしないんです？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	鼻強いんです？　普通はこうすると…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	は、は、はくしょーい！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	あなたのフランが起こしに来ましたよっ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	もう起きちゃうなんて。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	さては、私が来るの待ってました？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	えへへ…かわいいですね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	神竜様っ。もー、困りますよ起きないと！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	大声出しちゃいますよ！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	…なーんて。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	本当は、どうしたら起きるのかは…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	もうわかってるんですけどね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	あとちょっとだけ、隣で、こうしていたいです…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう、私の神竜様。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	このまま二人きりでいたいですけど…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	それは後でのお楽しみ、ですよね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	ここにいると思ってました…！\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	あなたのことはお見通しです。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	ありゃ、寝顔を見られるの、恥ずかしかったです？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	もう…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	私には、全部見せてくれていいのに。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	よく寝てる。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	こうしてるとソラネルでお世話をしてた頃みたい。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	…ねえ、知ってましたか？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	眠ってる間からずーっと、\x0E\x04\x00\x00
