MID_MAP_HIS_PhaseBegin_Player	PLAYER PHASE 開始
MID_MAP_HIS_PhaseBegin_Enemy	ENEMY PHASE 開始
MID_MAP_HIS_PhaseBegin_Ally	ALLY PHASE 開始
MID_MAP_HIS_Fixed	\x0E\x01\x00\x00が待機した
MID_MAP_HIS_Talk	\x0E\x01\x00\x00が会話した
MID_MAP_HIS_Attack	\x0E\x01\x00\x00が攻撃した
MID_MAP_HIS_Rod	\x0E\x01\x00\x00が杖を使った
MID_MAP_HIS_EngageCharge	\x0E\x01\x00\x00が覇克・天空を使った
MID_MAP_HIS_Destroy	\x0E\x01\x00\x00が破壊を行った
MID_MAP_HIS_ItemUse	\x0E\x01\x00\x00が持ち物を使った
MID_MAP_HIS_Trade	\x0E\x01\x00\x00が持ち物を交換した
MID_MAP_HIS_PutOff	\x0E\x01\x00\x00が持ち物を捨てた
MID_MAP_HIS_Visit	\x0E\x01\x00\x00が訪問した
MID_MAP_HIS_Breakdown	\x0E\x01\x00\x00が制圧した
MID_MAP_HIS_Escape	\x0E\x01\x00\x00が離脱した
MID_MAP_HIS_Door	\x0E\x01\x00\x00が扉を開けた
MID_MAP_HIS_Torch_Off	\x0E\x01\x00\x00が明かりを消した
MID_MAP_HIS_Torch_On	\x0E\x01\x00\x00が明かりを点けた
MID_MAP_HIS_TreasureBox	\x0E\x01\x00\x00が宝箱を開けた
MID_MAP_HIS_Transporter	\x0E\x01\x00\x00が輸送隊を使った
MID_MAP_HIS_Dance	\x0E\x01\x00\x00が踊った
MID_MAP_HIS_Guard	\x0E\x01\x00\x00がチェインガードを使った
MID_MAP_HIS_LucinaEngage	\x0E\x01\x00\x00が絆盾を使った
MID_MAP_HIS_OverlapSkill	\x0E\x01\x00\x00が竜脈を使った
MID_MAP_HIS_CommandSkill	\x0E\x01\x00\x00が\x0E\x01\x01\x00を使った
MID_MAP_HIS_VisionCreate	\x0E\x01\x00\x00が残像を作った
MID_MAP_HIS_VisionDelete	\x0E\x01\x00\x00が残像を消した
MID_MAP_HIS_DestroyVillage	\x0E\x01\x00\x00が民家を破壊した
MID_MAP_HIS_EngageBreak	\x0E\x01\x00\x00がエンゲージブレイクした
MID_MAP_HIS_EngageAttack	\x0E\x01\x00\x00が\x0E\x01\x01\x00を使った
MID_MAP_HIS_PickUp	\x0E\x01\x00\x00が行動した
