MID_WU_C_1_IN_#001	神竜様！　ああっ、ね、眠っていらっしゃる…\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	お美しい…！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	すみません、はしゃぐ声が大きかったでしょうか…！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	おはようございます。今日も素敵です！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	神竜様の寝顔、こうして見るのは久しぶりだなあ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	うん、やっぱり前と変わらず、神々しい。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	そうだ、いつもみたいに拝んじゃお…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	あ！　おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	えへへ…なんだか、初めて目覚められた時のことを思い出しますね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	えと、本日の起こし係は…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	三十三代目竜の守り人、クランです…！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	あっ、起きてらっしゃいました！？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	朝一番に目線をいただけて、卒倒しそうです！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	守り人としては、どう起こすのが正解なんだろう。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	普通に声をおかけするのかな。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	ヴァンドレさんに聞いたら怒られるかなあ…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	わ、すみません。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	このような微妙な起こし方となってしまい不覚ですが、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	朝のご挨拶を。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	神竜様、おはようございますっ。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	クランです。神竜様、入りますね。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	よくお休みになられましたか？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	あの、この前は僕を気遣って\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	ゆっくり休むよう命令してくださいましたね…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	おかげでもう元気ですよ。えへへ。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	…さっきの、聞こえていましたか？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	あ、いえ、何でもないんです。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	そーっと、そーっと、起こさないように…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	すみません…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	眠っていらっしゃる間にお部屋のお掃除をと思ったのですが、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	起こしてしまいましたね。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	よし。今のうちにお部屋のお掃除を。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	ついでに寝台も飾り付けしようかな。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	神竜様にふさわしく花をこう、こうして…っと。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	ひえっ！　いつから起きてらっしゃいました！？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	いえ、僕はただお掃除をと思いまして、すみません。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神竜様…僕です。クランです。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	あ、起きてらっしゃいましたか。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	本日も頑張りましょう！\x0E\x04\x00\x00
