MID_WU_C_1_IN_#001	神竜様、おはようございますですわ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	良いお目覚めですわね。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	わたくしは朝がめっぽう苦手で…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	神竜様を見習いたいところですます。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	真っ白なお部屋、落ち着きませんです…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	神竜様には黒いお部屋なんかも、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	かっこよくて似合うと思うですます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	ふむ…前言撤回ですます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	目覚める神竜様を見たら、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	やっぱり真っ白なお部屋が一番でございますですね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	今日は少々蒸し暑いですわね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	神竜様、寝苦しくありませんです？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	ああ、やっぱりすぐお目覚めになりましたですね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	こう暑いと虫も多いので、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	お気をつけくださいませですわ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	んまあ、血を吸う虫が！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	わたくしは虫好きですが、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	神竜様の血を吸っては大変ですます…今のうちに、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	潰す！オラァ！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	っしゃあ、仕留めたぜぇ！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	……あぁー……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	神竜様、起きてらしたので、ございますね…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	ええ、虫を…退治したんですの。優しく。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	ここに御化けが出ると聞いて…\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	あら、神竜様の御部屋ですますね。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	起こしてすみませんです。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	御化けが出ると聞いてきたのですが、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	ただの噂だったようです。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	では失礼…え？\x0E\x04\x00\x00
